sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_count,tol_success_count,raw_success_rate,tol_success_rate,rmse_deg,rmse_valid_count,mean_num_peaks,snr90_db
3,0.933333,12.533333,13.466667,-4,500,362,1.000000,0.724000,0.073273,500,2.000000,0.000000
3,0.933333,12.533333,13.466667,-2,500,443,1.000000,0.886000,0.055612,500,2.000000,0.000000
3,0.933333,12.533333,13.466667,0,500,489,1.000000,0.978000,0.040314,500,2.000000,0.000000
3,0.933333,12.533333,13.466667,2,500,498,1.000000,0.996000,0.029984,500,2.000000,0.000000
3,0.933333,12.533333,13.466667,4,500,500,1.000000,1.000000,0.023082,500,2.000000,0.000000
3,0.933333,12.533333,13.466667,6,500,500,1.000000,1.000000,0.018740,500,2.000000,0.000000
3,0.933333,12.533333,13.466667,8,500,500,1.000000,1.000000,0.014220,500,2.000000,0.000000
4,0.700000,12.650000,13.350000,-4,23,6,0.046000,0.012000,0.184691,23,1.046000,4.000000
4,0.700000,12.650000,13.350000,-2,145,39,0.290000,0.078000,0.120917,145,1.290000,4.000000
4,0.700000,12.650000,13.350000,0,408,199,0.816000,0.398000,0.097076,408,1.816000,4.000000
4,0.700000,12.650000,13.350000,2,496,384,0.992000,0.768000,0.067684,496,1.992000,4.000000
4,0.700000,12.650000,13.350000,4,500,477,1.000000,0.954000,0.047418,500,2.000000,4.000000
4,0.700000,12.650000,13.350000,6,500,495,1.000000,0.990000,0.035598,500,2.000000,4.000000
4,0.700000,12.650000,13.350000,8,500,500,1.000000,1.000000,0.026571,500,2.000000,4.000000
