route_name,N_arc,K_fbss,bw_eq_deg,edge_offset_deg,steering_mismatch_pct,sep_factor,snr_db,tol_success_rate_abs01,rmse_deg,snr90_db,mean_bias_deg,max_bias_deg,degraded_sample_count,measured_snr_gain_db
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,1,-4,1.000000,0.050746,-4.000000,0.001757,0.050685,0,15.051500
multilayer_coherent_proto14b_N48_main,48,44,3.590000,44.062500,9.569525,1,-4,0.960000,0.075863,-4.000000,-0.001295,0.076319,0,15.051500
multilayer_coherent_proto14b_N64_main,64,60,2.680000,59.062500,16.792839,1,-4,0.065000,0.101115,NaN,-0.003826,0.104159,0,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,1,14,1.000000,0.049192,-4.000000,0.001257,0.050407,0,15.051500
multilayer_coherent_proto14b_N48_main,48,44,3.590000,44.062500,9.569525,1,14,1.000000,0.074051,-4.000000,-0.000861,0.074899,0,15.051500
multilayer_coherent_proto14b_N64_main,64,60,2.680000,59.062500,16.792839,1,14,0.010000,0.099611,NaN,-0.003391,0.102936,0,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,1,18,1.000000,0.049240,-4.000000,0.001203,0.050419,0,15.051500
multilayer_coherent_proto14b_N48_main,48,44,3.590000,44.062500,9.569525,1,18,1.000000,0.074128,-4.000000,-0.000767,0.074887,0,15.051500
multilayer_coherent_proto14b_N64_main,64,60,2.680000,59.062500,16.792839,1,18,0.000000,0.099589,NaN,-0.003360,0.102890,0,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,1,24,1.000000,0.049236,-4.000000,0.001195,0.050413,0,15.051500
multilayer_coherent_proto14b_N48_main,48,44,3.590000,44.062500,9.569525,1,24,1.000000,0.074124,-4.000000,-0.000814,0.074933,0,15.051500
multilayer_coherent_proto14b_N64_main,64,60,2.680000,59.062500,16.792839,1,24,0.000000,0.099600,NaN,-0.003334,0.102878,0,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,1,30,1.000000,0.049222,-4.000000,0.001191,0.050397,0,15.051500
multilayer_coherent_proto14b_N48_main,48,44,3.590000,44.062500,9.569525,1,30,1.000000,0.074124,-4.000000,-0.000864,0.074983,0,15.051500
multilayer_coherent_proto14b_N64_main,64,60,2.680000,59.062500,16.792839,1,30,0.000000,0.099603,NaN,-0.003360,0.102906,0,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,2,-4,0.200000,0.151653,4.000000,-0.016801,0.084830,0,15.051500
multilayer_coherent_proto14b_N48_main,48,44,3.590000,44.062500,9.569525,2,-4,0.000000,0.247832,6.000000,-0.022956,0.200843,0,15.051500
multilayer_coherent_proto14b_N64_main,64,60,2.680000,59.062500,16.792839,2,-4,0.000000,12.926448,NaN,-0.967371,4.731689,106,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,2,4,0.965000,0.047042,4.000000,-0.009319,0.043642,0,15.051500
multilayer_coherent_proto14b_N48_main,48,44,3.590000,44.062500,9.569525,2,4,0.800000,0.069121,6.000000,-0.013850,0.075819,0,15.051500
multilayer_coherent_proto14b_N64_main,64,60,2.680000,59.062500,16.792839,2,4,0.000000,0.136712,NaN,-0.021770,0.148651,0,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,2,6,0.995000,0.041572,4.000000,-0.012001,0.044291,0,15.051500
multilayer_coherent_proto14b_N48_main,48,44,3.590000,44.062500,9.569525,2,6,0.930000,0.063565,6.000000,-0.013306,0.072000,0,15.051500
multilayer_coherent_proto14b_N64_main,64,60,2.680000,59.062500,16.792839,2,6,0.000000,0.124248,NaN,-0.023166,0.141528,0,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,2,14,1.000000,0.033002,4.000000,-0.010624,0.040945,0,15.051500
multilayer_coherent_proto14b_N48_main,48,44,3.590000,44.062500,9.569525,2,14,1.000000,0.056151,6.000000,-0.013834,0.067851,0,15.051500
