route_name,sep_factor,snr_db,raw_success_rate,tol_success_rate_abs01,tol_success_rate_rel025,rmse_deg,mean_num_peaks,mean_bias_deg,max_bias_deg,mean_az_a_est,mean_az_b_est,degraded_sample_count,measured_snr_gain_db
cylindrical_singlelayer_proto10_baseline,1,-4,1.000000,0.135000,1.000000,0.183762,2.000000,0.006780,0.073936,-2.651064,2.664625,0,0.000000
cylindrical_multilayer_coherent_proto14_main,1,-4,1.000000,1.000000,1.000000,0.050746,2.000000,0.001757,0.050685,-2.674315,2.677828,0,15.051500
cylindrical_multilayer_el_mismatch_2deg_proto14b,1,-4,1.000000,0.875000,1.000000,0.060056,2.000000,0.002120,0.051558,-2.673442,2.677682,0,8.308688
cylindrical_singlelayer_proto10_baseline,1,-2,1.000000,0.325000,1.000000,0.122981,2.000000,-0.007061,0.065446,-2.673677,2.659554,0,0.000000
cylindrical_multilayer_coherent_proto14_main,1,-2,1.000000,1.000000,1.000000,0.050294,2.000000,0.000820,0.050105,-2.674895,2.676536,0,15.051500
cylindrical_multilayer_el_mismatch_2deg_proto14b,1,-2,1.000000,0.955000,1.000000,0.056283,2.000000,-0.001277,0.050964,-2.676590,2.674036,0,8.308688
cylindrical_singlelayer_proto10_baseline,1,6,1.000000,0.925000,1.000000,0.057004,2.000000,0.000182,0.049995,-2.675005,2.675369,0,0.000000
cylindrical_multilayer_coherent_proto14_main,1,6,1.000000,1.000000,1.000000,0.049470,2.000000,0.001227,0.050504,-2.674496,2.676950,0,15.051500
cylindrical_multilayer_el_mismatch_2deg_proto14b,1,6,1.000000,1.000000,1.000000,0.050317,2.000000,0.002179,0.051670,-2.673330,2.677687,0,8.308688
cylindrical_singlelayer_proto10_baseline,1,10,1.000000,1.000000,1.000000,0.052001,2.000000,0.001323,0.050992,-2.674008,2.676655,0,0.000000
cylindrical_multilayer_coherent_proto14_main,1,10,1.000000,1.000000,1.000000,0.049261,2.000000,0.001383,0.050569,-2.674431,2.677197,0,15.051500
cylindrical_multilayer_el_mismatch_2deg_proto14b,1,10,1.000000,1.000000,1.000000,0.049502,2.000000,0.001136,0.050337,-2.674663,2.676936,0,8.308688
cylindrical_singlelayer_proto10_baseline,1,24,1.000000,1.000000,1.000000,0.049179,2.000000,0.001180,0.050265,-2.674735,2.677095,0,0.000000
cylindrical_multilayer_coherent_proto14_main,1,24,1.000000,1.000000,1.000000,0.049236,2.000000,0.001195,0.050413,-2.674587,2.676976,0,15.051500
cylindrical_multilayer_el_mismatch_2deg_proto14b,1,24,1.000000,1.000000,1.000000,0.049263,2.000000,0.001159,0.050396,-2.674604,2.676922,0,8.308688
cylindrical_singlelayer_proto10_baseline,1,30,1.000000,1.000000,1.000000,0.049287,2.000000,0.001286,0.050534,-2.674466,2.677038,0,0.000000
cylindrical_multilayer_coherent_proto14_main,1,30,1.000000,1.000000,1.000000,0.049222,2.000000,0.001191,0.050397,-2.674603,2.676984,0,15.051500
cylindrical_multilayer_el_mismatch_2deg_proto14b,1,30,1.000000,1.000000,1.000000,0.049220,2.000000,0.001178,0.050380,-2.674620,2.676976,0,8.308688
cylindrical_singlelayer_proto10_baseline,2,-4,0.910000,0.000000,0.000000,26.251388,1.820000,-3.513400,18.318065,-19.680565,12.653764,200,0.000000
cylindrical_multilayer_coherent_proto14_main,2,-4,1.000000,0.200000,1.000000,0.151653,2.000000,-0.016801,0.084830,-1.311273,1.277670,0,15.051500
cylindrical_multilayer_el_mismatch_2deg_proto14b,2,-4,0.950000,0.000000,0.150000,14.189656,1.900000,0.550931,4.800151,-5.060790,6.162651,119,8.308688
cylindrical_singlelayer_proto10_baseline,2,4,0.950000,0.000000,0.075000,17.130374,1.900000,0.089466,6.343764,-7.527333,7.706264,155,0.000000
cylindrical_multilayer_coherent_proto14_main,2,4,1.000000,0.965000,1.000000,0.047042,2.000000,-0.009319,0.043642,-1.337496,1.318858,0,15.051500
cylindrical_multilayer_el_mismatch_2deg_proto14b,2,4,1.000000,0.340000,1.000000,0.108150,2.000000,-0.012153,0.065349,-1.321457,1.297151,0,8.308688
cylindrical_singlelayer_proto10_baseline,2,10,1.000000,0.065000,1.000000,0.197579,2.000000,-0.044715,0.128159,-1.323770,1.234341,0,0.000000
cylindrical_multilayer_coherent_proto14_main,2,10,1.000000,1.000000,1.000000,0.035941,2.000000,-0.011411,0.042687,-1.342636,1.319813,0,15.051500
cylindrical_multilayer_el_mismatch_2deg_proto14b,2,10,1.000000,0.915000,1.000000,0.051354,2.000000,-0.011739,0.046592,-1.339386,1.315908,0,8.308688
cylindrical_singlelayer_proto10_baseline,2,18,1.000000,0.910000,1.000000,0.052141,2.000000,-0.010493,0.045288,-1.338198,1.317212,0,0.000000
cylindrical_multilayer_coherent_proto14_main,2,18,1.000000,1.000000,1.000000,0.032278,2.000000,-0.010501,0.040620,-1.342882,1.321880,0,15.051500
cylindrical_multilayer_el_mismatch_2deg_proto14b,2,18,1.000000,1.000000,1.000000,0.034723,2.000000,-0.011827,0.042459,-1.343694,1.320041,0,8.308688
cylindrical_singlelayer_proto10_baseline,2,24,1.000000,1.000000,1.000000,0.036456,2.000000,-0.012176,0.043174,-1.343677,1.319326,0,0.000000
cylindrical_multilayer_coherent_proto14_main,2,24,1.000000,1.000000,1.000000,0.032141,2.000000,-0.011188,0.041220,-1.343656,1.321280,0,15.051500
cylindrical_multilayer_el_mismatch_2deg_proto14b,2,24,1.000000,1.000000,1.000000,0.032507,2.000000,-0.010704,0.040912,-1.342996,1.321588,0,8.308688
cylindrical_singlelayer_proto10_baseline,2,30,1.000000,1.000000,1.000000,0.033120,2.000000,-0.011792,0.041866,-1.344218,1.320634,0,0.000000
cylindrical_multilayer_coherent_proto14_main,2,30,1.000000,1.000000,1.000000,0.031989,2.000000,-0.011104,0.041079,-1.343629,1.321421,0,15.051500
cylindrical_multilayer_el_mismatch_2deg_proto14b,2,30,1.000000,1.000000,1.000000,0.032043,2.000000,-0.010975,0.040960,-1.343490,1.321540,0,8.308688
cylindrical_singlelayer_proto10_baseline,3,-4,0.895000,0.000000,0.000000,27.828892,1.790000,-0.703862,16.995819,-17.904152,16.496428,200,0.000000
cylindrical_multilayer_coherent_proto14_main,3,-4,0.945000,0.000000,0.000000,17.067505,1.890000,-0.756644,8.377185,-9.285519,7.772230,151,15.051500
cylindrical_multilayer_el_mismatch_2deg_proto14b,3,-4,0.865000,0.000000,0.000000,28.314265,1.730000,2.348022,18.439635,-14.651924,19.347968,200,8.308688
