route_name,manifold_type,sep_factor,snr_db,tol_success_rate_abs01,rmse_deg,snr90_db,mean_bias_deg,max_bias_deg,degraded_sample_count,num_peaks_found
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,1,-4,1.000000,0.050746,-4.000000,0.001757,0.050685,0,2.000000
multilayer_coherent_proto15_grid_music_real_manifold_main,real_xy_grid_music,1,-4,1.000000,0.019538,-4.000000,0.000725,0.014700,0,2.000000
multilayer_coherent_proto15_grid_music_ula_assumption_ablation,ula_grid_music_ablation,1,-4,1.000000,0.051144,-4.000000,0.001750,0.051075,0,2.000000
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,1,24,1.000000,0.049236,-4.000000,0.001195,0.050413,0,2.000000
multilayer_coherent_proto15_grid_music_real_manifold_main,real_xy_grid_music,1,24,1.000000,0.014969,-4.000000,0.000038,0.015000,0,2.000000
multilayer_coherent_proto15_grid_music_ula_assumption_ablation,ula_grid_music_ablation,1,24,1.000000,0.049881,-4.000000,0.000125,0.050000,0,2.000000
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,1,30,1.000000,0.049222,-4.000000,0.001191,0.050397,0,2.000000
multilayer_coherent_proto15_grid_music_real_manifold_main,real_xy_grid_music,1,30,1.000000,0.015000,-4.000000,0.000000,0.015000,0,2.000000
multilayer_coherent_proto15_grid_music_ula_assumption_ablation,ula_grid_music_ablation,1,30,1.000000,0.050000,-4.000000,0.000000,0.050000,0,2.000000
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,2,-4,0.200000,0.151653,4.000000,-0.016801,0.084830,0,2.000000
multilayer_coherent_proto15_grid_music_real_manifold_main,real_xy_grid_music,2,-4,0.135000,0.158030,2.000000,-0.016763,0.097375,0,2.000000
multilayer_coherent_proto15_grid_music_ula_assumption_ablation,ula_grid_music_ablation,2,-4,0.030000,0.174965,4.000000,-0.015875,0.131250,0,2.000000
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,2,2,0.880000,0.055544,4.000000,-0.010082,0.046526,0,2.000000
multilayer_coherent_proto15_grid_music_real_manifold_main,real_xy_grid_music,2,2,0.980000,0.043821,2.000000,-0.010550,0.019075,0,2.000000
multilayer_coherent_proto15_grid_music_ula_assumption_ablation,ula_grid_music_ablation,2,2,0.785000,0.062071,4.000000,-0.009975,0.055975,0,2.000000
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,2,4,0.965000,0.047042,4.000000,-0.009319,0.043642,0,2.000000
multilayer_coherent_proto15_grid_music_real_manifold_main,real_xy_grid_music,2,4,1.000000,0.033208,2.000000,-0.009800,0.013650,0,2.000000
multilayer_coherent_proto15_grid_music_ula_assumption_ablation,ula_grid_music_ablation,2,4,0.925000,0.052197,4.000000,-0.009438,0.050725,0,2.000000
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,2,24,1.000000,0.032141,4.000000,-0.011188,0.041220,0,2.000000
multilayer_coherent_proto15_grid_music_real_manifold_main,real_xy_grid_music,2,24,1.000000,0.012942,2.000000,-0.011712,0.016450,0,2.000000
multilayer_coherent_proto15_grid_music_ula_assumption_ablation,ula_grid_music_ablation,2,24,1.000000,0.035111,4.000000,-0.011350,0.044450,0,2.000000
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,2,30,1.000000,0.031989,4.000000,-0.011104,0.041079,0,2.000000
multilayer_coherent_proto15_grid_music_real_manifold_main,real_xy_grid_music,2,30,1.000000,0.013110,2.000000,-0.012100,0.016925,0,2.000000
multilayer_coherent_proto15_grid_music_ula_assumption_ablation,ula_grid_music_ablation,2,30,1.000000,0.034623,4.000000,-0.010725,0.043600,0,2.000000
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,3,-4,0.000000,17.067505,12.000000,-0.756644,8.377185,151,1.890000
multilayer_coherent_proto15_grid_music_real_manifold_main,real_xy_grid_music,3,-4,0.000000,3.119061,10.000000,-2.602500,4.321667,200,1.005000
multilayer_coherent_proto15_grid_music_ula_assumption_ablation,ula_grid_music_ablation,3,-4,0.000000,2.935713,12.000000,-2.470000,4.056667,200,1.005000
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,3,10,0.895000,0.052939,12.000000,-0.014333,0.049083,0,2.000000
multilayer_coherent_proto15_grid_music_real_manifold_main,real_xy_grid_music,3,10,0.945000,0.047370,10.000000,-0.014500,0.038858,0,2.000000
multilayer_coherent_proto15_grid_music_ula_assumption_ablation,ula_grid_music_ablation,3,10,0.775000,0.065619,12.000000,-0.013963,0.066258,0,2.000000
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,3,12,0.985000,0.045148,12.000000,-0.016740,0.046217,0,2.000000
multilayer_coherent_proto15_grid_music_real_manifold_main,real_xy_grid_music,3,12,1.000000,0.037441,10.000000,-0.017025,0.030533,0,2.000000
multilayer_coherent_proto15_grid_music_ula_assumption_ablation,ula_grid_music_ablation,3,12,0.935000,0.054116,12.000000,-0.016612,0.058633,0,2.000000
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,3,24,1.000000,0.028337,12.000000,-0.013507,0.037615,0,2.000000
multilayer_coherent_proto15_grid_music_real_manifold_main,real_xy_grid_music,3,24,1.000000,0.015585,10.000000,-0.014012,0.015558,0,2.000000
multilayer_coherent_proto15_grid_music_ula_assumption_ablation,ula_grid_music_ablation,3,24,1.000000,0.033827,12.000000,-0.013550,0.043883,0,2.000000
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,3,30,1.000000,0.027598,12.000000,-0.013707,0.037501,0,2.000000
multilayer_coherent_proto15_grid_music_real_manifold_main,real_xy_grid_music,3,30,1.000000,0.014236,10.000000,-0.013850,0.014883,0,2.000000
multilayer_coherent_proto15_grid_music_ula_assumption_ablation,ula_grid_music_ablation,3,30,1.000000,0.032998,12.000000,-0.013612,0.043508,0,2.000000
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,5,-4,0.000000,25.044289,22.000000,0.101226,14.558016,200,1.760000
multilayer_coherent_proto15_grid_music_real_manifold_main,real_xy_grid_music,5,-4,0.000000,3.220956,22.000000,-2.525625,4.518750,200,1.020000
multilayer_coherent_proto15_grid_music_ula_assumption_ablation,ula_grid_music_ablation,5,-4,0.000000,3.244462,22.000000,-1.026071,3.033571,200,1.035000
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,5,22,0.980000,0.042903,22.000000,-0.013512,0.044479,0,2.000000
multilayer_coherent_proto15_grid_music_real_manifold_main,real_xy_grid_music,5,22,0.985000,0.042314,22.000000,-0.013125,0.042800,0,2.000000
multilayer_coherent_proto15_grid_music_ula_assumption_ablation,ula_grid_music_ablation,5,22,0.910000,0.060775,22.000000,-0.012450,0.065550,0,2.000000
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,5,24,1.000000,0.036267,22.000000,-0.013808,0.041501,0,2.000000
multilayer_coherent_proto15_grid_music_real_manifold_main,real_xy_grid_music,5,24,1.000000,0.032661,22.000000,-0.013525,0.035750,0,2.000000
multilayer_coherent_proto15_grid_music_ula_assumption_ablation,ula_grid_music_ablation,5,24,0.995000,0.051679,22.000000,-0.013038,0.059075,0,2.000000
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,5,30,1.000000,0.028196,22.000000,-0.013566,0.036694,0,2.000000
multilayer_coherent_proto15_grid_music_real_manifold_main,real_xy_grid_music,5,30,1.000000,0.020456,22.000000,-0.013487,0.025925,0,2.000000
multilayer_coherent_proto15_grid_music_ula_assumption_ablation,ula_grid_music_ablation,5,30,1.000000,0.039546,22.000000,-0.013250,0.049375,0,2.000000
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,7,-4,0.000000,28.171015,28.000000,1.897714,18.453072,200,1.750000
multilayer_coherent_proto15_grid_music_real_manifold_main,real_xy_grid_music,7,-4,0.000000,3.220594,28.000000,-1.361250,3.431964,200,1.020000
multilayer_coherent_proto15_grid_music_ula_assumption_ablation,ula_grid_music_ablation,7,-4,0.000000,3.317073,NaN,-1.142857,3.279286,200,1.035000
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,7,24,0.505000,0.082763,28.000000,-0.012668,0.074242,0,2.000000
multilayer_coherent_proto15_grid_music_real_manifold_main,real_xy_grid_music,7,24,0.285000,0.111559,28.000000,-0.009639,0.107719,34,1.830000
multilayer_coherent_proto15_grid_music_ula_assumption_ablation,ula_grid_music_ablation,7,24,0.150000,0.128548,NaN,-0.008458,0.125390,46,1.770000
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,7,28,0.990000,0.048306,28.000000,-0.016464,0.054252,0,2.000000
multilayer_coherent_proto15_grid_music_real_manifold_main,real_xy_grid_music,7,28,0.925000,0.057837,28.000000,-0.013962,0.062561,0,2.000000
multilayer_coherent_proto15_grid_music_ula_assumption_ablation,ula_grid_music_ablation,7,28,0.695000,0.079875,NaN,-0.012675,0.085836,0,2.000000
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,7,30,0.995000,0.042075,28.000000,-0.016157,0.048845,0,2.000000
multilayer_coherent_proto15_grid_music_real_manifold_main,real_xy_grid_music,7,30,0.995000,0.045210,28.000000,-0.014687,0.051361,0,2.000000
multilayer_coherent_proto15_grid_music_ula_assumption_ablation,ula_grid_music_ablation,7,30,0.855000,0.066771,NaN,-0.013300,0.074686,0,2.000000
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,10,-4,0.000000,27.143015,NaN,-0.577119,16.852033,200,1.760000
multilayer_coherent_proto15_grid_music_real_manifold_main,real_xy_grid_music,10,-4,0.000000,NaN,NaN,NaN,NaN,200,1.000000
multilayer_coherent_proto15_grid_music_ula_assumption_ablation,ula_grid_music_ablation,10,-4,0.000000,3.552947,NaN,2.642500,5.017500,200,1.005000
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,10,24,0.000000,0.224641,NaN,-0.020990,0.143537,0,2.000000
multilayer_coherent_proto15_grid_music_real_manifold_main,real_xy_grid_music,10,24,0.000000,NaN,NaN,NaN,NaN,200,1.000000
multilayer_coherent_proto15_grid_music_ula_assumption_ablation,ula_grid_music_ablation,10,24,0.000000,NaN,NaN,NaN,NaN,200,1.000000
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,10,30,0.170000,0.120344,NaN,-0.012919,0.110476,0,2.000000
multilayer_coherent_proto15_grid_music_real_manifold_main,real_xy_grid_music,10,30,0.015000,0.114897,NaN,-0.003667,0.112833,170,1.150000
multilayer_coherent_proto15_grid_music_ula_assumption_ablation,ula_grid_music_ablation,10,30,0.005000,0.125752,NaN,0.001176,0.120147,183,1.085000
pure_ula_root_music_64ch_proto6_replay,proto6_replay,7,24,NaN,NaN,14.000000,NaN,NaN,NaN,NaN
pure_ula_root_music_64ch_proto6_replay,proto6_replay,8,24,NaN,NaN,16.000000,NaN,NaN,NaN,NaN
pure_ula_root_music_64ch_proto6_replay,proto6_replay,9,24,NaN,NaN,18.000000,NaN,NaN,NaN,NaN
pure_ula_root_music_64ch_proto6_replay,proto6_replay,10,24,NaN,NaN,20.000000,NaN,NaN,NaN,NaN
