route_name,manifold_type,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_rate,tol_success_rate,tol_success_rate_rel,rmse_deg,snr90_db,snr90_rel_db,mean_bias_deg,max_bias_deg,degraded_sample_count,num_peaks_found,lambda2_over_noise
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,1,5.450000,-2.725000,2.725000,-4,1.000000,1.000000,1.000000,0.050746,-4.000000,-4.000000,0.001757,0.050685,0,2.000000,15.746036
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,1,5.450000,-2.725000,2.725000,-2,1.000000,1.000000,1.000000,0.050294,-4.000000,-4.000000,0.000820,0.050105,0,2.000000,24.505209
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,1,5.450000,-2.725000,2.725000,0,1.000000,1.000000,1.000000,0.049909,-4.000000,-4.000000,0.000790,0.050090,0,2.000000,38.171113
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,1,5.450000,-2.725000,2.725000,2,1.000000,1.000000,1.000000,0.049377,-4.000000,-4.000000,0.000940,0.049903,0,2.000000,60.077646
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,1,5.450000,-2.725000,2.725000,4,1.000000,1.000000,1.000000,0.049497,-4.000000,-4.000000,0.000771,0.049996,0,2.000000,94.702564
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,1,5.450000,-2.725000,2.725000,6,1.000000,1.000000,1.000000,0.049470,-4.000000,-4.000000,0.001227,0.050504,0,2.000000,149.313542
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,1,5.450000,-2.725000,2.725000,8,1.000000,1.000000,1.000000,0.049400,-4.000000,-4.000000,0.001303,0.050589,0,2.000000,236.409031
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,1,5.450000,-2.725000,2.725000,10,1.000000,1.000000,1.000000,0.049261,-4.000000,-4.000000,0.001383,0.050569,0,2.000000,373.136297
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,1,5.450000,-2.725000,2.725000,12,1.000000,1.000000,1.000000,0.049219,-4.000000,-4.000000,0.001262,0.050428,0,2.000000,590.897156
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,1,5.450000,-2.725000,2.725000,14,1.000000,1.000000,1.000000,0.049192,-4.000000,-4.000000,0.001257,0.050407,0,2.000000,932.862056
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,1,5.450000,-2.725000,2.725000,16,1.000000,1.000000,1.000000,0.049290,-4.000000,-4.000000,0.001206,0.050464,0,2.000000,1469.093834
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,1,5.450000,-2.725000,2.725000,18,1.000000,1.000000,1.000000,0.049240,-4.000000,-4.000000,0.001203,0.050419,0,2.000000,2295.536315
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,1,5.450000,-2.725000,2.725000,20,1.000000,1.000000,1.000000,0.049248,-4.000000,-4.000000,0.001214,0.050441,0,2.000000,3561.604235
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,1,5.450000,-2.725000,2.725000,22,1.000000,1.000000,1.000000,0.049213,-4.000000,-4.000000,0.001219,0.050412,0,2.000000,5435.538146
