phase_offset_deg,sep_factor,snr90_db,snr90_rel_db,degraded_rate,sanity_max_err_deg
0,1,-4.000000,-4.000000,0.000000,0.028886
0,2,4.000000,-4.000000,0.000000,0.028886
0,3,12.000000,2.000000,0.056389,0.028886
0,5,22.000000,14.000000,0.313056,0.028886
0,7,28.000000,24.000000,0.488056,0.028886
0,10,NaN,NaN,0.665278,0.028886
5,1,-4.000000,-4.000000,0.000000,0.043898
5,2,4.000000,-4.000000,0.000000,0.043898
5,3,10.000000,2.000000,0.048889,0.043898
5,5,20.000000,12.000000,0.256944,0.043898
5,7,22.000000,18.000000,0.369444,0.043898
5,10,26.000000,24.000000,0.467222,0.043898
15,1,-4.000000,-4.000000,0.000000,0.027951
15,2,2.000000,-4.000000,0.000000,0.027951
15,3,6.000000,-4.000000,0.000000,0.027951
15,5,12.000000,4.000000,0.031389,0.027951
15,7,14.000000,10.000000,0.108611,0.027951
15,10,16.000000,14.000000,0.193333,0.027951
30,1,-4.000000,-4.000000,0.000000,0.020831
30,2,-2.000000,-4.000000,0.000000,0.020831
30,3,2.000000,-4.000000,0.000000,0.020831
30,5,4.000000,-2.000000,0.000000,0.020831
30,7,8.000000,2.000000,0.000556,0.020831
30,10,10.000000,8.000000,0.029444,0.020831
60,1,-4.000000,-4.000000,0.000000,0.015820
60,2,-4.000000,-4.000000,0.000000,0.015820
60,3,-4.000000,-4.000000,0.000000,0.015820
60,5,-2.000000,-4.000000,0.000000,0.015820
60,7,2.000000,-4.000000,0.000000,0.015820
60,10,4.000000,2.000000,0.000000,0.015820
90,1,-4.000000,-4.000000,0.000000,0.012102
90,2,-4.000000,-4.000000,0.000000,0.012102
90,3,-4.000000,-4.000000,0.000000,0.012102
90,5,-4.000000,-4.000000,0.000000,0.012102
90,7,-2.000000,-4.000000,0.000000,0.012102
90,10,0.000000,-2.000000,0.000000,0.012102
180,1,-4.000000,-4.000000,0.000000,0.307546
180,2,10.000000,-4.000000,0.000000,0.307546
180,3,NaN,-4.000000,0.000000,0.307546
180,5,NaN,NaN,0.000000,0.307546
180,7,NaN,NaN,0.000000,0.307546
180,10,NaN,NaN,0.000000,0.307546
