route_name,phase_offset_deg,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_rate,tol_success_rate,tol_success_rate_rel,rmse_deg,snr90_db,snr90_rel_db,mean_bias_deg,max_bias_deg,lambda2_over_noise,degraded_sample_count,num_peaks_found
verify_coh_phase00_completely_inphase_baseline,0,1,5.450000,-2.725000,2.725000,-4,1.000000,1.000000,1.000000,0.050746,-4.000000,-4.000000,0.001757,0.050685,15.746036,0,2.000000
verify_coh_phase00_completely_inphase_baseline,0,1,5.450000,-2.725000,2.725000,-2,1.000000,1.000000,1.000000,0.050294,-4.000000,-4.000000,0.000820,0.050105,24.505209,0,2.000000
verify_coh_phase00_completely_inphase_baseline,0,1,5.450000,-2.725000,2.725000,0,1.000000,1.000000,1.000000,0.049909,-4.000000,-4.000000,0.000790,0.050090,38.171113,0,2.000000
verify_coh_phase00_completely_inphase_baseline,0,1,5.450000,-2.725000,2.725000,2,1.000000,1.000000,1.000000,0.049377,-4.000000,-4.000000,0.000940,0.049903,60.077646,0,2.000000
verify_coh_phase00_completely_inphase_baseline,0,1,5.450000,-2.725000,2.725000,4,1.000000,1.000000,1.000000,0.049497,-4.000000,-4.000000,0.000771,0.049996,94.702564,0,2.000000
verify_coh_phase00_completely_inphase_baseline,0,1,5.450000,-2.725000,2.725000,6,1.000000,1.000000,1.000000,0.049470,-4.000000,-4.000000,0.001227,0.050504,149.313542,0,2.000000
verify_coh_phase00_completely_inphase_baseline,0,1,5.450000,-2.725000,2.725000,8,1.000000,1.000000,1.000000,0.049400,-4.000000,-4.000000,0.001303,0.050589,236.409031,0,2.000000
verify_coh_phase00_completely_inphase_baseline,0,1,5.450000,-2.725000,2.725000,10,1.000000,1.000000,1.000000,0.049261,-4.000000,-4.000000,0.001383,0.050569,373.136297,0,2.000000
verify_coh_phase00_completely_inphase_baseline,0,1,5.450000,-2.725000,2.725000,12,1.000000,1.000000,1.000000,0.049219,-4.000000,-4.000000,0.001262,0.050428,590.897156,0,2.000000
verify_coh_phase00_completely_inphase_baseline,0,1,5.450000,-2.725000,2.725000,14,1.000000,1.000000,1.000000,0.049192,-4.000000,-4.000000,0.001257,0.050407,932.862056,0,2.000000
verify_coh_phase00_completely_inphase_baseline,0,1,5.450000,-2.725000,2.725000,16,1.000000,1.000000,1.000000,0.049290,-4.000000,-4.000000,0.001206,0.050464,1469.093834,0,2.000000
verify_coh_phase00_completely_inphase_baseline,0,1,5.450000,-2.725000,2.725000,18,1.000000,1.000000,1.000000,0.049240,-4.000000,-4.000000,0.001203,0.050419,2295.536315,0,2.000000
verify_coh_phase00_completely_inphase_baseline,0,1,5.450000,-2.725000,2.725000,20,1.000000,1.000000,1.000000,0.049248,-4.000000,-4.000000,0.001214,0.050441,3561.604235,0,2.000000
verify_coh_phase00_completely_inphase_baseline,0,1,5.450000,-2.725000,2.725000,22,1.000000,1.000000,1.000000,0.049213,-4.000000,-4.000000,0.001219,0.050412,5435.538146,0,2.000000
verify_coh_phase00_completely_inphase_baseline,0,1,5.450000,-2.725000,2.725000,24,1.000000,1.000000,1.000000,0.049236,-4.000000,-4.000000,0.001195,0.050413,8121.253117,0,2.000000
verify_coh_phase00_completely_inphase_baseline,0,1,5.450000,-2.725000,2.725000,26,1.000000,1.000000,1.000000,0.049226,-4.000000,-4.000000,0.001247,0.050455,11728.161471,0,2.000000
verify_coh_phase00_completely_inphase_baseline,0,1,5.450000,-2.725000,2.725000,28,1.000000,1.000000,1.000000,0.049223,-4.000000,-4.000000,0.001229,0.050435,16311.774470,0,2.000000
verify_coh_phase00_completely_inphase_baseline,0,1,5.450000,-2.725000,2.725000,30,1.000000,1.000000,1.000000,0.049222,-4.000000,-4.000000,0.001191,0.050397,21627.879871,0,2.000000
verify_coh_phase00_completely_inphase_baseline,0,2,2.725000,-1.362500,1.362500,-4,1.000000,0.200000,1.000000,0.151653,4.000000,-4.000000,-0.016801,0.084830,1.702293,0,2.000000
verify_coh_phase00_completely_inphase_baseline,0,2,2.725000,-1.362500,1.362500,-2,1.000000,0.435000,1.000000,0.094931,4.000000,-4.000000,-0.011207,0.062214,2.182946,0,2.000000
verify_coh_phase00_completely_inphase_baseline,0,2,2.725000,-1.362500,1.362500,0,1.000000,0.715000,1.000000,0.070308,4.000000,-4.000000,-0.012702,0.054551,2.936368,0,2.000000
verify_coh_phase00_completely_inphase_baseline,0,2,2.725000,-1.362500,1.362500,2,1.000000,0.880000,1.000000,0.055544,4.000000,-4.000000,-0.010082,0.046526,4.155721,0,2.000000
verify_coh_phase00_completely_inphase_baseline,0,2,2.725000,-1.362500,1.362500,4,1.000000,0.965000,1.000000,0.047042,4.000000,-4.000000,-0.009319,0.043642,6.046702,0,2.000000
