K_fbss,phase_offset_deg,sep_factor,snr90_db,snr90_rel_db,degraded_rate
28,0,1,-4.000000,-4.000000,0.000000
28,0,2,4.000000,-4.000000,0.000000
28,0,3,12.000000,2.000000,0.056389
28,0,5,22.000000,14.000000,0.313056
28,0,7,28.000000,24.000000,0.488056
28,0,10,NaN,NaN,0.665278
28,5,1,-4.000000,-4.000000,0.000000
28,5,2,4.000000,-4.000000,0.000000
28,5,3,10.000000,2.000000,0.048889
28,5,5,20.000000,12.000000,0.256944
28,5,7,22.000000,18.000000,0.369444
28,5,10,26.000000,24.000000,0.467222
28,15,1,-4.000000,-4.000000,0.000000
28,15,2,2.000000,-4.000000,0.000000
28,15,3,6.000000,-4.000000,0.000000
28,15,5,12.000000,4.000000,0.031389
28,15,7,14.000000,10.000000,0.108611
28,15,10,16.000000,14.000000,0.193333
28,30,1,-4.000000,-4.000000,0.000000
28,30,2,-2.000000,-4.000000,0.000000
28,30,3,2.000000,-4.000000,0.000000
28,30,5,4.000000,-2.000000,0.000000
28,30,7,8.000000,2.000000,0.000556
28,30,10,10.000000,8.000000,0.029444
24,0,1,-4.000000,-4.000000,0.000000
24,0,2,2.000000,-4.000000,0.000000
24,0,3,10.000000,-2.000000,0.001944
24,0,5,18.000000,10.000000,0.201389
24,0,7,24.000000,20.000000,0.373611
24,0,10,30.000000,28.000000,0.552222
24,5,1,-4.000000,-4.000000,0.000000
24,5,2,2.000000,-4.000000,0.000000
24,5,3,8.000000,-2.000000,0.001667
24,5,5,16.000000,10.000000,0.181944
24,5,7,22.000000,16.000000,0.320000
24,5,10,26.000000,24.000000,0.446389
24,15,1,-4.000000,-4.000000,0.000000
24,15,2,0.000000,-4.000000,0.000000
24,15,3,4.000000,-4.000000,0.000000
24,15,5,12.000000,4.000000,0.040833
24,15,7,14.000000,10.000000,0.122222
24,15,10,16.000000,14.000000,0.214722
24,30,1,-4.000000,-4.000000,0.000000
24,30,2,-2.000000,-4.000000,0.000000
24,30,3,2.000000,-4.000000,0.000000
24,30,5,4.000000,-2.000000,0.000000
24,30,7,8.000000,4.000000,0.004444
24,30,10,12.000000,10.000000,0.051944
