stress_group,case_name,stress_value,beta_true,phase_true_deg,rho,route_name,K_phi,P_phi,sep_factor,theta_sep_deg,snr_db,raw_success_rate,tol_success_rate_abs01,tol_success_rate_rel025,rmse_deg,mean_pair_sep_error,mean_pair_center_error,snr90_abs01,snr90_abs01_label,snr90_rel025,snr90_rel025_label,failure_rate,mean_beta_hat,std_beta_hat,mean_beta_error,mean_abs_beta_error,mean_phi_hat_deg,std_phi_hat_deg,mean_phi_error_deg,mean_abs_phi_error_deg,q_grid_hit_boundary_rate,angle_swap_rate,objective_true_rank_median,objective_true_rank_p90,objective_margin_true_vs_best,mean_alpha_hat,mean_sigma2_hat,model_mismatch_flag
amplitude_ratio,beta_1,1,1,0,1,center_real,28,38,10,0.2637754449,-4,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false
amplitude_ratio,beta_1,1,1,0,1,center_real,28,38,10,0.2637754449,8,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false
amplitude_ratio,beta_1,1,1,0,1,min_den_fb,28,38,10,0.2637754449,-4,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false
amplitude_ratio,beta_1,1,1,0,1,min_den_fb,28,38,10,0.2637754449,8,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false
amplitude_ratio,beta_1,1,1,0,1,covfit_rank1_equal_phase,28,38,10,0.2637754449,-4,1,0.98,0.89,0.04122445667,0.06522856229,0.0006,-4,<= -4 dB,0,0 dB,0.02,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,1,4,1.015087531e-06,NaN,NaN,false
amplitude_ratio,beta_1,1,1,0,1,covfit_rank1_equal_phase,28,38,10,0.2637754449,8,1,1,1,0.01880086099,0.03181227753,0,-4,<= -4 dB,0,0 dB,0,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,1,1,1.305253115e-07,NaN,NaN,false
amplitude_ratio,beta_1,1,1,0,1,covfit_rank1_complex_gain_grid,28,38,10,0.2637754449,-4,1,0.44,0.34,0.1261353416,0.1222020356,0.0758,NaN,NaN,NaN,NaN,0.56,0.685,0.5428397554,-0.315,0.553,34.2,70.61416289,-34.2,34.2,1,0,17.5,58,2.128068096e-06,4988.319944,9.951192965,false
amplitude_ratio,beta_1,1,1,0,1,covfit_rank1_complex_gain_grid,28,38,10,0.2637754449,0,1,0.21,0.12,0.1537080806,0.1200816796,0.12425,NaN,NaN,NaN,NaN,0.79,0.232,0.1690443729,-0.768,0.768,1.8,17.90977387,-1.8,1.8,1,0,9,34.5,8.355689383e-07,2597.409259,3.956005496,false
amplitude_ratio,beta_1,1,1,0,1,covfit_rank1_complex_gain_grid,28,38,10,0.2637754449,4,1,0.16,0.1,0.180111351,0.1485541352,0.146975,NaN,NaN,NaN,NaN,0.84,0.189,0.1567769116,-0.811,0.811,0,0,0,0,1,0,8,21,4.033618358e-07,2636.161233,1.573828566,false
amplitude_ratio,beta_1,1,1,0,1,covfit_rank1_complex_gain_grid,28,38,10,0.2637754449,8,1,0.21,0.08,0.188730364,0.1597520996,0.150125,NaN,NaN,NaN,NaN,0.79,0.205,0.1538668255,-0.795,0.795,0,0,0,0,1,0,6,13.5,1.208113474e-07,2574.843097,0.6255755473,false
amplitude_ratio,beta_0p8,0.8,0.8,0,1,center_real,28,38,10,0.2637754449,-4,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true
amplitude_ratio,beta_0p8,0.8,0.8,0,1,center_real,28,38,10,0.2637754449,8,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true
amplitude_ratio,beta_0p8,0.8,0.8,0,1,min_den_fb,28,38,10,0.2637754449,-4,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true
amplitude_ratio,beta_0p8,0.8,0.8,0,1,min_den_fb,28,38,10,0.2637754449,8,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true
amplitude_ratio,beta_0p8,0.8,0.8,0,1,covfit_rank1_equal_phase,28,38,10,0.2637754449,-4,1,0.93,0.78,0.04319458744,0.0621744911,0.014725,-4,<= -4 dB,0,0 dB,0.07,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,44.5,51,5.566631711e-05,NaN,NaN,true
