route_name,K_phi,P_phi,sep_factor,theta_sep_deg,snr_db,raw_success_rate,tol_success_rate_abs01,tol_success_rate_rel025,rmse_deg,degraded_rate,mean_pair_sep_est,mean_pair_center_est,mean_objective_best,mean_objective_true_pair,objective_true_rank_median,psd_violation_rate,sigma2_negative_rate
center_real,20,46,7,0.376822064,24,0.960000000,0.900000000,0.880000000,0.064473716,0.040000000,0.258125000,-0.001296116,NaN,NaN,NaN,NaN,NaN
center_real,20,46,7,0.376822064,28,1.000000000,1.000000000,1.000000000,0.060625908,0.000000000,0.258000000,0.003645551,NaN,NaN,NaN,NaN,NaN
center_real,20,46,7,0.376822064,30,1.000000000,1.000000000,1.000000000,0.060410918,0.000000000,0.257100000,-0.000104449,NaN,NaN,NaN,NaN,NaN
center_real,20,46,10,0.263775445,24,0.040000000,0.020000000,0.000000000,0.114892320,0.960000000,0.272500000,0.045995551,NaN,NaN,NaN,NaN,NaN
center_real,20,46,10,0.263775445,28,0.320000000,0.300000000,0.200000000,0.062321938,0.680000000,0.159062500,0.007401801,NaN,NaN,NaN,NaN,NaN
center_real,20,46,10,0.263775445,30,0.420000000,0.420000000,0.240000000,0.056955238,0.580000000,0.155238095,-0.001325878,NaN,NaN,NaN,NaN,NaN
center_real,24,42,7,0.376822064,24,0.920000000,0.860000000,0.800000000,0.070893327,0.080000000,0.240434783,0.001484681,NaN,NaN,NaN,NaN,NaN
center_real,24,42,7,0.376822064,28,1.000000000,1.000000000,0.980000000,0.069104522,0.000000000,0.240000000,-0.000354449,NaN,NaN,NaN,NaN,NaN
center_real,24,42,7,0.376822064,30,1.000000000,1.000000000,1.000000000,0.067052028,0.000000000,0.243700000,0.001295551,NaN,NaN,NaN,NaN,NaN
center_real,24,42,10,0.263775445,24,0.080000000,0.080000000,0.000000000,0.070669411,0.920000000,0.230000000,-0.017754449,NaN,NaN,NaN,NaN,NaN
center_real,24,42,10,0.263775445,28,0.200000000,0.200000000,0.140000000,0.056548036,0.800000000,0.158000000,-0.000754449,NaN,NaN,NaN,NaN,NaN
center_real,24,42,10,0.263775445,30,0.260000000,0.240000000,0.060000000,0.073286039,0.740000000,0.119615385,0.000130166,NaN,NaN,NaN,NaN,NaN
min_den_fb,20,46,7,0.376822064,24,0.960000000,0.900000000,0.880000000,0.064446926,0.040000000,0.258229167,-0.001348199,NaN,NaN,NaN,NaN,NaN
min_den_fb,20,46,7,0.376822064,28,1.000000000,1.000000000,1.000000000,0.060586179,0.000000000,0.258100000,0.003595551,NaN,NaN,NaN,NaN,NaN
min_den_fb,20,46,7,0.376822064,30,1.000000000,1.000000000,1.000000000,0.060270491,0.000000000,0.257400000,-0.000254449,NaN,NaN,NaN,NaN,NaN
