stage,route_name,K_phi,P_phi,sep_factor,theta_sep_deg,snr_db,phase_offset_deg,raw_success_rate,tol_success_rate_abs01,tol_success_rate_rel025,rmse_deg,degraded_rate,snr90_abs01,snr90_rel025,mean_pair_sep_est,std_pair_sep_est,mean_pair_sep_bias,mean_abs_pair_sep_error,mean_pair_center_est,std_pair_center_est,mean_pair_center_bias,mean_abs_pair_center_error,objective_true_rank_median,objective_true_rank_p90,objective_margin_true_vs_best,objective_valley_sep_width_mean,objective_valley_center_width_mean
ksnr_scan,center_real,16,50,7,0.376822064,18,0.000000000,0.020000000,0.000000000,0.000000000,0.239908948,0.980000000,26.000000000,28.000000000,0.515000000,0.000000000,0.138177936,0.138177936,0.229745551,0.000000000,0.229745551,0.229745551,NaN,NaN,NaN,NaN,NaN
ksnr_scan,center_real,16,50,7,0.376822064,20,0.000000000,0.160000000,0.080000000,0.080000000,0.088065840,0.840000000,26.000000000,28.000000000,0.230625000,0.049964831,-0.146197064,0.146197064,0.012558051,0.040377854,0.012558051,0.027314725,NaN,NaN,NaN,NaN,NaN
ksnr_scan,center_real,16,50,7,0.376822064,22,0.000000000,0.520000000,0.300000000,0.220000000,0.081529702,0.480000000,26.000000000,28.000000000,0.247692308,0.047641102,-0.129129756,0.129129756,-0.002946757,0.043616131,-0.002946757,0.031730769,NaN,NaN,NaN,NaN,NaN
ksnr_scan,center_real,16,50,7,0.376822064,24,0.000000000,0.940000000,0.640000000,0.540000000,0.073724736,0.060000000,26.000000000,28.000000000,0.251808511,0.033965338,-0.125013554,0.125013554,0.008362572,0.034203741,0.008362572,0.025483191,NaN,NaN,NaN,NaN,NaN
ksnr_scan,center_real,16,50,7,0.376822064,26,0.000000000,0.940000000,0.900000000,0.840000000,0.063150515,0.060000000,26.000000000,28.000000000,0.262127660,0.022685282,-0.114694405,0.114694405,0.001926402,0.023810070,0.001926402,0.018367305,NaN,NaN,NaN,NaN,NaN
ksnr_scan,center_real,16,50,7,0.376822064,28,0.000000000,1.000000000,1.000000000,0.980000000,0.059251521,0.000000000,26.000000000,28.000000000,0.263400000,0.015730226,-0.113422064,0.113422064,0.002345551,0.015074482,0.002345551,0.012259288,NaN,NaN,NaN,NaN,NaN
ksnr_scan,center_real,16,50,7,0.376822064,30,0.000000000,1.000000000,1.000000000,1.000000000,0.056776067,0.000000000,26.000000000,28.000000000,0.265900000,0.010520932,-0.110922064,0.110922064,-0.001204449,0.010884507,-0.001204449,0.008311068,NaN,NaN,NaN,NaN,NaN
ksnr_scan,center_real,16,50,10,0.263775445,18,0.000000000,0.000000000,0.000000000,0.000000000,NaN,1.000000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ksnr_scan,center_real,16,50,10,0.263775445,20,0.000000000,0.020000000,0.000000000,0.000000000,1.131498049,1.000000000,NaN,NaN,1.735000000,0.000000000,1.471224555,1.471224555,0.859745551,0.000000000,0.859745551,0.859745551,NaN,NaN,NaN,NaN,NaN
ksnr_scan,center_real,16,50,10,0.263775445,22,0.000000000,0.020000000,0.000000000,0.000000000,0.395148537,0.980000000,NaN,NaN,0.690000000,0.000000000,0.426224555,0.426224555,-0.332754449,0.000000000,-0.332754449,0.332754449,NaN,NaN,NaN,NaN,NaN
ksnr_scan,center_real,16,50,10,0.263775445,24,0.000000000,0.000000000,0.000000000,0.000000000,NaN,1.000000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ksnr_scan,center_real,16,50,10,0.263775445,26,0.000000000,0.020000000,0.000000000,0.000000000,0.183443968,0.980000000,NaN,NaN,0.390000000,0.000000000,0.126224555,0.126224555,0.172245551,0.000000000,0.172245551,0.172245551,NaN,NaN,NaN,NaN,NaN
ksnr_scan,center_real,16,50,10,0.263775445,28,0.000000000,0.160000000,0.160000000,0.040000000,0.074788255,0.840000000,NaN,NaN,0.170000000,0.062098712,-0.093775445,0.093775445,-0.008379449,0.048585460,-0.008379449,0.033813612,NaN,NaN,NaN,NaN,NaN
ksnr_scan,center_real,16,50,10,0.263775445,30,0.000000000,0.320000000,0.320000000,0.120000000,0.062516794,0.680000000,NaN,NaN,0.156250000,0.036379081,-0.107525445,0.107525445,0.003808051,0.025933735,0.003808051,0.015656806,NaN,NaN,NaN,NaN,NaN
ksnr_scan,center_real,20,46,7,0.376822064,18,0.000000000,0.240000000,0.120000000,0.080000000,0.113061531,0.760000000,26.000000000,26.000000000,0.311666667,0.084491946,-0.065155398,0.093411032,0.029745551,0.095142437,0.029745551,0.074498517,NaN,NaN,NaN,NaN,NaN
ksnr_scan,center_real,20,46,7,0.376822064,20,0.000000000,0.560000000,0.400000000,0.280000000,0.076393619,0.440000000,26.000000000,26.000000000,0.249464286,0.041086566,-0.127357778,0.127357778,0.003763408,0.036671437,0.003763408,0.028821111,NaN,NaN,NaN,NaN,NaN
ksnr_scan,center_real,20,46,7,0.376822064,22,0.000000000,0.780000000,0.640000000,0.580000000,0.069071763,0.220000000,26.000000000,26.000000000,0.255384615,0.040022183,-0.121437449,0.121437449,0.008912217,0.024581975,0.008912217,0.019505612,NaN,NaN,NaN,NaN,NaN
ksnr_scan,center_real,20,46,7,0.376822064,24,0.000000000,0.940000000,0.880000000,0.780000000,0.067856210,0.060000000,26.000000000,26.000000000,0.250851064,0.029631050,-0.125971000,0.125971000,-0.001903386,0.020351150,-0.001903386,0.015229954,NaN,NaN,NaN,NaN,NaN
ksnr_scan,center_real,20,46,7,0.376822064,26,0.000000000,1.000000000,0.960000000,0.940000000,0.065136392,0.000000000,26.000000000,26.000000000,0.251900000,0.024553818,-0.124922064,0.124922064,0.001795551,0.013690234,0.001795551,0.010719466,NaN,NaN,NaN,NaN,NaN
ksnr_scan,center_real,20,46,7,0.376822064,28,0.000000000,1.000000000,1.000000000,1.000000000,0.060086300,0.000000000,26.000000000,26.000000000,0.258900000,0.013427211,-0.117922064,0.117922064,0.002795551,0.009004027,0.002795551,0.008078754,NaN,NaN,NaN,NaN,NaN
ksnr_scan,center_real,20,46,7,0.376822064,30,0.000000000,1.000000000,1.000000000,1.000000000,0.059739688,0.000000000,26.000000000,26.000000000,0.258900000,0.009658675,-0.117922064,0.117922064,0.000895551,0.008264533,0.000895551,0.006429644,NaN,NaN,NaN,NaN,NaN
ksnr_scan,center_real,20,46,10,0.263775445,18,0.000000000,0.000000000,0.000000000,0.000000000,NaN,1.000000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ksnr_scan,center_real,20,46,10,0.263775445,20,0.000000000,0.000000000,0.000000000,0.000000000,NaN,1.000000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ksnr_scan,center_real,20,46,10,0.263775445,22,0.000000000,0.000000000,0.000000000,0.000000000,NaN,1.000000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ksnr_scan,center_real,20,46,10,0.263775445,24,0.000000000,0.000000000,0.000000000,0.000000000,NaN,1.000000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ksnr_scan,center_real,20,46,10,0.263775445,26,0.000000000,0.280000000,0.220000000,0.060000000,0.088915476,0.720000000,NaN,NaN,0.214285714,0.076854620,-0.049489731,0.078585969,0.043674122,0.062526525,0.043674122,0.055677936,NaN,NaN,NaN,NaN,NaN
ksnr_scan,center_real,20,46,10,0.263775445,28,0.000000000,0.280000000,0.280000000,0.200000000,0.052227008,0.720000000,NaN,NaN,0.181428571,0.028935184,-0.082346874,0.082346874,0.000102694,0.028689488,0.000102694,0.019394764,NaN,NaN,NaN,NaN,NaN
ksnr_scan,center_real,20,46,10,0.263775445,30,0.000000000,0.400000000,0.400000000,0.220000000,0.059642238,0.600000000,NaN,NaN,0.148750000,0.024843259,-0.115025445,0.115025445,0.000120551,0.009755607,0.000120551,0.006900445,NaN,NaN,NaN,NaN,NaN
