experiment_stage,route_name,K_phi,P_phi,subarray_span_deg,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_count,tol_success_count_abs01,tol_success_count_rel025,raw_success_rate,tol_success_rate_abs01,tol_success_rate_rel025,rmse_deg,rmse_valid_count,mean_num_peaks,lambda2_over_noise_mean,degraded_count,degraded_rate,snr90_abs01,snr90_rel025
sanity,level2_ula_root_music_65col_baseline,28,38,50.625000000,5,0.527550890,-0.263775445,0.263775445,20,20,20,20,1.000000000,1.000000000,1.000000000,0.067895255,20,2.000000000,11.593706308,0,0.000000000,20.000000000,20.000000000
sanity,level2_ula_root_music_65col_baseline,28,38,50.625000000,5,0.527550890,-0.263775445,0.263775445,24,20,20,20,1.000000000,1.000000000,1.000000000,0.066745796,20,2.000000000,27.171087235,0,0.000000000,20.000000000,20.000000000
sanity,level2_ula_root_music_65col_baseline,28,38,50.625000000,5,0.527550890,-0.263775445,0.263775445,28,20,20,20,1.000000000,1.000000000,1.000000000,0.066691891,20,2.000000000,64.125893289,0,0.000000000,20.000000000,20.000000000
sanity,level2_ula_root_music_65col_baseline,28,38,50.625000000,5,0.527550890,-0.263775445,0.263775445,30,20,20,20,1.000000000,1.000000000,1.000000000,0.066621301,20,2.000000000,97.412060881,0,0.000000000,20.000000000,20.000000000
sanity,level2_ula_root_music_65col_baseline,28,38,50.625000000,7,0.376822064,-0.188411032,0.188411032,20,20,14,9,1.000000000,0.700000000,0.450000000,0.073937386,20,2.000000000,3.704388749,0,0.000000000,28.000000000,28.000000000
sanity,level2_ula_root_music_65col_baseline,28,38,50.625000000,7,0.376822064,-0.188411032,0.188411032,24,20,16,16,1.000000000,0.800000000,0.800000000,0.075106236,20,2.000000000,7.885409781,0,0.000000000,28.000000000,28.000000000
sanity,level2_ula_root_music_65col_baseline,28,38,50.625000000,7,0.376822064,-0.188411032,0.188411032,28,20,19,19,1.000000000,0.950000000,0.950000000,0.071481581,20,2.000000000,18.088362563,0,0.000000000,28.000000000,28.000000000
sanity,level2_ula_root_music_65col_baseline,28,38,50.625000000,7,0.376822064,-0.188411032,0.188411032,30,20,20,20,1.000000000,1.000000000,1.000000000,0.072571561,20,2.000000000,27.731801541,0,0.000000000,28.000000000,28.000000000
sanity,level2_ula_root_music_65col_baseline,28,38,50.625000000,10,0.263775445,-0.131887722,0.131887722,20,20,1,0,1.000000000,0.050000000,0.000000000,0.129308694,20,2.000000000,1.617171660,0,0.000000000,NaN,NaN
sanity,level2_ula_root_music_65col_baseline,28,38,50.625000000,10,0.263775445,-0.131887722,0.131887722,24,20,7,0,1.000000000,0.350000000,0.000000000,0.092919819,20,2.000000000,2.581879616,0,0.000000000,NaN,NaN
sanity,level2_ula_root_music_65col_baseline,28,38,50.625000000,10,0.263775445,-0.131887722,0.131887722,28,20,9,0,1.000000000,0.450000000,0.000000000,0.087236911,20,2.000000000,5.064195532,0,0.000000000,NaN,NaN
sanity,level2_ula_root_music_65col_baseline,28,38,50.625000000,10,0.263775445,-0.131887722,0.131887722,30,20,4,0,1.000000000,0.200000000,0.000000000,0.101573777,20,2.000000000,7.413898358,0,0.000000000,NaN,NaN
sanity,level2_center_real_grid_music,28,38,50.625000000,5,0.527550890,-0.263775445,0.263775445,20,20,20,20,1.000000000,1.000000000,1.000000000,0.068531414,20,2.000000000,11.593706308,0,0.000000000,20.000000000,20.000000000
sanity,level2_center_real_grid_music,28,38,50.625000000,5,0.527550890,-0.263775445,0.263775445,24,20,20,20,1.000000000,1.000000000,1.000000000,0.066304560,20,2.000000000,27.171087235,0,0.000000000,20.000000000,20.000000000
sanity,level2_center_real_grid_music,28,38,50.625000000,5,0.527550890,-0.263775445,0.263775445,28,20,20,20,1.000000000,1.000000000,1.000000000,0.066687756,20,2.000000000,64.125893289,0,0.000000000,20.000000000,20.000000000
sanity,level2_center_real_grid_music,28,38,50.625000000,5,0.527550890,-0.263775445,0.263775445,30,20,20,20,1.000000000,1.000000000,1.000000000,0.067172665,20,2.000000000,97.412060881,0,0.000000000,20.000000000,20.000000000
sanity,level2_center_real_grid_music,28,38,50.625000000,7,0.376822064,-0.188411032,0.188411032,20,14,14,12,0.700000000,0.700000000,0.600000000,0.064270663,14,1.700000000,3.704388749,6,0.300000000,28.000000000,28.000000000
sanity,level2_center_real_grid_music,28,38,50.625000000,7,0.376822064,-0.188411032,0.188411032,24,16,12,11,0.800000000,0.600000000,0.550000000,0.083990748,16,1.800000000,7.885409781,4,0.200000000,28.000000000,28.000000000
sanity,level2_center_real_grid_music,28,38,50.625000000,7,0.376822064,-0.188411032,0.188411032,28,19,19,19,0.950000000,0.950000000,0.950000000,0.077320840,19,1.950000000,18.088362563,1,0.050000000,28.000000000,28.000000000
