experiment_stage,route_name,case_name,stress_group,beta_true,phase_true_deg,snr_db,raw_success_rate,tol_success_rate_abs01,tol_success_rate_rel025,rmse_deg,mean_pair_sep_error,mean_pair_center_error,mean_beta_hat,mean_abs_beta_error,mean_phi_hat_deg,mean_abs_phi_error_deg,q_grid_hit_boundary_rate,angle_swap_rate,reciprocal_q_better_rate,fallback_rate,q1_selected_rate,true_q_objective_rank_median,score_best_mean,score_qgrid_mean,score_qtrue_mean,score_q1_mean,score_gap_qgrid_vs_qtrue,score_gap_qgrid_vs_q1,K_phi,P_phi,sep_factor,theta_sep_deg
snr8_sanity,covfit_rank1_equal_phase,beta_1,amplitude_ratio,1,0,8,1,1,1,0.01722220566,0.0264244911,0,0,0,0,0,0,0,0,0,0,1,-2.549798549e-07,-3.239407049e-06,-1.362077681e-07,-2.549798549e-07,-3.103199281e-06,-2.984427194e-06,28,38,10,0.2637754449
snr8_sanity,covfit_rank1_equal_phase,beta_0p8,amplitude_ratio,0.8,0,8,1,0.99,0.98,0.0261940721,0.03213161568,0.014925,0,0,0,0,0,0,0,0,0,45,3.31571299e-07,-1.847828944e-05,-7.795464197e-07,3.31571299e-07,-1.769874302e-05,-1.880986073e-05,28,38,10,0.2637754449
snr8_sanity,covfit_rank1_equal_phase,beta_0p5,amplitude_ratio,0.5,0,8,1,0.96,0.64,0.04983725222,0.03728263348,0.043875,0,0,0,0,0,0,0,0,0,165.5,3.526264623e-07,-1.942854233e-06,-6.918031921e-07,3.526264623e-07,-1.251051041e-06,-2.295480696e-06,28,38,10,0.2637754449
snr8_sanity,covfit_rank1_equal_phase,beta_0p3,amplitude_ratio,0.3,0,8,1,0.55,0,0.08172552733,0.06346628476,0.071175,0,0,0,0,0,0,0,0,0,267,-1.444488859e-06,-1.909759114e-05,-6.58022574e-07,-1.444488859e-06,-1.843956857e-05,-1.765310228e-05,28,38,10,0.2637754449
snr8_sanity,covfit_rank1_equal_phase,beta_0p1,amplitude_ratio,0.1,0,8,1,0,0,0.1240508411,0.1071223915,0.10785,0,0,0,0,0,0,0,0,0,400,-1.004839988e-06,-2.872010775e-05,-4.641980357e-07,-1.004839988e-06,-2.825590971e-05,-2.771526776e-05,28,38,10,0.2637754449
snr8_sanity,covfit_rank1_equal_phase,phase_150,phase_offset,1,150,8,1,0,0,0.1463099927,0.2919245551,0,0,0,0,0,0,0,0,0,0,12,0.0008005549714,0.0007998920201,0.00292172343,0.0008005549714,-0.00212183141,-6.629512573e-07,28,38,10,0.2637754449
snr8_sanity,covfit_rank1_equal_phase,phase_180,phase_offset,1,180,8,1,0,0,0.2681584296,0.5362245551,0.00335,0,0,0,0,0,0,0,0,0,176,0.2116456665,-0.006150629863,-0.006150629863,0.2116456665,0,-0.2177962964,28,38,10,0.2637754449
snr8_sanity,covfit_rank1_equal_phase,case_1_beta0p3_phase60,beta_phase_combo,0.3,60,8,1,0.24,0,0.0964278855,0.06859077586,0.086225,0,0,0,0,0,0,0,0,0,324,-1.761572482e-06,-2.345200721e-05,2.231996626e-05,-1.761572482e-06,-4.577197347e-05,-2.169043473e-05,28,38,10,0.2637754449
snr8_sanity,covfit_rank1_equal_phase,case_2_beta0p3_phase150,beta_phase_combo,0.3,150,8,1,0,0,0.2287289667,0.1856754449,0.2087,0,0,0,0,0,0,0,0,0,780,2.836178173e-06,-7.46312198e-05,4.772320172e-05,2.836178173e-06,-0.0001223544215,-7.746739797e-05,28,38,10,0.2637754449
snr8_sanity,covfit_rank1_equal_phase,case_5_beta0p1_phase90,beta_phase_combo,0.1,90,8,1,0,0,0.1492034049,0.1387754449,0.1296,0,0,0,0,0,0,0,0,0,489,-4.706580388e-07,-1.017735622e-05,6.511141418e-06,-4.706580388e-07,-1.668849764e-05,-9.706698185e-06,28,38,10,0.2637754449
snr8_sanity,complex_gain_grid_old,beta_1,amplitude_ratio,1,0,8,1,0.22,0.2,0.1366248178,0.1458856869,0.0941,0.849,0.587,108,108,1,0,0.41,0,0,6,-3.239407049e-06,-3.239407049e-06,-1.362077681e-07,-2.549798549e-07,-3.103199281e-06,-2.984427194e-06,28,38,10,0.2637754449
snr8_sanity,complex_gain_grid_old,beta_0p8,amplitude_ratio,0.8,0,8,1,0.04,0.04,0.2025216574,0.1903744271,0.157625,0.858,0.34,172.8,172.8,1,0.31,0.31,0,0,8,-1.847828944e-05,-1.847828944e-05,-7.795464197e-07,3.31571299e-07,-1.769874302e-05,-1.880986073e-05,28,38,10,0.2637754449
snr8_sanity,complex_gain_grid_old,beta_0p5,amplitude_ratio,0.5,0,8,1,0.61,0.32,0.09370730349,0.04388575084,0.0748,1.051,0.813,12.6,12.6,1,0.48,0.48,0,0,8,-1.942854233e-06,-1.942854233e-06,-6.918031921e-07,3.526264623e-07,-1.251051041e-06,-2.295480696e-06,28,38,10,0.2637754449
snr8_sanity,complex_gain_grid_old,beta_0p3,amplitude_ratio,0.3,0,8,1,0.23,0.03,0.2043177998,0.1381723915,0.160775,0.968,0.688,109.8,109.8,1,0.43,0.43,0,0,10,-1.909759114e-05,-1.909759114e-05,-6.58022574e-07,-1.444488859e-06,-1.843956857e-05,-1.765310228e-05,28,38,10,0.2637754449
snr8_sanity,complex_gain_grid_old,beta_0p1,amplitude_ratio,0.1,0,8,1,0.06,0,0.2317715954,0.1985254449,0.143525,0.73,0.63,178.2,178.2,1,0.26,0.26,0,0,12,-2.872010775e-05,-2.872010775e-05,-4.641980357e-07,-1.004839988e-06,-2.825590971e-05,-2.771526776e-05,28,38,10,0.2637754449
snr8_sanity,complex_gain_grid_old,phase_150,phase_offset,1,150,8,1,0,0,0.2170645496,0.3436245551,0.0943,0.866,0.452,0,150,1,0,0.41,0,0,96340,0.0007998920201,0.0007998920201,0.00292172343,0.0008005549714,-0.00212183141,-6.629512573e-07,28,38,10,0.2637754449
snr8_sanity,complex_gain_grid_old,phase_180,phase_offset,1,180,8,1,0,0,0.107087441,0.2101254449,0.010975,1,0,180,0,1,0,0,0,0,50,-0.006150629863,-0.006150629863,-0.006150629863,0.2116456665,0,-0.2177962964,28,38,10,0.2637754449
snr8_sanity,complex_gain_grid_old,case_1_beta0p3_phase60,beta_phase_combo,0.3,60,8,1,0.01,0,0.2159892083,0.188599936,0.14825,0.766,0.496,167.4,115.8,1,0.25,0.25,0,0,4125,-2.345200721e-05,-2.345200721e-05,2.231996626e-05,-1.761572482e-06,-4.577197347e-05,-2.169043473e-05,28,38,10,0.2637754449
snr8_sanity,complex_gain_grid_old,case_2_beta0p3_phase150,beta_phase_combo,0.3,150,8,1,0.02,0.01,0.1244696127,0.2048754449,0.04655,0.784,0.484,180,30,1,0.01,0.01,0,0,6859,-7.46312198e-05,-7.46312198e-05,4.772320172e-05,2.836178173e-06,-0.0001223544215,-7.746739797e-05,28,38,10,0.2637754449
snr8_sanity,complex_gain_grid_old,case_5_beta0p1_phase90,beta_phase_combo,0.1,90,8,1,0.1,0,0.1504380042,0.1903254449,0.063975,0.493,0.393,176.4,90,1,0.06,0.06,0,0,1553.5,-1.017735622e-05,-1.017735622e-05,6.511141418e-06,-4.706580388e-07,-1.668849764e-05,-9.706698185e-06,28,38,10,0.2637754449
snr8_sanity,complex_gain_q_fixed_true,beta_1,amplitude_ratio,1,0,8,1,1,1,0.01477906237,0.0240755089,0,1,0,0,0,1,0,0,0,0,1,-1.362077681e-07,-3.239407049e-06,-1.362077681e-07,-2.549798549e-07,-3.103199281e-06,-2.984427194e-06,28,38,10,0.2637754449
snr8_sanity,complex_gain_q_fixed_true,beta_0p8,amplitude_ratio,0.8,0,8,1,1,1,0.02271616481,0.04115006397,0.002675,0.8,0,0,0,1,0,0,0,0,3,-7.795464197e-07,-1.847828944e-05,-7.795464197e-07,3.31571299e-07,-1.769874302e-05,-1.880986073e-05,28,38,10,0.2637754449
snr8_sanity,complex_gain_q_fixed_true,beta_0p5,amplitude_ratio,0.5,0,8,1,1,0.89,0.03108394757,0.04600922414,0.008075,0.5,0,0,0,1,0,0,0,0,2,-6.918031921e-07,-1.942854233e-06,-6.918031921e-07,3.526264623e-07,-1.251051041e-06,-2.295480696e-06,28,38,10,0.2637754449
snr8_sanity,complex_gain_q_fixed_true,beta_0p3,amplitude_ratio,0.3,0,8,1,0.89,0.74,0.04393213132,0.05859592881,0.01605,0.3,0,0,0,1,0,0,0,0,1,-6.58022574e-07,-1.909759114e-05,-6.58022574e-07,-1.444488859e-06,-1.843956857e-05,-1.765310228e-05,28,38,10,0.2637754449
snr8_sanity,complex_gain_q_fixed_true,beta_0p1,amplitude_ratio,0.1,0,8,1,0.38,0.18,0.08484986429,0.118715267,0.048675,0.1,0,0,0,1,0,0,0,0,1,-4.641980357e-07,-2.872010775e-05,-4.641980357e-07,-1.004839988e-06,-2.825590971e-05,-2.771526776e-05,28,38,10,0.2637754449
snr8_sanity,complex_gain_q_fixed_true,phase_150,phase_offset,1,150,8,1,0,0,0.1069672156,0.2137754449,0.0034,1,0,150,0,0,0,0,0,0,358,0.00292172343,0.0007998920201,0.00292172343,0.0008005549714,-0.00212183141,-6.629512573e-07,28,38,10,0.2637754449
snr8_sanity,complex_gain_q_fixed_true,phase_180,phase_offset,1,180,8,1,0,0,0.107087441,0.2101254449,0.010975,1,0,180,0,1,0,0,0,0,50,-0.006150629863,-0.006150629863,-0.006150629863,0.2116456665,0,-0.2177962964,28,38,10,0.2637754449
snr8_sanity,complex_gain_q_fixed_true,case_1_beta0p3_phase60,beta_phase_combo,0.3,60,8,1,0,0,0.1277692655,0.2137754449,0.07,0.3,0,60,0,0,0,0,0,0,39,2.231996626e-05,-2.345200721e-05,2.231996626e-05,-1.761572482e-06,-4.577197347e-05,-2.169043473e-05,28,38,10,0.2637754449
snr8_sanity,complex_gain_q_fixed_true,case_2_beta0p3_phase150,beta_phase_combo,0.3,150,8,1,0,0,0.2005604278,0.2137754449,0.1697,0.3,0,150,0,0,0,0,0,0,54,4.772320172e-05,-7.46312198e-05,4.772320172e-05,2.836178173e-06,-0.0001223544215,-7.746739797e-05,28,38,10,0.2637754449
snr8_sanity,complex_gain_q_fixed_true,case_5_beta0p1_phase90,beta_phase_combo,0.1,90,8,1,0,0,0.1498331913,0.2137754449,0.105,0.1,0,90,0,1,0,0,0,0,20,6.511141418e-06,-1.017735622e-05,6.511141418e-06,-4.706580388e-07,-1.668849764e-05,-9.706698185e-06,28,38,10,0.2637754449
snr8_sanity,complex_gain_q1_forced,beta_1,amplitude_ratio,1,0,8,1,1,1,0.01722220566,0.0264244911,0,1,0,0,0,1,0,0,0,0,1,-2.549798549e-07,-3.239407049e-06,-1.362077681e-07,-2.549798549e-07,-3.103199281e-06,-2.984427194e-06,28,38,10,0.2637754449
snr8_sanity,complex_gain_q1_forced,beta_0p8,amplitude_ratio,0.8,0,8,1,0.99,0.98,0.0261940721,0.03213161568,0.014925,1,0.2,0,0,1,0,0,0,0,45,3.31571299e-07,-1.847828944e-05,-7.795464197e-07,3.31571299e-07,-1.769874302e-05,-1.880986073e-05,28,38,10,0.2637754449
snr8_sanity,complex_gain_q1_forced,beta_0p5,amplitude_ratio,0.5,0,8,1,0.96,0.64,0.04983725222,0.03728263348,0.043875,1,0.5,0,0,1,0,0,0,0,165.5,3.526264623e-07,-1.942854233e-06,-6.918031921e-07,3.526264623e-07,-1.251051041e-06,-2.295480696e-06,28,38,10,0.2637754449
snr8_sanity,complex_gain_q1_forced,beta_0p3,amplitude_ratio,0.3,0,8,1,0.55,0,0.08172552733,0.06346628476,0.071175,1,0.7,0,0,1,0,0,0,0,267,-1.444488859e-06,-1.909759114e-05,-6.58022574e-07,-1.444488859e-06,-1.843956857e-05,-1.765310228e-05,28,38,10,0.2637754449
snr8_sanity,complex_gain_q1_forced,beta_0p1,amplitude_ratio,0.1,0,8,1,0,0,0.1240508411,0.1071223915,0.10785,1,0.9,0,0,1,0,0,0,0,400,-1.004839988e-06,-2.872010775e-05,-4.641980357e-07,-1.004839988e-06,-2.825590971e-05,-2.771526776e-05,28,38,10,0.2637754449
snr8_sanity,complex_gain_q1_forced,phase_150,phase_offset,1,150,8,1,0,0,0.1463099927,0.2919245551,0,1,0,0,150,1,0,0,0,0,12,0.0008005549714,0.0007998920201,0.00292172343,0.0008005549714,-0.00212183141,-6.629512573e-07,28,38,10,0.2637754449
snr8_sanity,complex_gain_q1_forced,phase_180,phase_offset,1,180,8,1,0,0,0.2681584296,0.5362245551,0.00335,1,0,0,180,1,0,0,0,0,176,0.2116456665,-0.006150629863,-0.006150629863,0.2116456665,0,-0.2177962964,28,38,10,0.2637754449
snr8_sanity,complex_gain_q1_forced,case_1_beta0p3_phase60,beta_phase_combo,0.3,60,8,1,0.24,0,0.0964278855,0.06859077586,0.086225,1,0.7,0,60,1,0,0,0,0,324,-1.761572482e-06,-2.345200721e-05,2.231996626e-05,-1.761572482e-06,-4.577197347e-05,-2.169043473e-05,28,38,10,0.2637754449
snr8_sanity,complex_gain_q1_forced,case_2_beta0p3_phase150,beta_phase_combo,0.3,150,8,1,0,0,0.2287289667,0.1856754449,0.2087,1,0.7,0,150,1,0,0,0,0,780,2.836178173e-06,-7.46312198e-05,4.772320172e-05,2.836178173e-06,-0.0001223544215,-7.746739797e-05,28,38,10,0.2637754449
snr8_sanity,complex_gain_q1_forced,case_5_beta0p1_phase90,beta_phase_combo,0.1,90,8,1,0,0,0.1492034049,0.1387754449,0.1296,1,0.9,0,90,1,0,0,0,0,489,-4.706580388e-07,-1.017735622e-05,6.511141418e-06,-4.706580388e-07,-1.668849764e-05,-9.706698185e-06,28,38,10,0.2637754449
snr8_sanity,complex_gain_grid_with_fallback,beta_1,amplitude_ratio,1,0,8,1,0.35,0.35,0.1248246076,0.1318132314,0.074525,0.946,0.44,100.8,100.8,1,0,0.34,0.28,0.28,5,-3.102957011e-06,-3.239407049e-06,-1.362077681e-07,-2.549798549e-07,-3.103199281e-06,-2.984427194e-06,28,38,10,0.2637754449
snr8_sanity,complex_gain_grid_with_fallback,beta_0p8,amplitude_ratio,0.8,0,8,1,0.04,0.04,0.2025216574,0.1903744271,0.157625,0.858,0.34,172.8,172.8,1,0.31,0.31,0,0,8,-1.847828944e-05,-1.847828944e-05,-7.795464197e-07,3.31571299e-07,-1.769874302e-05,-1.880986073e-05,28,38,10,0.2637754449
snr8_sanity,complex_gain_grid_with_fallback,beta_0p5,amplitude_ratio,0.5,0,8,1,0.64,0.36,0.09138694521,0.04553982203,0.070925,1.043,0.761,12.6,12.6,1,0.41,0.41,0.15,0.15,9,-1.838793822e-06,-1.942854233e-06,-6.918031921e-07,3.526264623e-07,-1.251051041e-06,-2.295480696e-06,28,38,10,0.2637754449
snr8_sanity,complex_gain_grid_with_fallback,beta_0p3,amplitude_ratio,0.3,0,8,1,0.22,0,0.1964162537,0.1425479004,0.153525,0.928,0.628,102.6,102.6,1,0.12,0.12,0.43,0.43,16,-1.911967392e-05,-1.909759114e-05,-6.58022574e-07,-1.444488859e-06,-1.843956857e-05,-1.765310228e-05,28,38,10,0.2637754449
snr8_sanity,complex_gain_grid_with_fallback,beta_0p1,amplitude_ratio,0.1,0,8,1,0.06,0,0.2317169852,0.1986254449,0.143375,0.72,0.62,178.2,178.2,1,0.25,0.25,0.01,0.01,12.5,-2.871406394e-05,-2.872010775e-05,-4.641980357e-07,-1.004839988e-06,-2.825590971e-05,-2.771526776e-05,28,38,10,0.2637754449
snr8_sanity,complex_gain_grid_with_fallback,phase_150,phase_offset,1,150,8,1,0,0,0.1463099927,0.2919245551,0,1,0,0,150,1,0,0,1,1,12,0.0008005549714,0.0007998920201,0.00292172343,0.0008005549714,-0.00212183141,-6.629512573e-07,28,38,10,0.2637754449
snr8_sanity,complex_gain_grid_with_fallback,phase_180,phase_offset,1,180,8,1,0,0,0.107087441,0.2101254449,0.010975,1,0,180,0,1,0,0,0,0,50,-0.006150629863,-0.006150629863,-0.006150629863,0.2116456665,0,-0.2177962964,28,38,10,0.2637754449
snr8_sanity,complex_gain_grid_with_fallback,case_1_beta0p3_phase60,beta_phase_combo,0.3,60,8,1,0.03,0,0.2161842719,0.1799744271,0.154175,0.844,0.558,149.4,109.8,1,0.24,0.24,0.17,0.17,4123,-2.345710874e-05,-2.345200721e-05,2.231996626e-05,-1.761572482e-06,-4.577197347e-05,-2.169043473e-05,28,38,10,0.2637754449
snr8_sanity,complex_gain_grid_with_fallback,case_2_beta0p3_phase150,beta_phase_combo,0.3,150,8,1,0.02,0.01,0.1244696127,0.2048754449,0.04655,0.784,0.484,180,30,1,0.01,0.01,0,0,6859,-7.46312198e-05,-7.46312198e-05,4.772320172e-05,2.836178173e-06,-0.0001223544215,-7.746739797e-05,28,38,10,0.2637754449
snr8_sanity,complex_gain_grid_with_fallback,case_5_beta0p1_phase90,beta_phase_combo,0.1,90,8,1,0.1,0,0.1518550641,0.1897254449,0.066375,0.526,0.426,172.8,90,1,0.06,0.06,0.04,0.04,1553,-1.015664631e-05,-1.017735622e-05,6.511141418e-06,-4.706580388e-07,-1.668849764e-05,-9.706698185e-06,28,38,10,0.2637754449
snr8_sanity,complex_gain_normalized_grid,beta_1,amplitude_ratio,1,0,8,1,0.22,0.2,0.1366248178,0.1458856869,0.0941,0.849,0.587,108,108,1,0,0.41,0,0,6,-3.239407049e-06,-3.239407049e-06,-1.362077681e-07,-2.549798549e-07,-3.103199281e-06,-2.984427194e-06,28,38,10,0.2637754449
snr8_sanity,complex_gain_normalized_grid,beta_0p8,amplitude_ratio,0.8,0,8,1,0.04,0.04,0.2025216574,0.1903744271,0.157625,0.858,0.34,172.8,172.8,1,0.31,0.31,0,0,8,-1.847828944e-05,-1.847828944e-05,-7.795464197e-07,3.31571299e-07,-1.769874302e-05,-1.880986073e-05,28,38,10,0.2637754449
