stage,route_name,K_phi,P_phi,sep_factor,theta_sep_deg,snr_db,raw_success_rate,tol_success_rate_abs01,tol_success_rate_rel025,rmse_deg,degraded_rate,snr90_abs01,snr90_abs01_label,snr90_rel025,snr90_rel025_label,mean_pair_sep_est,std_pair_sep_est,mean_pair_sep_bias,mean_abs_pair_sep_error,mean_pair_center_est,std_pair_center_est,mean_pair_center_bias,mean_abs_pair_center_error,objective_true_rank_median,objective_true_rank_p90,mean_objective_best,mean_objective_true_pair,objective_margin_true_vs_best,objective_valley_sep_width_mean,objective_valley_center_width_mean
final_validation,center_real,28,38,1,2.637754449,-4,1,0,1,0.112524623,0,NaN,NaN,-4,<= -4 dB,2.41305,0.003528101467,-0.2247044493,0.2247044493,0.0006705506665,0.005933538152,0.0006705506665,0.004692811453,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,1,2.637754449,-2,1,0,1,0.1124530354,0,NaN,NaN,-4,<= -4 dB,2.41305,0.003308700646,-0.2247044493,0.2247044493,-0.0001044493335,0.004462622547,-0.0001044493335,0.003493256387,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,1,2.637754449,0,1,0,1,0.1123181711,0,NaN,NaN,-4,<= -4 dB,2.41325,0.002904737503,-0.2245044493,0.2245044493,-2.944933353e-05,0.003563618246,-2.944933353e-05,0.002841156827,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,1,2.637754449,2,1,0,1,0.1126524062,0,NaN,NaN,-4,<= -4 dB,2.41255,0.002692118117,-0.2252044493,0.2252044493,-0.0004794493335,0.003043332877,-0.0004794493335,0.002486512773,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,1,2.637754449,4,1,0,1,0.1124491614,0,NaN,NaN,-4,<= -4 dB,2.412925,0.002513836701,-0.2248294493,0.2248294493,-0.0001419493335,0.002478627392,-0.0001419493335,0.001871913213,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,1,2.637754449,6,1,0,1,0.1122495696,0,NaN,NaN,-4,<= -4 dB,2.4133,0.002420743679,-0.2244544493,0.2244544493,-0.0001044493335,0.001881488772,-0.0001044493335,0.001292491627,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,1,2.637754449,8,1,0,1,0.1122963972,0,NaN,NaN,-4,<= -4 dB,2.4132,0.00239999999,-0.2245544493,0.2245544493,-0.0003544493335,0.001655294536,-0.0003544493335,0.001170481053,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,1,2.637754449,10,1,0,1,0.1118368861,0,NaN,NaN,-4,<= -4 dB,2.4141,0.001920937262,-0.2236544493,0.2236544493,-0.0001044493335,0.00110792599,-0.0001044493335,0.0006683814935,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,1,2.637754449,12,1,0,1,0.1116964296,0,NaN,NaN,-4,<= -4 dB,2.414375,0.001653594559,-0.2233794493,0.2233794493,-0.0001919493335,0.0008816709987,-0.0001919493335,0.0005287819335,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,1,2.637754449,14,1,0,1,0.1114923953,0,NaN,NaN,-4,<= -4 dB,2.414775,0.001036520606,-0.2229794493,0.2229794493,-0.0002169493335,0.0005290025992,-0.0002169493335,0.0003516823735,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,1,2.637754449,16,1,0,1,0.1114158218,0,NaN,NaN,-4,<= -4 dB,2.414925,0.0006077622634,-0.2228294493,0.2228294493,-0.0002419493335,0.0003059309563,-0.0002419493335,0.0002868603469,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,1,2.637754449,18,1,0,1,0.1113902666,0,NaN,NaN,-4,<= -4 dB,2.414975,0.0003526683568,-0.2227794493,0.2227794493,-0.0002419493335,0.0001763341997,-0.0002419493335,0.0002644048402,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,1,2.637754449,20,1,0,1,0.1113775153,0,NaN,NaN,-4,<= -4 dB,2.415,0,-0.2227544493,0.2227544493,-0.0002544493335,0,-0.0002544493335,0.0002544493335,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,2,1.318877225,-4,1,0.215,1,0.09827677139,0,8,8 dB,-4,<= -4 dB,1.147,0.01558845727,-0.1718772247,0.1718772247,0.003795550666,0.04687987308,0.003795550666,0.03671482203,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,2,1.318877225,-2,1,0.3,1,0.09138828807,0,8,8 dB,-4,<= -4 dB,1.149125,0.01086781372,-0.1697522247,0.1697522247,8.050666473e-06,0.03344155116,8.050666473e-06,0.02698031145,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,2,1.318877225,0,1,0.465,1,0.08787165101,0,8,8 dB,-4,<= -4 dB,1.14935,0.006987667708,-0.1695272247,0.1695272247,-0.001429449334,0.02285403411,-0.001429449334,0.01816017797,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,2,1.318877225,2,1,0.595,1,0.08630441266,0,8,8 dB,-4,<= -4 dB,1.1504,0.006028266749,-0.1684772247,0.1684772247,0.001645550666,0.01845304853,0.001645550666,0.01497964405,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,2,1.318877225,4,1,0.71,1,0.08572173684,0,8,8 dB,-4,<= -4 dB,1.150125,0.004781147874,-0.1687522247,0.1687522247,0.003033050666,0.01462783626,0.003033050666,0.01178196608,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,2,1.318877225,6,1,0.88,1,0.08493897801,0,8,8 dB,-4,<= -4 dB,1.15035,0.004228179276,-0.1685272247,0.1685272247,-0.0004794493335,0.01046777794,-0.0004794493335,0.00853053392,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,2,1.318877225,8,1,0.955,1,0.0845958852,0,8,8 dB,-4,<= -4 dB,1.15045,0.00357735936,-0.1684272247,0.1684272247,-0.0007794493335,0.007792584616,-0.0007794493335,0.006265711893,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,2,1.318877225,10,1,0.975,1,0.08439005318,0,8,8 dB,-4,<= -4 dB,1.150675,0.003069100029,-0.1682022247,0.1682022247,-0.0004669493335,0.006790514984,-0.0004669493335,0.00534303392,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,2,1.318877225,12,1,1,1,0.08429843113,0,8,8 dB,-4,<= -4 dB,1.1506,0.002426932218,-0.1682772247,0.1682772247,0.0003455506665,0.005032643441,0.0003455506665,0.004180088987,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,2,1.318877225,14,1,1,1,0.08436253243,0,8,8 dB,-4,<= -4 dB,1.1504,0.002364318081,-0.1684772247,0.1684772247,0.0004955506665,0.004387482194,0.0004955506665,0.003637277533,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,2,1.318877225,16,1,1,1,0.08421001882,0,8,8 dB,-4,<= -4 dB,1.1506,0.002034698992,-0.1682772247,0.1682772247,0.0001455506665,0.003311344138,0.0001455506665,0.0028,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,2,1.318877225,18,1,1,1,0.08414050829,0,8,8 dB,-4,<= -4 dB,1.1507,0.002063976741,-0.1681772247,0.1681772247,-0.0003294493335,0.002748977082,-0.0003294493335,0.002440711893,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,2,1.318877225,20,1,1,1,0.08411795109,0,8,8 dB,-4,<= -4 dB,1.150725,0.001961982413,-0.1681522247,0.1681522247,3.305066647e-05,0.00246446622,3.305066647e-05,0.00222013348,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,3,0.8792514831,-4,0.47,0,0.275,0.2032520351,0.53,10,10 dB,0,0 dB,0.6410638298,0.1549912014,-0.2381876533,0.2605013253,0.01501150811,0.1445584197,0.01501150811,0.09842496391,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,3,0.8792514831,-2,0.85,0.04,0.735,0.1451112661,0.15,10,10 dB,0,0 dB,0.6783529412,0.07576623583,-0.2008985419,0.2022190778,0.001539668314,0.09762029665,0.001539668314,0.07287935942,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,3,0.8792514831,0,0.995,0.13,0.98,0.1146476653,0.005,10,10 dB,0,0 dB,0.7074120603,0.05907971835,-0.1718394228,0.1718394228,-0.00462630863,0.06977022527,-0.00462630863,0.05357212228,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,3,0.8792514831,2,1,0.27,1,0.09641595443,0,10,10 dB,0,0 dB,0.7275,0.0360381742,-0.1517514831,0.1517514831,0.001895550666,0.05666239935,0.001895550666,0.045425,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,3,0.8792514831,4,1,0.49,1,0.08335105693,0,10,10 dB,0,0 dB,0.735925,0.02145388951,-0.1433264831,0.1433264831,0.002958050666,0.04108480368,0.002958050666,0.03204214405,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,3,0.8792514831,6,1,0.63,1,0.07854873387,0,10,10 dB,0,0 dB,0.736975,0.01409696333,-0.1422764831,0.1422764831,-0.001191949334,0.03252925366,-0.001191949334,0.02517776696,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,3,0.8792514831,8,1,0.795,1,0.07395085675,0,10,10 dB,0,0 dB,0.739,0.011,-0.1402514831,0.1402514831,-0.001079449334,0.02279680625,-0.001079449334,0.018225,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,3,0.8792514831,10,1,0.96,1,0.07144734602,0,10,10 dB,0,0 dB,0.739675,0.007747217242,-0.1395764831,0.1395764831,-0.0008169493335,0.01478689771,-0.0008169493335,0.01157312291,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,3,0.8792514831,12,1,0.955,1,0.07132285231,0,10,10 dB,0,0 dB,0.73905,0.006292654448,-0.1402014831,0.1402014831,-0.001229449334,0.01270528925,-0.001229449334,0.009613612333,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,3,0.8792514831,14,1,1,1,0.07069243339,0,10,10 dB,0,0 dB,0.739375,0.005121950312,-0.1398764831,0.1398764831,-0.0004419493335,0.009965369725,-0.0004419493335,0.008015489427,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,3,0.8792514831,16,1,1,1,0.07020647209,0,10,10 dB,0,0 dB,0.739725,0.003846995581,-0.1395264831,0.1395264831,0.001233050666,0.007537810939,0.001233050666,0.005890044493,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,3,0.8792514831,18,1,1,1,0.06985765777,0,10,10 dB,0,0 dB,0.74,0.003391164992,-0.1392514831,0.1392514831,0.0001705506665,0.005426267133,0.0001705506665,0.004295355947,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,3,0.8792514831,20,1,1,1,0.06973458729,0,10,10 dB,0,0 dB,0.740125,0.002976470225,-0.1391264831,0.1391264831,-0.0003669493335,0.00463881383,-0.0003669493335,0.003696023347,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,5,0.5275508899,-4,0,0,0,NaN,1,18,18 dB,14,14 dB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,5,0.5275508899,-2,0.01,0,0,1.482134814,1,18,18 dB,14,14 dB,2.3525,0.1775,1.82494911,1.82494911,1.160995551,0.09125,1.160995551,1.160995551,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,5,0.5275508899,0,0.015,0,0,1.197512373,1,18,18 dB,14,14 dB,1.935,0.2546893533,1.40744911,1.40744911,-0.1952544493,0.9404608799,-0.1952544493,0.9517514831,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,5,0.5275508899,2,0.01,0,0,1.011283436,1,18,18 dB,14,14 dB,1.6975,0.0525,1.16994911,1.16994911,-0.8240044493,0.02875,-0.8240044493,0.8240044493,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,5,0.5275508899,4,0.025,0,0,0.7376407172,0.985,18,18 dB,14,14 dB,1.264,0.3140764238,0.7364491101,0.7364491101,0.2312455507,0.574794746,0.2312455507,0.5964491101,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,5,0.5275508899,6,0.055,0.005,0.02,0.2456808761,0.945,18,18 dB,14,14 dB,0.545,0.208468441,0.01744911013,0.1824953736,-0.1229817221,0.1851855781,-0.1229817221,0.1724346496,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,5,0.5275508899,8,0.41,0.1,0.31,0.1075926001,0.59,18,18 dB,14,14 dB,0.3805487805,0.07358836607,-0.1470021094,0.1532166567,-0.001138595675,0.06941652729,-0.001138595675,0.04468945847,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,5,0.5275508899,10,0.71,0.25,0.57,0.09517565421,0.29,18,18 dB,14,14 dB,0.3928169014,0.05936122646,-0.1347339885,0.1357184704,0.005097663343,0.06010963542,0.005097663343,0.04363751194,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,5,0.5275508899,12,0.905,0.455,0.86,0.08325494126,0.095,18,18 dB,14,14 dB,0.3846961326,0.04708979827,-0.1428547573,0.1428547573,0.003847760611,0.03550137023,0.003847760611,0.02659774673,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,5,0.5275508899,14,0.975,0.61,0.97,0.07917051694,0.025,18,18 dB,14,14 dB,0.383,0.03803641979,-0.1445508899,0.1445508899,0.002694268615,0.02598613903,0.002694268615,0.02035245002,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,5,0.5275508899,16,1,0.8,1,0.07277590234,0,18,18 dB,14,14 dB,0.391275,0.02676750595,-0.1362758899,0.1362758899,-0.0002919493335,0.02177940182,-0.0002919493335,0.01700276696,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,5,0.5275508899,18,1,0.93,1,0.06989804334,0,18,18 dB,14,14 dB,0.39305,0.01866005091,-0.1345008899,0.1345008899,-0.0002544493335,0.01661324773,-0.0002544493335,0.01279281145,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,5,0.5275508899,20,1,0.99,1,0.06816113225,0,18,18 dB,14,14 dB,0.393725,0.01373860892,-0.1338258899,0.1338258899,0.0002330506665,0.01101617419,0.0002330506665,0.00884513348,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,7,0.3768220642,-4,0,0,0,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,7,0.3768220642,-2,0,0,0,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,7,0.3768220642,0,0,0,0,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,7,0.3768220642,2,0,0,0,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,7,0.3768220642,4,0.01,0,0,1.471406397,1,NaN,NaN,NaN,NaN,2.2575,0.2175,1.880677936,1.880677936,0.1084955507,1.12125,0.1084955507,1.12125,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,7,0.3768220642,6,0.01,0,0,1.42474932,1,NaN,NaN,NaN,NaN,2.2025,0.0425,1.825677936,1.825677936,1.093495551,0.02125,1.093495551,1.093495551,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,7,0.3768220642,8,0.005,0,0,1.112751912,1,NaN,NaN,NaN,NaN,1.765,0,1.388177936,1.388177936,0.8697455507,0,0.8697455507,0.8697455507,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,7,0.3768220642,10,0.03,0,0,0.8067710923,0.985,NaN,NaN,NaN,NaN,1.27,0.3692560088,0.8931779358,0.8931779358,0.150578884,0.6282327506,0.150578884,0.6174151836,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,7,0.3768220642,12,0.035,0.005,0.005,0.4429806695,0.97,NaN,NaN,NaN,NaN,0.735,0.3135624795,0.3581779358,0.4015556684,-0.1231115922,0.3527353029,-0.1231115922,0.3265376211,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,7,0.3768220642,14,0.07,0.04,0.03,0.1024369994,0.93,NaN,NaN,NaN,NaN,0.2778571429,0.08626608102,-0.09896492133,0.1181840367,-0.02204016362,0.07548905178,-0.02204016362,0.05153762114,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,7,0.3768220642,16,0.335,0.22,0.165,0.07903006596,0.665,NaN,NaN,NaN,NaN,0.2608955224,0.05343377386,-0.1159265418,0.1160214056,-0.003276837393,0.04649172875,-0.003276837393,0.03380283648,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,7,0.3768220642,18,0.39,0.33,0.295,0.07290208475,0.61,NaN,NaN,NaN,NaN,0.2609615385,0.04609117005,-0.1158605257,0.1158605257,0.002598114769,0.03769548271,0.002598114769,0.02824370383,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,7,0.3768220642,20,0.6,0.525,0.48,0.07333945543,0.4,NaN,NaN,NaN,NaN,0.2446666667,0.04044406288,-0.1321553975,0.1321553975,-0.0004211160002,0.02456227912,-0.0004211160002,0.01589196329,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,10,0.2637754449,-4,0,0,0,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,10,0.2637754449,-2,0,0,0,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,10,0.2637754449,0,0,0,0,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,10,0.2637754449,2,0,0,0,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,10,0.2637754449,4,0,0,0,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,10,0.2637754449,6,0,0,0,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,10,0.2637754449,8,0,0,0,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,10,0.2637754449,10,0.01,0,0,1.434475074,1,NaN,NaN,NaN,NaN,2.15,0.19,1.886224555,1.886224555,0.09474555067,1.0725,0.09474555067,1.0725,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,10,0.2637754449,12,0.005,0,0,1.413882644,1,NaN,NaN,NaN,NaN,2.13,0,1.866224555,1.866224555,1.062245551,0,1.062245551,1.062245551,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,10,0.2637754449,14,0.02,0,0,1.124343047,1,NaN,NaN,NaN,NaN,1.6925,0.3082713902,1.428724555,1.428724555,-0.1065044493,0.8477811112,-0.1065044493,0.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,10,0.2637754449,16,0.005,0,0,0.9909539823,1,NaN,NaN,NaN,NaN,1.535,0,1.271224555,1.271224555,-0.7602544493,0,-0.7602544493,0.7602544493,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,10,0.2637754449,18,0.01,0,0,0.3676935479,0.99,NaN,NaN,NaN,NaN,0.615,0.2,0.3512245551,0.3512245551,-0.2877544493,0.1075,-0.2877544493,0.2877544493,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,center_real,28,38,10,0.2637754449,20,0.005,0,0,0.3978674266,0.995,NaN,NaN,NaN,NaN,0.7,0,0.4362245551,0.4362245551,-0.3327544493,0,-0.3327544493,0.3327544493,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,min_den_fb,28,38,1,2.637754449,-4,1,0,1,0.1127011923,0,NaN,NaN,-4,<= -4 dB,2.4127,0.003421987721,-0.2250544493,0.2250544493,0.0008455506665,0.005961543424,0.0008455506665,0.00469026696,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,min_den_fb,28,38,1,2.637754449,-2,1,0,1,0.1125403002,0,NaN,NaN,-4,<= -4 dB,2.412875,0.003257203549,-0.2248794493,0.2248794493,-1.694933353e-05,0.004469322516,-1.694933353e-05,0.003545578413,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,min_den_fb,28,38,1,2.637754449,0,1,0,1,0.1124417727,0,NaN,NaN,-4,<= -4 dB,2.413,0.002828427117,-0.2247544493,0.2247544493,9.555066647e-05,0.003535887442,9.555066647e-05,0.00281106784,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,min_den_fb,28,38,1,2.637754449,2,1,0,1,0.1128998495,0,NaN,NaN,-4,<= -4 dB,2.41205,0.002509482009,-0.2257044493,0.2257044493,-0.0002294493335,0.003020658041,-0.0002294493335,0.00246870132,NaN,NaN,NaN,NaN,NaN,NaN,NaN
final_validation,min_den_fb,28,38,1,2.637754449,4,1,0,1,0.1125989598,0,NaN,NaN,-4,<= -4 dB,2.412625,0.002496873036,-0.2251294493,0.2251294493,8.050666473e-06,0.00247988785,8.050666473e-06,0.001926557267,NaN,NaN,NaN,NaN,NaN,NaN,NaN
