stage,case_name,el_b_deg,el_mismatch_deg,snr_db,route_name,raw_success_rate,az_tol_success_rate_abs01,el_tol_success_rate_abs05,joint_tol_success_rate,az_rmse_deg,el_rmse_deg,pair_2d_rmse,peak_count_mean,degraded_rate,route_failure_reason,mean_objective_true_pair,mean_objective_best,objective_margin,objective_true_rank_median,el_hat_mean,el_hat_error_mean,el_hat_error_abs_mean,focused_power_peak_sharpness,lambda1_peak_sharpness,rank1_objective_valley_width_el,rank1_objective_selected_el_rank,el_selection_method,el_common_est_mean,el_common_est_error,same_raw_observation_flag,nonoracle_oracle_gap
B,el0_0,0,0,0,level2_rank1_wrong_el_assumed,1,1,1,1,0.0289734733039988,0,0.0289734733039988,2,0,ok,4.53950386692665e-07,2.22258624509893e-07,2.31691762182773e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,1,0
B,el0_0,0,0,0,level2_el_bank_old,1,1,0.44,0.44,0.0351244911013329,0.56,0.571919779283624,2,0.56,el_error,3.95249420717846e-07,1.2022585675161e-07,2.75023563966236e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,1,0.56
B,el0_0,0,0,0,level3_2d_music,0,0,0,0,NaN,NaN,NaN,1,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,1,1
B,el0_0,0,0,0,common_el_covfit_old,1,0.32,1,0.32,0.155939145820856,0,0.155939145820856,2,0.68,az_error,0.000136264370280726,0.000132128417553535,4.13595272719074e-06,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,0,NaN,1,0.68
B,el0_0,0,0,0,common_el_refocus_power,1,1,1,1,0.0289734733039988,0,0.0289734733039988,2,0,ok,4.53950386692665e-07,2.22258624509893e-07,2.31691762182773e-07,NaN,0,0,0,0.019552686855845,0.0200983256591002,NaN,NaN,focused_power,0,0,1,0
B,el0_0,0,0,0,common_el_refocus_2dmusic_peak,1,1,1,1,0.0289734733039988,0,0.0289734733039988,2,0,ok,4.53950386692665e-07,2.22258624509893e-07,2.31691762182773e-07,NaN,0,0,0,NaN,NaN,NaN,NaN,2dmusic_peak,0,0,1,0
B,el0_0,0,0,0,common_el_refocus_rank1_objective,1,1,0.52,0.52,0.0439020355946682,0.645,0.649398335942794,2,0.48,el_error,4.09472676390025e-07,5.42390539730639e-08,3.55233622416961e-07,NaN,-0.135,-0.135,0.645,NaN,NaN,2.95,1,rank1_objective,-0.135,-0.135,1,0.48
B,el0_0,0,0,0,oracle_el_rank1_covfit,1,1,1,1,0.0338701015933514,0.35,0.361098792102953,2,0,ok,0.000136245406108761,0.000131295993809775,4.94941229898606e-06,25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,1,0
B,el0_2,0,2,0,level2_rank1_wrong_el_assumed,1,0.98,0,0,0.0434928308090043,2,2.00068870701484,2,1,el_error,2.94718836339536e-06,2.45827944563324e-06,4.8890891776212e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,1,1
B,el0_2,0,2,0,level2_el_bank_old,1,1,0.44,0.44,0.0351244911013329,0.56,0.571919779283624,2,0.56,el_error,3.95249420717846e-07,1.2022585675161e-07,2.75023563966236e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,1,0.56
B,el0_2,0,2,0,level3_2d_music,0,0,0,0,NaN,NaN,NaN,1,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,1,1
B,el0_2,0,2,0,common_el_covfit_old,1,0.32,1,0.32,0.155939145820856,0,0.155939145820856,2,0.68,az_error,0.000136264370280726,0.000132128417553535,4.13595272719074e-06,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,0,NaN,1,0.68
B,el0_2,0,2,0,common_el_refocus_power,1,1,1,1,0.0289734733039988,0,0.0289734733039988,2,0,ok,4.53950386692665e-07,2.22258624509893e-07,2.31691762182773e-07,NaN,0,0,0,0.019552686855845,0.0200983256591002,NaN,NaN,focused_power,0,0,1,0
B,el0_2,0,2,0,common_el_refocus_2dmusic_peak,1,1,1,1,0.0289734733039988,0,0.0289734733039988,2,0,ok,4.53950386692665e-07,2.22258624509893e-07,2.31691762182773e-07,NaN,0,0,0,NaN,NaN,NaN,NaN,2dmusic_peak,0,0,1,0
B,el0_2,0,2,0,common_el_refocus_rank1_objective,1,1,0.52,0.52,0.0439020355946682,0.645,0.649398335942794,2,0.48,el_error,4.09472676390025e-07,5.42390539730639e-08,3.55233622416961e-07,NaN,-0.135,-0.135,0.645,NaN,NaN,2.95,1,rank1_objective,-0.135,-0.135,1,0.48
B,el0_2,0,2,0,oracle_el_rank1_covfit,1,1,1,1,0.0338701015933514,0.35,0.361098792102953,2,0,ok,0.000136245406108761,0.000131295993809775,4.94941229898606e-06,25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,1,0
B,el0_5,0,5,0,level2_rank1_wrong_el_assumed,1,0.68,0,0,0.0779225268053859,5,5.00080155334329,2,1,az_error,5.38094098964469e-05,4.77573017943917e-05,6.05210810205514e-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,1,1
B,el0_5,0,5,0,level2_el_bank_old,1,1,0.44,0.44,0.0351244911013329,0.56,0.571919779283624,2,0.56,el_error,3.95249420717846e-07,1.2022585675161e-07,2.75023563966236e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,1,0.56
