keypoint,value,note
oracle_dispatch_success_all,0.798039215686275,oracle-label dispatch mean joint success
observable_dispatch_success_all,0.728104575163399,observable dispatch mean joint success
observable_vs_oracle_gap_all,-0.0699346405228758,observable minus oracle success gap
route_agreement_rate_all,0.589542483660131,observable and oracle route agreement
low_confidence_rate_all,0.220261437908497,observable low-confidence rate
false_high_confidence_rate_all,0.0679738562091503,observable false high-confidence rate
false_medium_high_confidence_rate_all,0.0679738562091503,observable false medium/high-confidence rate
boundary_missed_rate_all,0.0568627450980392,observable missed-boundary rate
rho_scan_observable_success,0.814814814814815,observable success on rho scan
beta_scan_observable_success,0.397222222222222,observable success on beta scan
phase_scan_observable_success,0.586111111111111,observable success on phase scan
large_el_observable_success,1,observable success on large-el cases
beta03_low_confidence_rate,0.277777777777778,low-confidence rate at beta=0.3
phase150_low_confidence_rate,0.3,low-confidence rate at phase=150
large_el_caseB_observable_success,1,observable success on clean large-el case
large_el_caseF_observable_success,1,observable success on hardest representative case
