stage,group,case_name,el_b_deg,el_diff_deg,el_mismatch_deg,beta,phi_deg,rho,weak_target_truth_flag,anti_phase_truth_flag,large_el_truth_flag,common_el_truth_flag,snr_db,route_name,raw_success_rate,az_tol_success_rate_abs01,el_tol_success_rate_abs05,joint_tol_success_rate,az_rmse_deg,el_rmse_deg,pair_2d_rmse,peak_count_mean,degraded_rate,route_failure_reason,mean_objective_true_pair,mean_objective_best,objective_margin,objective_true_rank_median,el_hat_mean,el_hat_error_mean,el_hat_error_abs_mean,focused_power_peak_sharpness,lambda1_peak_sharpness,rank1_objective_valley_width_el,rank1_objective_selected_el_rank,el_selection_method,el_common_est_mean,el_common_est_error,recommended_route,confidence_flag,recommended_route_success_rate,weak_target_boundary_rate,anti_phase_boundary_rate,low_confidence_rate,oracle_dispatch_route,observable_dispatch_route,route_agreement_rate,oracle_dispatch_success_rate,observable_dispatch_success_rate,observable_vs_oracle_success_gap,dispatch_low_confidence_rate,boundary_unreliable_rate,false_high_confidence_rate,false_medium_high_confidence_rate,boundary_missed_rate,route_used_distribution,confidence_flag_distribution,main_failure_reason
rho_scan,rho_scan,rho_1,0,0,0,1,0,1,0,0,0,1,0,level2_music_or_center_real,0,0,0,0,NaN,NaN,NaN,1,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,0,0,0,0,common_el_refocus_power_rank1,common_el_refocus_power_rank1,1,1,1,0,0,0,0,0,0,common_el_refocus_power_rank1:1.000,medium:1.000,
rho_scan,rho_scan,rho_1,0,0,0,1,0,1,0,0,0,1,0,level2_rank1_fallback,1,1,1,1,0.0305408185022216,0,0.0305408185022216,2,0,ok,4.95079752043349e-07,2.51495886677319e-07,2.4358386536603e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,1,0,0,0,common_el_refocus_power_rank1,common_el_refocus_power_rank1,1,1,1,0,0,0,0,0,0,common_el_refocus_power_rank1:1.000,medium:1.000,
rho_scan,rho_scan,rho_1,0,0,0,1,0,1,0,0,0,1,0,common_el_refocus_power_rank1,1,1,1,1,0.0305408185022216,0,0.0305408185022216,2,0,ok,4.95079752043349e-07,2.51495886677319e-07,2.4358386536603e-07,NaN,0,0,0,0.0767864313712087,0.0789799799856002,NaN,NaN,focused_power,0,0,,,1,0,0,0,common_el_refocus_power_rank1,common_el_refocus_power_rank1,1,1,1,0,0,0,0,0,0,common_el_refocus_power_rank1:1.000,medium:1.000,
rho_scan,rho_scan,rho_1,0,0,0,1,0,1,0,0,0,1,0,level3_2d_music,0,0,0,0,NaN,NaN,NaN,1,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,0,0,0,0,common_el_refocus_power_rank1,common_el_refocus_power_rank1,1,1,1,0,0,0,0,0,0,common_el_refocus_power_rank1:1.000,medium:1.000,
rho_scan,rho_scan,rho_1,0,0,0,1,0,1,0,0,0,1,0,pair_el_local_covfit,0,0,0,0,NaN,NaN,NaN,1,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,0,0,0,0,common_el_refocus_power_rank1,common_el_refocus_power_rank1,1,1,1,0,0,0,0,0,0,common_el_refocus_power_rank1:1.000,medium:1.000,
rho_scan,rho_scan,rho_1,0,0,0,1,0,1,0,0,0,1,0,oracle_label_dispatch,1,1,1,1,0.0305408185022216,0,0.0305408185022216,2,0,ok,4.95079752043349e-07,2.51495886677319e-07,2.4358386536603e-07,NaN,0,0,0,0.0767864313712087,0.0789799799856002,NaN,NaN,focused_power,0,0,common_el_refocus_power_rank1,high,1,0,0,0,common_el_refocus_power_rank1,common_el_refocus_power_rank1,1,1,1,0,0,0,0,0,0,common_el_refocus_power_rank1:1.000,medium:1.000,
rho_scan,rho_scan,rho_1,0,0,0,1,0,1,0,0,0,1,0,observable_dispatch,1,1,1,1,0.0305408185022216,0,0.0305408185022216,2,0,ok,4.95079752043349e-07,2.51495886677319e-07,2.4358386536603e-07,NaN,0,0,0,0.0767864313712087,0.0789799799856002,NaN,NaN,focused_power,0,0,common_el_refocus_power_rank1,medium,1,0,0,0,common_el_refocus_power_rank1,common_el_refocus_power_rank1,1,1,1,0,0,0,0,0,0,common_el_refocus_power_rank1:1.000,medium:1.000,
rho_scan,rho_scan,rho_1,0,0,0,1,0,1,0,0,0,1,8,level2_music_or_center_real,0,0,0,0,NaN,NaN,NaN,1,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,0,0,0,0,common_el_refocus_power_rank1,common_el_refocus_power_rank1,0.5,1,0.5,-0.5,0.5,0,0,0,0,common_el_refocus_power_rank1:0.500;low_confidence:0.500,medium:0.500;low:0.500,boundary_unreliable
rho_scan,rho_scan,rho_1,0,0,0,1,0,1,0,0,0,1,8,level2_rank1_fallback,1,1,1,1,0.0297483036711098,0,0.0297483036711098,2,0,ok,1.31009161158539e-07,2.46241789632834e-08,1.06384982195256e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,1,0,0,0,common_el_refocus_power_rank1,common_el_refocus_power_rank1,0.5,1,0.5,-0.5,0.5,0,0,0,0,common_el_refocus_power_rank1:0.500;low_confidence:0.500,medium:0.500;low:0.500,boundary_unreliable
rho_scan,rho_scan,rho_1,0,0,0,1,0,1,0,0,0,1,8,common_el_refocus_power_rank1,1,1,1,1,0.0297483036711098,0,0.0297483036711098,2,0,ok,1.31009161158539e-07,2.46241789632834e-08,1.06384982195256e-07,NaN,0,0,0,0.0790802746307874,0.079449934612689,NaN,NaN,focused_power,0,0,,,1,0,0,0,common_el_refocus_power_rank1,common_el_refocus_power_rank1,0.5,1,0.5,-0.5,0.5,0,0,0,0,common_el_refocus_power_rank1:0.500;low_confidence:0.500,medium:0.500;low:0.500,boundary_unreliable
