group,case_name,snr_db,beta,phi_deg,rho,el_a_deg,el_b_deg,el_diff_deg,el_assumed_deg,oracle_dispatch_route,full_observable_dispatch_route,cascade_dispatch_route,route_agreement_with_6b,oracle_dispatch_success_rate,full_6b_success_rate,cascade_success_rate,cascade_vs_full_success_gap,false_high_confidence_rate,false_medium_high_confidence_rate,boundary_missed_rate,low_confidence_rate,boundary_unreliable_rate,mean_routes_evaluated,mean_full_routes_available,mean_estimated_cost,mean_full_dispatch_cost,cost_reduction_vs_full_dispatch,heavy_route_trigger_rate,music2d_trigger_rate,pair_local_trigger_rate,early_stop_rate,cascade_route_distribution,cascade_confidence_distribution,main_failure_reason
rho_scan,rho_1,0,1,0,1,0,0,0,0,common_el_refocus_power_rank1,common_el_refocus_power_rank1,common_el_refocus_power_rank1,1,1,1,1,0,0,0,0,0,0,2,4,3,13,0.769230769230769,0,0,0,1,common_el_refocus_power_rank1:1.000,medium:1.000,
rho_scan,rho_1,8,1,0,1,0,0,0,0,common_el_refocus_power_rank1,common_el_refocus_power_rank1,common_el_refocus_power_rank1,1,1,0.5,0.5,0,0,0,0,0.5,0,3,4,8,13,0.384615384615385,0.5,0.5,0,0.5,common_el_refocus_power_rank1:0.500;low_confidence:0.500,medium:0.500;low:0.500,no_reliable_observable_route
rho_scan,rho_1,16,1,0,1,0,0,0,0,common_el_refocus_power_rank1,low_confidence,low_confidence,1,1,0.4,0.4,0,0,0,0,0.6,0,3.2,4,9,13,0.307692307692308,0.6,0.6,0,0.4,low_confidence:0.600;common_el_refocus_power_rank1:0.400,low:0.600;medium:0.400,no_reliable_observable_route
rho_scan,rho_0.7,0,1,0,0.7,0,0,0,0,level2_rank1_fallback,common_el_refocus_power_rank1,common_el_refocus_power_rank1,1,1,0.933333333333333,0.933333333333333,0,0,0,0,0.0666666666666667,0,2.13333333333333,4,3.66666666666667,13,0.717948717948718,0.0666666666666667,0.0666666666666667,0,0.933333333333333,common_el_refocus_power_rank1:0.933;low_confidence:0.067,medium:0.933;low:0.067,no_reliable_observable_route
rho_scan,rho_0.7,8,1,0,0.7,0,0,0,0,level2_rank1_fallback,common_el_refocus_power_rank1,common_el_refocus_power_rank1,1,0.966666666666667,0.533333333333333,0.533333333333333,0,0,0,0,0.466666666666667,0,2.93333333333333,4,7.66666666666667,13,0.41025641025641,0.466666666666667,0.466666666666667,0,0.533333333333333,common_el_refocus_power_rank1:0.533;low_confidence:0.467,medium:0.533;low:0.467,no_reliable_observable_route
rho_scan,rho_0.7,16,1,0,0.7,0,0,0,0,level2_music_or_center_real,level2_music_or_center_real,level2_music_or_center_real,1,1,1,1,0,0,0,0,0.166666666666667,0,1.6,4.63333333333333,3.2,19.3333333333333,0.83448275862069,0.166666666666667,0.166666666666667,0,0.933333333333333,level2_music_or_center_real:0.733;low_confidence:0.167;common_el_refocus_power_rank1:0.100,medium:0.833;low:0.167,
rho_scan,rho_0.5,0,1,0,0.5,0,0,0,0,level2_rank1_fallback,common_el_refocus_power_rank1,common_el_refocus_power_rank1,1,1,1,1,0,0,0,0,0,0,2,4,3,13,0.769230769230769,0,0,0,1,common_el_refocus_power_rank1:1.000,medium:1.000,
rho_scan,rho_0.5,8,1,0,0.5,0,0,0,0,level2_music_or_center_real,common_el_refocus_power_rank1,common_el_refocus_power_rank1,1,0.966666666666667,0.966666666666667,0.966666666666667,0,0,0,0,0.1,0,1.9,4,3.4,13,0.738461538461539,0.1,0.1,0,0.9,common_el_refocus_power_rank1:0.600;level2_music_or_center_real:0.300;low_confidence:0.100,medium:0.900;low:0.100,no_reliable_observable_route
rho_scan,rho_0.5,16,1,0,0.5,0,0,0,0,level2_music_or_center_real,level2_music_or_center_real,level2_music_or_center_real,1,1,1,1,0,0,0,0,0.0333333333333333,0,1.3,5,1.8,23,0.921739130434783,0.0333333333333333,0.0333333333333333,0,1,level2_music_or_center_real:0.767;common_el_refocus_power_rank1:0.200;low_confidence:0.033,medium:0.967;low:0.033,
beta_scan,beta_1,0,1,0,1,0,0,0,0,common_el_refocus_power_rank1,common_el_refocus_power_rank1,common_el_refocus_power_rank1,1,1,0.933333333333333,0.933333333333333,0,0,0,0,0.0666666666666667,0,2.13333333333333,4,3.66666666666667,13,0.717948717948718,0.0666666666666667,0.0666666666666667,0,0.933333333333333,common_el_refocus_power_rank1:0.933;low_confidence:0.067,medium:0.933;low:0.067,no_reliable_observable_route
