summary_level,group,case_name,SNR,num_trials,full_success_rate,lazy_success_rate,lazy_vs_full_success_gap,route_agreement_full_vs_lazy,lazy_false_high_confidence_rate,lazy_false_medium_high_confidence_rate,lazy_boundary_missed_rate,lazy_low_confidence_rate,lazy_boundary_unreliable_rate,mean_full_runtime_sec,median_full_runtime_sec,p90_full_runtime_sec,p95_full_runtime_sec,mean_lazy_runtime_sec,median_lazy_runtime_sec,p90_lazy_runtime_sec,p95_lazy_runtime_sec,mean_runtime_speedup,median_runtime_speedup,p90_runtime_speedup,mean_runtime_reduction,mean_executed_stage_count,execution_rate_level2_music,execution_rate_refocus,execution_rate_level2_rank1,execution_rate_2dmusic,execution_rate_pair_local,early_stop_rate,heavy_route_trigger_rate,pair_local_trigger_rate,early_stop_stage1_rate,early_stop_stage2_rate,early_stop_stage3_rate,early_stop_stage4_rate,early_stop_stage5_rate,early_stop_stage6_rate,main_lazy_route,main_failure_reason
overall,all,all,NaN,1530,0.73202614379085,0.731372549019608,-0.000653594771241828,0.716339869281046,0,0.0620915032679739,0,0.228104575163399,0.0764705882352941,0.629392155098039,0.63000145,0.65509118,0.66604594,0.405278095163399,0.60644975,0.65009652,0.659372975,3.44699485774491,1.02658757581516,7.10327168524536,0.359339851871785,3.79411764705882,1,1,0.860130718954248,0.581045751633987,0.352941176470588,0.771895424836601,0.581045751633987,0.352941176470588,0.106535947712418,0.0333333333333333,0.279084967320261,0,0.352941176470588,0.228104575163399,pair_el_local_covfit,ok
group,rho_scan,all,NaN,270,0.814814814814815,0.814814814814815,0,0.488888888888889,0,0,0,0.214814814814815,0,0.622752514074074,0.6145394,0.65197562,0.65987849,0.203565475555556,0.0918199,0.60881261,0.616439975,5.5610888217044,6.67792800538942,7.34084824732209,0.670493458653766,2.94074074074074,1,1,0.725925925925926,0.214814814814815,0,0.785185185185185,0.214814814814815,0,0.2,0.0740740740740741,0.511111111111111,0,0,0.214814814814815,level2_rank1_fallback,music_single_rank1_fallback
group,beta_scan,all,NaN,360,0.397222222222222,0.397222222222222,0,0.355555555555556,0,0.247222222222222,0,0.355555555555556,0,0.613748422222222,0.6105411,0.63408288,0.64393374,0.276489818333333,0.0928075,0.61514129,0.623087,4.66452524254264,6.5804255876353,6.89142848554028,0.549336216125895,3.35555555555556,1,1,1,0.355555555555556,0,0.644444444444444,0.355555555555556,0,0,0,0.644444444444444,0,0,0.355555555555556,level2_rank1_fallback,music_single_rank1_fallback
group,phase_scan,all,NaN,360,0.602777777777778,0.6,-0.00277777777777777,0.822222222222222,0,0.0166666666666667,0,0.452777777777778,0.325,0.626844227777778,0.62405235,0.65034176,0.663005275,0.32665284,0.0956998,0.61781219,0.62519762,4.31308809011018,6.55119607160941,7.37792190038671,0.474367973534024,3.06388888888889,1,1,0.611111111111111,0.452777777777778,0,0.547222222222222,0.452777777777778,0,0.302777777777778,0.0861111111111111,0.158333333333333,0,0,0.452777777777778,boundary_unreliable,ok
group,large_el,all,NaN,540,1,1,0,1,0,0,0,0,0,0.644839749074074,0.64099185,0.66532618,0.67709208,0.644410092962963,0.64123425,0.66227392,0.671821695,1.00086546432316,1.00104389857603,1.02689999091996,0.000413391203228807,5,1,1,1,1,1,1,1,1,0,0,0,0,1,0,pair_el_local_covfit,ok
scenario_snr,rho_scan,rho_1,0,30,1,1,0,0,0,0,0,0,0,0.629372216666667,0.6182596,0.67400423,0.68428236,0.0990788033333333,0.0936971,0.11750444,0.12203516,6.40898636359982,6.59925491922776,6.87928551783997,0.842939160563683,3,1,1,1,0,0,1,0,0,0,0,1,0,0,0,level2_rank1_fallback,music_single_rank1_fallback
scenario_snr,rho_scan,rho_1,8,30,0.5,0.5,0,0.5,0,0,0,0.5,0,0.608115166666667,0.604889,0.61980556,0.627860515,0.35015587,0.3472617,0.61158638,0.617788255,3.82869598274612,3.63342415518305,6.77971342754826,0.424627844579774,3.5,1,1,1,0.5,0,0.5,0.5,0,0,0,0.5,0,0,0.5,level2_rank1_fallback,music_single_rank1_fallback
scenario_snr,rho_scan,rho_1,16,30,0.4,0.4,0,0.6,0,0,0,0.6,0,0.61233941,0.6075154,0.63054364,0.6440604,0.402796763333333,0.603209,0.61473488,0.62049432,3.25085976401213,1.02461139580358,6.80947706793455,0.344275217198803,3.6,1,1,1,0.6,0,0.4,0.6,0,0,0,0.4,0,0,0.6,low_confidence,no_reliable_observable_route
scenario_snr,rho_scan,rho_0.7,0,30,0.933333333333333,0.933333333333333,0,0.0666666666666667,0,0,0,0.0666666666666667,0,0.61519425,0.61322725,0.62751858,0.630879895,0.12736333,0.09165475,0.10238776,0.38349258,6.2832381613015,6.68311688949242,6.93506557172133,0.792499883648123,3.06666666666667,1,1,1,0.0666666666666667,0,0.933333333333333,0.0666666666666667,0,0,0,0.933333333333333,0,0,0.0666666666666667,level2_rank1_fallback,music_single_rank1_fallback
scenario_snr,rho_scan,rho_0.7,8,30,0.533333333333333,0.533333333333333,0,0.5,0,0,0,0.466666666666667,0,0.613250356666667,0.6119378,0.63717053,0.6410225,0.334869146666667,0.09809015,0.62445476,0.626222235,4.04561632945555,6.16826449973383,6.91315184162669,0.450978599679168,3.43333333333333,1,1,0.966666666666667,0.466666666666667,0,0.533333333333333,0.466666666666667,0,0,0.0333333333333333,0.5,0,0,0.466666666666667,level2_rank1_fallback,music_single_rank1_fallback
