keypoint,value,note
part7_cascade_success_all,0.731372549019608,part-7 estimated cascade success
part7_estimated_cost_reduction_all,0.355282991988169,part-7 estimated cost reduction
part7_music2d_trigger_rate_all,0.581045751633987,part-7 estimated 2D MUSIC trigger rate
part7_pair_local_trigger_rate_all,0.352941176470588,part-7 estimated pair-local trigger rate
part6b_observable_success_all,0.73202614379085,saved part-6B observable success
full_success_rate_all,0.764705882352941,overall full_success_rate
lazy_success_rate_all,0.764705882352941,overall lazy_success_rate
lazy_vs_full_success_gap_all,0,overall lazy_vs_full_success_gap
route_agreement_full_vs_lazy_all,0.69281045751634,overall route_agreement_full_vs_lazy
lazy_false_high_confidence_rate_all,0,overall lazy_false_high_confidence_rate
lazy_false_medium_high_confidence_rate_all,0.0457516339869281,overall lazy_false_medium_high_confidence_rate
lazy_boundary_missed_rate_all,0,overall lazy_boundary_missed_rate
lazy_low_confidence_rate_all,0.209150326797386,overall lazy_low_confidence_rate
lazy_boundary_unreliable_rate_all,0.0915032679738562,overall lazy_boundary_unreliable_rate
mean_full_runtime_sec_all,0.632977188235294,overall mean_full_runtime_sec
median_full_runtime_sec_all,0.6341659,overall median_full_runtime_sec
p90_full_runtime_sec_all,0.67327528,overall p90_full_runtime_sec
p95_full_runtime_sec_all,0.6801567,overall p95_full_runtime_sec
mean_lazy_runtime_sec_all,0.396803094117647,overall mean_lazy_runtime_sec
median_lazy_runtime_sec_all,0.6015385,overall median_lazy_runtime_sec
p90_lazy_runtime_sec_all,0.65355806,overall p90_lazy_runtime_sec
p95_lazy_runtime_sec_all,0.66816186,overall p95_lazy_runtime_sec
mean_runtime_speedup_all,3.56626016800883,overall mean_runtime_speedup
median_runtime_speedup_all,1.03564406296519,overall median_runtime_speedup
p90_runtime_speedup_all,7.11356588420951,overall p90_runtime_speedup
mean_runtime_reduction_all,0.376998770503756,overall mean_runtime_reduction
mean_executed_stage_count_all,3.7843137254902,overall mean_executed_stage_count
execution_rate_level2_music_all,1,overall execution_rate_level2_music
execution_rate_refocus_all,1,overall execution_rate_refocus
execution_rate_level2_rank1_all,0.869281045751634,overall execution_rate_level2_rank1
execution_rate_2dmusic_all,0.562091503267974,overall execution_rate_2dmusic
execution_rate_pair_local_all,0.352941176470588,overall execution_rate_pair_local
early_stop_rate_all,0.790849673202614,overall early_stop_rate
heavy_route_trigger_rate_all,0.562091503267974,overall heavy_route_trigger_rate
pair_local_trigger_rate_all,0.352941176470588,overall pair_local_trigger_rate
early_stop_stage1_rate_all,0.0849673202614379,overall early_stop_stage1_rate
early_stop_stage2_rate_all,0.0457516339869281,overall early_stop_stage2_rate
early_stop_stage3_rate_all,0.30718954248366,overall early_stop_stage3_rate
early_stop_stage4_rate_all,0,overall early_stop_stage4_rate
early_stop_stage5_rate_all,0.352941176470588,overall early_stop_stage5_rate
early_stop_stage6_rate_all,0.209150326797386,overall early_stop_stage6_rate
rho_scan_lazy_success_rate,0.888888888888889,group lazy success
rho_scan_mean_lazy_runtime_sec,0.169953114814815,group mean lazy runtime
rho_scan_mean_runtime_speedup,5.88368947499901,group mean runtime speedup
rho_scan_execution_rate_2dmusic,0.148148148148148,group 2D MUSIC execution rate
rho_scan_execution_rate_pair_local,0,group pair-local execution rate
rho_scan_false_high_rate,0,group false-high rate
rho_scan_low_confidence_rate,0.148148148148148,group low-confidence rate
beta_scan_lazy_success_rate,0.472222222222222,group lazy success
beta_scan_mean_lazy_runtime_sec,0.264911291666667,group mean lazy runtime
beta_scan_mean_runtime_speedup,4.83629153630359,group mean runtime speedup
beta_scan_execution_rate_2dmusic,0.333333333333333,group 2D MUSIC execution rate
beta_scan_execution_rate_pair_local,0,group pair-local execution rate
beta_scan_false_high_rate,0,group false-high rate
beta_scan_low_confidence_rate,0.333333333333333,group low-confidence rate
phase_scan_lazy_success_rate,0.611111111111111,group lazy success
phase_scan_mean_lazy_runtime_sec,0.322824586111111,group mean lazy runtime
phase_scan_mean_runtime_speedup,4.4044399830609,group mean runtime speedup
phase_scan_execution_rate_2dmusic,0.444444444444444,group 2D MUSIC execution rate
phase_scan_execution_rate_pair_local,0,group pair-local execution rate
phase_scan_false_high_rate,0,group false-high rate
phase_scan_low_confidence_rate,0.444444444444444,group low-confidence rate
large_el_lazy_success_rate,1,group lazy success
large_el_mean_lazy_runtime_sec,0.647474957407407,group mean lazy runtime
large_el_mean_runtime_speedup,1.00207139228253,group mean runtime speedup
large_el_execution_rate_2dmusic,1,group 2D MUSIC execution rate
large_el_execution_rate_pair_local,1,group pair-local execution rate
large_el_false_high_rate,0,group false-high rate
large_el_low_confidence_rate,0,group low-confidence rate
