summary_level,group,case_name,SNR,num_trials,full_success_rate,lazy_success_rate,lazy_vs_full_success_gap,route_agreement_full_vs_lazy,lazy_false_high_confidence_rate,lazy_false_medium_high_confidence_rate,lazy_boundary_missed_rate,lazy_low_confidence_rate,lazy_boundary_unreliable_rate,mean_full_runtime_sec,median_full_runtime_sec,p90_full_runtime_sec,p95_full_runtime_sec,mean_lazy_runtime_sec,median_lazy_runtime_sec,p90_lazy_runtime_sec,p95_lazy_runtime_sec,mean_runtime_speedup,median_runtime_speedup,p90_runtime_speedup,mean_runtime_reduction,mean_executed_stage_count,execution_rate_level2_music,execution_rate_refocus,execution_rate_level2_rank1,execution_rate_2dmusic,execution_rate_pair_local,early_stop_rate,heavy_route_trigger_rate,pair_local_trigger_rate,early_stop_stage1_rate,early_stop_stage2_rate,early_stop_stage3_rate,early_stop_stage4_rate,early_stop_stage5_rate,early_stop_stage6_rate,main_lazy_route,main_failure_reason
overall,all,all,NaN,153,0.764705882352941,0.764705882352941,0,0.69281045751634,0,0.0457516339869281,0,0.209150326797386,0.0915032679738562,0.632977188235294,0.6341659,0.67327528,0.6801567,0.396803094117647,0.6015385,0.65355806,0.66816186,3.56626016800883,1.03564406296519,7.11356588420951,0.376998770503756,3.7843137254902,1,1,0.869281045751634,0.562091503267974,0.352941176470588,0.790849673202614,0.562091503267974,0.352941176470588,0.0849673202614379,0.0457516339869281,0.30718954248366,0,0.352941176470588,0.209150326797386,pair_el_local_covfit,ok
group,rho_scan,all,NaN,27,0.888888888888889,0.888888888888889,0,0.407407407407407,0,0,0,0.148148148148148,0,0.63131582962963,0.629351,0.67574616,0.68271221,0.169953114814815,0.0934466,0.5976802,0.6057432,5.88368947499901,6.7126689259161,7.08498255650572,0.7300686327468,2.88888888888889,1,1,0.740740740740741,0.148148148148148,0,0.851851851851852,0.148148148148148,0,0.185185185185185,0.0740740740740741,0.592592592592593,0,0,0.148148148148148,level2_rank1_fallback,music_single_rank1_fallback
group,beta_scan,all,NaN,36,0.472222222222222,0.472222222222222,0,0.333333333333333,0,0.194444444444444,0,0.333333333333333,0,0.616701866666667,0.6095844,0.64612215,0.653170025,0.264911291666667,0.09258415,0.61590035,0.624644825,4.83629153630359,6.57917712518313,7.02183044278795,0.569581998484985,3.33333333333333,1,1,1,0.333333333333333,0,0.666666666666667,0.333333333333333,0,0,0,0.666666666666667,0,0,0.333333333333333,level2_rank1_fallback,music_single_rank1_fallback
group,phase_scan,all,NaN,36,0.611111111111111,0.611111111111111,0,0.805555555555556,0,0,0,0.444444444444444,0.388888888888889,0.626989033333333,0.62649,0.660256,0.669285025,0.322824586111111,0.0906342,0.6291428,0.6561016,4.4044399830609,6.56256187197532,7.52164087133774,0.482887357073401,3.08333333333333,1,1,0.638888888888889,0.444444444444444,0,0.555555555555556,0.444444444444444,0,0.222222222222222,0.138888888888889,0.194444444444444,0,0,0.444444444444444,boundary_unreliable,boundary_unreliable
group,large_el,all,NaN,54,1,1,0,1,0,0,0,0,0,0.648650185185185,0.6413208,0.67927445,0.68636782,0.647474957407407,0.64032235,0.67239281,0.68326154,1.00207139228253,1.00220373735088,1.02658608225294,0.0014826296816507,5,1,1,1,1,1,1,1,1,0,0,0,0,1,0,pair_el_local_covfit,ok
scenario_snr,rho_scan,rho_1,0,3,1,1,0,0,0,0,0,0,0,0.6706649,0.6698591,0.69439638,0.69746354,0.104754233333333,0.102408,0.11384424,0.11527377,6.42891178849765,6.54108175142567,6.70260802502665,0.844075072607023,3,1,1,1,0,0,1,0,0,0,0,1,0,0,0,level2_rank1_fallback,music_single_rank1_fallback
scenario_snr,rho_scan,rho_1,8,3,1,1,0,0,0,0,0,0,0,0.609435633333333,0.5965117,0.62896594,0.63302272,0.0935375,0.0922661,0.09537938,0.09576854,6.51385671370825,6.47055116299503,6.59439923701571,0.84645842958027,3,1,1,1,0,0,1,0,0,0,0,1,0,0,0,level2_rank1_fallback,music_single_rank1_fallback
scenario_snr,rho_scan,rho_1,16,3,0,0,0,1,0,0,0,1,0,0.631494533333333,0.6284478,0.65857916,0.66234558,0.609846866666667,0.6070344,0.61722752,0.61850166,1.03555244912077,1.01399215651853,1.08065576525381,0.0326036690321791,4,1,1,1,1,0,0,1,0,0,0,0,0,0,1,low_confidence,no_reliable_observable_route
scenario_snr,rho_scan,rho_0.7,0,3,1,1,0,0,0,0,0,0,0,0.621970433333333,0.6339373,0.63456058,0.63463849,0.0908137,0.0907447,0.09139406,0.09147523,6.84811656551061,6.93251809813405,6.9752580041804,0.853894839673891,3,1,1,1,0,0,1,0,0,0,0,1,0,0,0,level2_rank1_fallback,music_single_rank1_fallback
scenario_snr,rho_scan,rho_0.7,8,3,1,1,0,0,0,0,0,0,0,0.601231233333333,0.5998367,0.60464638,0.60524759,0.0958547,0.0972971,0.09981422,0.10012886,6.28785301378664,6.16500080680719,6.62890479656269,0.840523338202905,3,1,1,1,0,0,1,0,0,0,0,1,0,0,0,level2_rank1_fallback,music_single_rank1_fallback
