group,case_name,SNR,mc,full_route,lazy_route,full_success,lazy_success,route_agreement_full_vs_lazy,lazy_false_high_confidence,lazy_false_medium_high_confidence,lazy_boundary_missed,lazy_low_confidence,lazy_boundary_unreliable,full_runtime_sec,lazy_runtime_sec,runtime_speedup,runtime_reduction,full_t_level2_music,full_t_level2_rank1,full_t_refocus,full_t_2dmusic,full_t_pair_local,full_t_dispatch,lazy_t_level2_music,lazy_t_refocus,lazy_t_level2_rank1,lazy_t_2dmusic,lazy_t_pair_local,executed_level2_music,executed_refocus,executed_level2_rank1,executed_2dmusic,executed_pair_local,executed_stage_count,early_stop_stage,early_stop_flag,confidence_flag,failure_reason
rho_scan,rho_1,0,1,common_el_refocus_power_rank1,level2_rank1_fallback,1,1,0,0,0,0,0,0,0.7005307,0.1167033,6.00266402064038,0.83340730106475,0.0093217,0.0110345,0.1039268,0.5735755,0,0.0022545,0.009067,0.1015171,0.0034612,0,0,1,1,1,0,0,3,3,1,medium,music_single_rank1_fallback
rho_scan,rho_1,0,2,common_el_refocus_power_rank1,level2_rank1_fallback,1,1,0,0,0,0,0,0,0.6416049,0.0951514,6.7429895934269,0.851697828367583,0.0133664,0.0038241,0.090549,0.5296251,0,0.0034942,0.0067542,0.0815723,0.0034562,0,0,1,1,1,0,0,3,3,1,medium,music_single_rank1_fallback
rho_scan,rho_1,0,3,common_el_refocus_power_rank1,level2_rank1_fallback,1,1,0,0,0,0,0,0,0.6698591,0.102408,6.54108175142567,0.847120088388737,0.006918,0.0045989,0.1000385,0.5568723,0,0.0010532,0.0077879,0.0893898,0.0039852,0,0,1,1,1,0,0,3,3,1,medium,music_single_rank1_fallback
rho_scan,rho_1,8,1,common_el_refocus_power_rank1,level2_rank1_fallback,1,1,0,0,0,0,0,0,0.6370795,0.0961577,6.62536125552088,0.849064834137655,0.0078399,0.0044167,0.090826,0.5284574,0,0.004346,0.0070105,0.0796728,0.0045219,0,0,1,1,1,0,0,3,3,1,medium,music_single_rank1_fallback
rho_scan,rho_1,8,2,common_el_refocus_power_rank1,level2_rank1_fallback,1,1,0,0,0,0,0,0,0.5965117,0.0921887,6.47055116299503,0.845453660003651,0.0064236,0.0034,0.0816722,0.5044804,0,0.0004356,0.0062951,0.082108,0.0031026,0,0,1,1,1,0,0,3,3,1,medium,music_single_rank1_fallback
rho_scan,rho_1,8,3,common_el_refocus_power_rank1,level2_rank1_fallback,1,1,0,0,0,0,0,0,0.5947157,0.0922661,6.44565772260884,0.844856794599504,0.0062596,0.0036802,0.0811008,0.5034052,0,0.0001788,0.005941,0.0829952,0.003086,0,0,1,1,1,0,0,3,3,1,medium,music_single_rank1_fallback
rho_scan,rho_1,16,1,low_confidence,low_confidence,0,0,1,0,0,0,1,0,0.6284478,0.6197758,1.01399215651853,0.0137990776640479,0.0065784,0.004018,0.085765,0.5310334,0,0.0009499,0.005936,0.080475,0.0039149,0.5278765,0,1,1,1,1,0,4,6,0,low,no_reliable_observable_route
rho_scan,rho_1,16,2,low_confidence,low_confidence,0,0,1,0,0,0,1,0,0.666112,0.6070344,1.09732166743763,0.0886901902382783,0.0071133,0.0037236,0.0885677,0.5657525,0,0.0007619,0.0073232,0.0894644,0.0034132,0.5060476,0,1,1,1,1,0,4,6,0,low,no_reliable_observable_route
rho_scan,rho_1,16,3,low_confidence,low_confidence,0,0,1,0,0,0,1,0,0.5999238,0.6027304,0.995343523406153,-0.00467826080578893,0.0060573,0.0040482,0.0809566,0.5073103,0,0.0014542,0.0063969,0.0784883,0.0033316,0.5136637,0,1,1,1,1,0,4,6,0,low,no_reliable_observable_route
rho_scan,rho_0.7,0,1,common_el_refocus_power_rank1,level2_rank1_fallback,1,1,0,0,0,0,0,0,0.6347164,0.0915564,6.93251809813405,0.855752269832637,0.0081254,0.0034322,0.0936538,0.5291938,0,0.0002183,0.0061986,0.081403,0.0037021,0,0,1,1,1,0,0,3,3,1,medium,music_single_rank1_fallback
