stage,case_name,el_b_deg,el_mismatch_deg,snr_db,route_name,raw_success_rate,az_tol_success_rate_abs01,el_tol_success_rate_abs05,joint_tol_success_rate,az_rmse_deg,el_rmse_deg,pair_2d_rmse,peak_count_mean,degraded_rate,route_failure_reason,mean_objective_true_pair,mean_objective_best,objective_margin,objective_true_rank_median,el_common_est_mean,el_common_est_error
A,elB_0,0,0,0,level2_rank1_fallback_baseline,1,1,1,1,0.0308112277533323,0,0.0308112277533323,2,0,ok,4.8379603403083e-07,2.44747442998445e-07,2.39048591032385e-07,NaN,NaN,NaN
A,elB_0,0,0,0,level2_el_bank_baseline,1,1,0.5,0.5,0.0286224555066647,0.5,0.514457545687225,2,0.5,el_error,4.22111554681406e-07,1.25128843238167e-07,2.96982711443239e-07,NaN,NaN,NaN
A,elB_0,0,0,0,level3_2d_fbss_music_grid,0,0,0,0,NaN,NaN,NaN,1,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN
A,elB_0,0,0,0,level3_common_el_rank1_covfit,1,1,1,1,0.074617991405866,0,0.074617991405866,2,0,ok,0.000161459012029667,0.000160994551995505,4.64460034162092e-07,8,0,NaN
A,elB_0,0,0,0,level3_pair_el_local_rank1_covfit,0,0,0,0,NaN,NaN,NaN,1,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN
A,elB_0,0,0,0,level3_oracle_el_rank1_covfit_upper_bound,1,1,1,1,0.0316227766016838,0.5,0.500999001995014,2,0,ok,0.000161483255860743,0.000158843873387953,2.6393824727902e-06,22,NaN,NaN
A,elB_0,0,0,8,level2_rank1_fallback_baseline,1,1,1,1,0.0244336832599971,0,0.0244336832599971,2,0,ok,5.58846842819267e-08,1.91150745798617e-09,5.39731768239406e-08,NaN,NaN,NaN
A,elB_0,0,0,8,level2_el_bank_baseline,1,1,0.2,0.2,0.0170561387666618,1.15,1.15179919486753,2,0.8,el_error,1.53769977778983e-07,0,1.53769977778983e-07,NaN,NaN,NaN
A,elB_0,0,0,8,level3_2d_fbss_music_grid,0,0,0,0,NaN,NaN,NaN,1,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN
A,elB_0,0,0,8,level3_common_el_rank1_covfit,1,0,1,0,0.268112277533324,0,0.268112277533324,2,1,az_error,2.20788838061469e-05,2.16759578728609e-05,4.02925933285968e-07,8,0,NaN
A,elB_0,0,0,8,level3_pair_el_local_rank1_covfit,0,0,0,0,NaN,NaN,NaN,1,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN
A,elB_0,0,0,8,level3_oracle_el_rank1_covfit_upper_bound,1,1,1,1,0.04,0,0.04,2,0,ok,2.20671011350568e-05,2.20205579123917e-05,4.65432226651019e-08,5,NaN,NaN
A,elB_0,0,0,16,level2_rank1_fallback_baseline,1,1,1,1,0.0304336832599971,0,0.0304336832599971,2,0,ok,3.1893897121032e-08,0,3.1893897121032e-08,NaN,NaN,NaN
A,elB_0,0,0,16,level2_el_bank_baseline,1,1,0,0,0.0331887722466676,2.7,2.70027628864725,2,1,el_error,1.73521018681549e-07,0,1.73521018681549e-07,NaN,NaN,NaN
A,elB_0,0,0,16,level3_2d_fbss_music_grid,0,0,0,0,NaN,NaN,NaN,1,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN
A,elB_0,0,0,16,level3_common_el_rank1_covfit,1,0,1,0,0.268112277533324,0,0.268112277533324,2,1,az_error,3.35030328828668e-06,3.10970594353474e-06,2.40597344751933e-07,8,0,NaN
A,elB_0,0,0,16,level3_pair_el_local_rank1_covfit,0,0,0,0,NaN,NaN,NaN,1,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN
A,elB_0,0,0,16,level3_oracle_el_rank1_covfit_upper_bound,1,1,1,1,0.04,0.5,0.501597448159378,2,0,ok,3.34164577575882e-06,3.13578478344301e-06,2.05860992315815e-07,7,NaN,NaN
A,elB_1,1,0,0,level2_rank1_fallback_baseline,1,0.95,0,0,0.0456396218093206,0.707106781186548,0.708975641744361,2,1,el_error,2.54230819254147e-05,2.37429598000368e-06,2.3048785945411e-05,NaN,NaN,NaN
A,elB_1,1,0,0,level2_el_bank_baseline,1,0.55,0,0,0.0721877684304706,1.58113883008419,1.58288691802603,2,1,az_error,0.000293476395626794,2.28736070074476e-07,0.00029324765955672,NaN,NaN,NaN
A,elB_1,1,0,0,level3_2d_fbss_music_grid,1,0,1,0,0.0936367697085172,0.353553390593274,0.365742866836041,6,1,az_error,NaN,NaN,NaN,NaN,NaN,NaN
A,elB_1,1,0,0,level3_common_el_rank1_covfit,1,1,0,0,0.0918877224666765,0.707106781186548,0.713052139426082,2,1,el_error,0.00267360719517014,0.00205288566273937,0.000620721532430768,200,1,NaN
A,elB_1,1,0,0,level3_pair_el_local_rank1_covfit,1,1,1,1,0.0518877224666764,0,0.0518877224666764,2,0,ok,0.000178848649143181,0.000162440271177265,1.64083779659158e-05,43,NaN,NaN
A,elB_1,1,0,0,level3_oracle_el_rank1_covfit_upper_bound,1,1,1,1,0.04,0,0.04,2,0,ok,0.000161819890884045,0.000161451119567804,3.68771316240174e-07,4,NaN,NaN
A,elB_1,1,0,8,level2_rank1_fallback_baseline,1,0.95,0,0,0.0451147343289093,0.707106781186548,0.708893061734402,2,1,el_error,2.5252963390065e-05,2.33182911752159e-06,2.29211342725434e-05,NaN,NaN,NaN
A,elB_1,1,0,8,level2_el_bank_baseline,1,0.4,0,0,0.0762841011884407,1.6295573764198,1.63142850882324,2,1,az_error,0.000345051183079858,1.55023615452088e-09,0.000345049632843704,NaN,NaN,NaN
A,elB_1,1,0,8,level3_2d_fbss_music_grid,1,1,1,1,0.0118877224666764,0,0.0118877224666764,5,0,ok,NaN,NaN,NaN,NaN,NaN,NaN
A,elB_1,1,0,8,level3_common_el_rank1_covfit,1,0,0,0,0.268112277533324,0.707106781186548,0.756230251553127,2,1,az_error,0.0022904328508279,0.00229020561238612,2.27238441779555e-07,8,0,NaN
A,elB_1,1,0,8,level3_pair_el_local_rank1_covfit,1,1,1,1,0.0681122775333236,0,0.0681122775333236,2,0,ok,2.44066889627031e-05,2.4080563548158e-05,3.26125414545048e-07,4,NaN,NaN
A,elB_1,1,0,8,level3_oracle_el_rank1_covfit_upper_bound,1,1,1,1,0.04,0,0.04,2,0,ok,2.44625073380907e-05,2.42136199562355e-05,2.48887381855207e-07,3,NaN,NaN
A,elB_1,1,0,16,level2_rank1_fallback_baseline,1,0.95,0,0,0.036867614837526,0.707106781186548,0.708340479395469,2,1,el_error,2.54908043156123e-05,2.83210091614554e-06,2.26587033994667e-05,NaN,NaN,NaN
A,elB_1,1,0,16,level2_el_bank_baseline,1,0.5,0,0,0.0804824781871504,1.77657833766904,1.77845922155268,2,1,az_error,0.000568012936695028,0,0.000568012936695028,NaN,NaN,NaN
A,elB_1,1,0,16,level3_2d_fbss_music_grid,1,1,1,1,0.0118877224666764,0,0.0118877224666764,5,0,ok,NaN,NaN,NaN,NaN,NaN,NaN
A,elB_1,1,0,16,level3_common_el_rank1_covfit,1,0,0,0,0.108112277533324,0.707106781186548,0.715323887867197,2,1,az_error,0.00240870853695051,0.00240636165680887,2.34688014163998e-06,16,1,NaN
A,elB_1,1,0,16,level3_pair_el_local_rank1_covfit,1,1,1,1,0.0718877224666764,0,0.0718877224666764,2,0,ok,2.22223808293181e-06,2.08128705829988e-06,1.40951024631927e-07,6,NaN,NaN
A,elB_1,1,0,16,level3_oracle_el_rank1_covfit_upper_bound,1,1,1,1,0.04,0,0.04,2,0,ok,2.19499705552669e-06,2.10419966021412e-06,9.07973953125632e-08,3,NaN,NaN
A,elB_2,2,0,0,level2_rank1_fallback_baseline,1,0,0,0,0.124988302470967,1.4142135623731,1.41977532677105,2,1,az_error,0.00153000806881535,1.76896894163081e-06,0.00152823909987372,NaN,NaN,NaN
A,elB_2,2,0,0,level2_el_bank_baseline,1,0,0,0,0.134722548966278,1.70186260766744,1.70736357979879,2,1,az_error,0.00179166424609042,6.18204951525701e-07,0.00179104604113889,NaN,NaN,NaN
A,elB_2,2,0,0,level3_2d_fbss_music_grid,1,1,1,1,0.0118877224666764,0,0.0118877224666764,5,0,ok,NaN,NaN,NaN,NaN,NaN,NaN
A,elB_2,2,0,0,level3_common_el_rank1_covfit,1,1,0,0,0.0918877224666765,1,1.00421280291585,2,1,el_error,0.000183327236440298,0.000183296474555019,3.07618852792967e-08,3,1,NaN
A,elB_2,2,0,0,level3_pair_el_local_rank1_covfit,1,1,1,1,0.0118877224666764,0,0.0118877224666764,2,0,ok,0.000153687283081014,0.0001535832769544,1.04006126614581e-07,3,NaN,NaN
A,elB_2,2,0,0,level3_oracle_el_rank1_covfit_upper_bound,1,1,1,1,0.02,0,0.02,2,0,ok,0.000153625675438977,0.000153586832362786,3.88430761901338e-08,2,NaN,NaN
A,elB_2,2,0,8,level2_rank1_fallback_baseline,1,0,0,0,0.120800794251309,1.4142135623731,1.41940945749294,2,1,az_error,0.00155667425391453,1.56269262321086e-06,0.00155511156129132,NaN,NaN,NaN
A,elB_2,2,0,8,level2_el_bank_baseline,1,0.25,0,0,0.100609643752465,2.59154794669636,2.59402060768325,2,1,az_error,0.00105784103767607,1.62135637948182e-07,0.00105767890203812,NaN,NaN,NaN
A,elB_2,2,0,8,level3_2d_fbss_music_grid,1,1,1,1,0.0118877224666764,0,0.0118877224666764,5,0,ok,NaN,NaN,NaN,NaN,NaN,NaN
A,elB_2,2,0,8,level3_common_el_rank1_covfit,1,1,0,0,0.0918877224666765,1,1.00421280291585,2,1,el_error,7.42268079636397e-05,7.41460905324612e-05,8.071743117847e-08,3,1,NaN
A,elB_2,2,0,8,level3_pair_el_local_rank1_covfit,1,1,1,1,0.0118877224666764,0,0.0118877224666764,2,0,ok,2.21929952265233e-05,2.21770227575834e-05,1.59724689399787e-08,2,NaN,NaN
A,elB_2,2,0,8,level3_oracle_el_rank1_covfit_upper_bound,1,1,1,1,0,0,0,2,0,ok,2.2165264022163e-05,2.2165264022163e-05,0,1,NaN,NaN
A,elB_2,2,0,16,level2_rank1_fallback_baseline,1,0,0,0,0.12113861145177,1.4142135623731,1.41942407976147,2,1,az_error,0.00155553649064618,1.32741607988918e-06,0.00155420907456629,NaN,NaN,NaN
