keypoint,value,note
Metkl,30,Monte Carlo trials per scenario-SNR case
quick_mode_flag,0,1 means quick trend only
total_trials,1440,total scenario/SNR/MC trials
cfar_detection_rate_overall,1,overall CFAR detection rate
single_coarse_peak_rate_overall,0.916666666666667,overall unresolved coarse cluster rate
two_coarse_peak_rate_overall,0.0833333333333333,overall two coarse peaks out-of-scope rate
center_selection_success_rate_overall,0.916666666666667,selected center coverage success
both_inside_R15_rate_overall,0.916666666666667,both targets within runtime R=1.5
both_inside_R20_rate_overall,0.916666666666667,both targets within expansion R=2.0
step87_success_rate_overall,0.482575757575758,shared-center lazy cascade success on in-scope trials
false_high_rate_overall,0,high-confidence wrong output rate
boundary_missed_rate_overall,0,missed weak/anti boundary rate
low_confidence_rate_overall,0.203787878787879,low-confidence rate
weak_target_false_high,0,weak-target boundary false-high rate
antiphase_false_high,0,near anti-phase boundary false-high rate
large_el_branch_behavior,1,large-el success; route distribution: pair_el_local_covfit:1.000
frontend_to_step87_interface_pass_flag,1,interface closure safety flag
proceed_to_fixed_point_flag,1,whether shared-center mainline may proceed to fixed-point quantization
fixed_point_blocker,0,0 means no closure blocker; 1 means review closure metrics first
