keypoint,value,note
Metkl,30,Monte Carlo trials per scenario-SNR case
quick_mode_flag,0,1 means quick trend only
total_trials,1440,total scenario/SNR/MC trials
cfar_detection_rate_overall,1,overall CFAR detection rate
single_coarse_peak_rate_overall,0.916666666666667,overall unresolved coarse cluster rate
two_coarse_peak_rate_overall,0.0833333333333333,overall two coarse peaks out-of-scope rate
single_peak_in_scope_rate,0.900694444444444,frontend_state single_peak_in_scope rate
two_close_peaks_merge_candidate_rate,0.0159722222222222,frontend close-peak merge-candidate rate
two_separated_peaks_out_of_scope_rate,0.0833333333333333,frontend separated multi-peak out-of-scope rate
weak_secondary_candidate_rate,0,weak or unstable secondary coarse-peak candidate rate
multi_coarse_peak_total_rate,0.0993055555555555,two-close plus two-separated coarse-peak state rate
in_scope_shared_center_rate,0.916666666666667,frontend states routed into shared-center enhancement
out_of_scope_rate,0.0833333333333334,frontend states not routed into shared-center enhancement
false_high_rate_in_scope,0,high-confidence wrong output rate on in-scope trials
boundary_missed_rate_in_scope,0,boundary missed rate on in-scope trials
false_high_rate_out_of_scope,0,false-high rate on out-of-scope trials
center_selection_success_rate_overall,0.916666666666667,selected center coverage success
both_inside_R15_rate_overall,0.916666666666667,both targets within runtime R=1.5
both_inside_R20_rate_overall,0.916666666666667,both targets within expansion R=2.0
step87_success_rate_overall,0.482575757575758,shared-center lazy cascade success on in-scope trials
false_high_rate_overall,0,high-confidence wrong output rate
boundary_missed_rate_overall,0,missed weak/anti boundary rate
low_confidence_rate_overall,0.203787878787879,low-confidence rate
weak_target_false_high,0,weak-target boundary false-high rate
antiphase_false_high,0,near anti-phase boundary false-high rate
large_el_branch_behavior,1,large-el success; route distribution: pair_el_local_covfit:1.000
frontend_to_step87_interface_pass_flag,1,interface closure safety flag
proceed_to_fixed_point_flag,1,whether shared-center mainline may proceed to fixed-point quantization
fixed_point_blocker,0,0 means no closure blocker; 1 means review closure metrics first
recommended_frontend_policy,NaN,single coarse peak -> shared_center_enhancement; two close coarse peaks -> merge_candidate_or_future_validation; two separated coarse peaks -> front-end multi-target branch / out-of-scope; weak secondary peak -> low-confidence secondary candidate
