double_confidence_group,quant_mode,trial_count,in_scope_trial_count,eval_count,route_agreement_vs_double,confidence_agreement_vs_double,output_equivalent_rate,output_equivalent_strict_rate,output_equivalent_relaxed_rate,success_gap_vs_double,false_high_rate,boundary_missed_rate,max_az_diff,mean_abs_az_diff,max_el_diff,mean_abs_el_diff,changed_route_count,changed_confidence_count,dominant_changed_from_route,dominant_changed_to_route,dominant_failure_hypothesis,mean_ywork_snr_quant_db,mean_steering_rel_err_aligned
medium,double_baseline,1034,1034,1034,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,,Inf,0
medium,float32_all,1034,1034,1034,0.995164410058027,0.995164410058027,0.98936170212766,0.98742746615087,0.994197292069632,-0.00483558994197286,0,0,0.12,0.00064139941690962,0.00296036742915074,1.02307903663405e-05,5,5,level2_rank1_fallback,low_confidence,rank1_objective_flat,151.978102000002,2.74648417956104e-08
medium,coeff_int16_only,1034,1034,1034,0.933268858800774,0.933268858800774,0.865570599613153,0.782398452611219,0.931334622823984,-0.0464216634429401,0,0,0.82,0.0165056526207605,0.00647059628664182,0.00010356366073267,69,69,level2_rank1_fallback,low_confidence,rank1_objective_flat,Inf,0.000157891847008353
medium,ywork_int16_only,1034,1034,1034,0.975822050290135,0.975822050290135,0.950676982591876,0.920696324951644,0.973887814313346,-0.02321083172147,0,0,0.38,0.00531620553359684,0.00420162394488795,3.58186576577474e-05,25,25,level2_rank1_fallback,low_confidence,rank1_objective_flat,93.166303437015,0
medium,combined_int16,1034,1034,1034,0.931334622823984,0.931334622823984,0.869439071566731,0.783365570599613,0.929400386847195,-0.0454545454545454,0,0,0.82,0.0165092402464066,0.00647059628664182,0.000110914571046072,71,71,level2_rank1_fallback,low_confidence,rank1_objective_flat,93.166303437015,0.000157891847008353
medium,combined_int18,1034,1034,1034,0.946808510638298,0.946808510638298,0.897485493230174,0.82495164410058,0.945841392649903,-0.0290135396518375,0,0,0.82,0.0149142280524723,0.00463981351584769,8.57583587490479e-05,55,55,level2_rank1_fallback,low_confidence,rank1_objective_flat,105.207970019053,3.93139320165932e-05
medium,combined_int24,1034,1034,1034,0.97678916827853,0.97678916827853,0.954545454545455,0.934235976789168,0.974854932301741,-0.0183752417794971,0,0,0.64,0.0052755905511811,0.00453570090144688,3.47854986535427e-05,24,24,level2_rank1_fallback,low_confidence,rank1_objective_flat,141.33094458265,6.16011433816923e-07
low,double_baseline,157,157,157,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,,Inf,0
low,float32_all,157,157,157,0.955414012738854,0.955414012738854,0.955414012738854,0.955414012738854,0.955414012738854,0.0318471337579618,0,0,0,0,0.00610523976968321,0.000110008921864278,7,7,low_confidence,level2_rank1_fallback,boundary_case,151.981951011139,2.74648417956103e-08
low,coeff_int16_only,157,157,157,0.503184713375796,0.554140127388535,0.554140127388535,0.554140127388535,0.554140127388535,0.248407643312102,0,0,0,0,0.00727158340652086,0.00072251009173945,78,70,low_confidence,level2_rank1_fallback,boundary_case,Inf,0.000157891847008353
