double_route,quant_mode,trial_count,in_scope_trial_count,eval_count,route_agreement_vs_double,confidence_agreement_vs_double,output_equivalent_rate,output_equivalent_strict_rate,output_equivalent_relaxed_rate,success_gap_vs_double,false_high_rate,boundary_missed_rate,max_az_diff,mean_abs_az_diff,max_el_diff,mean_abs_el_diff,changed_route_count,changed_confidence_count,dominant_changed_from_route,dominant_changed_to_route,dominant_failure_hypothesis,mean_ywork_snr_quant_db,mean_steering_rel_err_aligned
level2_rank1_fallback,double_baseline,706,706,706,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,,Inf,0
level2_rank1_fallback,float32_all,706,706,706,0.992917847025496,0.992917847025496,0.984419263456091,0.981586402266289,0.991501416430595,-0.00708215297450421,0,0,0.12,0.000912981455064193,0.00296036742915074,1.49839054373882e-05,5,5,level2_rank1_fallback,low_confidence,rank1_objective_flat,151.970404682367,2.74648417956104e-08
level2_rank1_fallback,coeff_int16_only,706,706,706,0.913597733711048,0.913597733711048,0.821529745042493,0.713881019830028,0.910764872521246,-0.056657223796034,0,0,0.14,0.0164031007751938,0.00647059628664182,0.000146223568265881,61,61,level2_rank1_fallback,low_confidence,rank1_objective_flat,Inf,0.000157891847008353
level2_rank1_fallback,ywork_int16_only,706,706,706,0.968838526912181,0.968838526912181,0.936260623229462,0.896600566572238,0.96600566572238,-0.0297450424929179,0,0,0.12,0.00578947368421052,0.00420162394488795,4.80291927436006e-05,22,22,level2_rank1_fallback,low_confidence,rank1_objective_flat,93.3200026606101,0
level2_rank1_fallback,combined_int16,706,706,706,0.915014164305949,0.915014164305949,0.825779036827195,0.715297450424929,0.910764872521246,-0.0552407932011332,0,0,0.14,0.016656346749226,0.00647059628664182,0.000148086738008931,60,60,level2_rank1_fallback,low_confidence,rank1_objective_flat,93.3200026606101,0.000157891847008353
level2_rank1_fallback,combined_int18,706,706,706,0.939093484419263,0.939093484419263,0.872521246458923,0.774787535410765,0.937677053824363,-0.0339943342776203,0,0,0.12,0.013393665158371,0.00453892382780041,0.000105517148654758,43,43,level2_rank1_fallback,low_confidence,rank1_objective_flat,105.361482014582,3.93139320165932e-05
level2_rank1_fallback,combined_int24,706,706,706,0.974504249291785,0.974504249291785,0.943342776203966,0.913597733711048,0.970254957507082,-0.0240793201133145,0,0,0.12,0.00526162790697674,0.00453570090144688,4.2934873074113e-05,18,18,level2_rank1_fallback,low_confidence,rank1_objective_flat,141.484548057444,6.16011433816926e-07
low_confidence,double_baseline,157,157,157,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,,Inf,0
low_confidence,float32_all,157,157,157,0.955414012738854,0.955414012738854,0.955414012738854,0.955414012738854,0.955414012738854,0.0318471337579618,0,0,0,0,0.00610523976968321,0.000110008921864278,7,7,low_confidence,level2_rank1_fallback,boundary_case,151.981951011139,2.74648417956103e-08
low_confidence,coeff_int16_only,157,157,157,0.503184713375796,0.554140127388535,0.554140127388535,0.554140127388535,0.554140127388535,0.248407643312102,0,0,0,0,0.00727158340652086,0.00072251009173945,78,70,low_confidence,level2_rank1_fallback,boundary_case,Inf,0.000157891847008353
