trial_id,scenario_name,snr_db,mc,target_source,double_route,quant_route,double_confidence,quant_confidence,route_flip_type,first_divergent_stage,first_divergent_metric,double_metric_value,quant_metric_value,threshold_value,double_distance_to_threshold,quant_distance_to_threshold,threshold_crossed_flag,near_threshold_double_flag,near_threshold_quant_flag,metric_scale_ratio,az_est_diff_vs_double,el_est_diff_vs_double,output_equivalent,boundary_score_if_any,rank1_score_gap_ratio,rank1_residual_norm,refocus_power_sharpness,stage_refocus_margin_rel,refocus_rank1_score_gap_ratio,refocus_rank1_residual_norm,refocus_rank1_pair_sep_est,refocus_common_el_sharpness
109,close_coherent_pair,16,19,step89c_worst80,boundary_unreliable,common_el_refocus_power_rank1,low,medium,boundary_unreliable->common_el_refocus_power_rank1,refocus,refocus_rank1_pair_sep_est,0.38,0.22,0.263775444933353,0.440619311990974,0.165957240426278,1,0,0,0.578947368421053,0.76,0.000779395824497599,0,0.0065916529622562,NaN,NaN,0.0794726677630195,0.0794726677630195,266727081.64157,0,0.22,0.0794726677630195
860,medium_beta_pair,8,20,step89c_worst80,boundary_unreliable,common_el_refocus_power_rank1,low,medium,boundary_unreliable->common_el_refocus_power_rank1,refocus,refocus_rank1_score_gap_ratio,0,702608757.30873,0.002,1,351304378653.365,1,0,0,NaN,0.72,0.00329090006213949,0,0.0257021505576152,NaN,NaN,0.0779438279553908,0.0779438279553908,702608757.30873,0,0.76,0.0779438279553908
223,close_coherent_pair,16,13,step89c_worst80,boundary_unreliable,common_el_refocus_power_rank1,low,medium,boundary_unreliable->common_el_refocus_power_rank1,refocus,refocus_rank1_score_gap_ratio,0,284283904.149875,0.002,1,142141952073.938,1,0,0,NaN,0.68,3.12966446912896e-06,0,0.00630716944259088,NaN,NaN,0.0794954264445927,0.0794954264445927,284283904.149875,0,0.38,0.0794954264445927
716,medium_beta_pair,16,26,step89c_worst80,common_el_refocus_power_rank1,boundary_unreliable,medium,low,common_el_refocus_power_rank1->boundary_unreliable,refocus,refocus_rank1_score_gap_ratio,0.0451582516440097,0.000282726034601201,0.002,21.5791258220049,0.8586369826994,1,0,0,0.00626078345171506,0.64,0.000743310376423598,0,0.00720827169455006,0.000282726034601201,2.53322064346011e-06,0.079423338264436,0.079423338264436,0.000282726034601201,2.53322064346011e-06,0.56,0.0794203425407096
115,close_coherent_pair,16,25,step89c_worst80,boundary_unreliable,common_el_refocus_power_rank1,low,medium,boundary_unreliable->common_el_refocus_power_rank1,refocus,refocus_rank1_pair_sep_est,0.42,0.22,0.263775444933353,0.592263450095287,0.165957240426278,1,0,0,0.523809523809524,0.6,0.000440113391230475,0,0.00845898937099701,NaN,NaN,0.0793232808503202,0.0793232808503202,203694712.751307,0,0.22,0.0793232808503202
94,close_coherent_pair,16,4,step89c_worst80,common_el_refocus_power_rank1,boundary_unreliable,medium,low,common_el_refocus_power_rank1->boundary_unreliable,refocus,refocus_rank1_score_gap_ratio,412196033.97707,0,0.002,206098016987.535,1,1,0,0,0,0.52,0.000235190840102799,0,0.00697996053236477,0,0,0.0794416031574108,0.0794416031574108,0,0,0.22,0.0794416031574108
847,medium_beta_pair,8,7,step89c_worst80,boundary_unreliable,common_el_refocus_power_rank1,low,medium,boundary_unreliable->common_el_refocus_power_rank1,refocus,refocus_rank1_score_gap_ratio,0,71558954.779979,0.002,1,35779477388.9895,1,0,0,NaN,0.4,0.00128080915284532,0,0.00816694447007774,NaN,NaN,0.0793466444423938,0.0793466444423938,71558954.779979,0,0.76,0.0793211080148687
610,medium_beta_pair,8,10,step89c_worst80,level2_rank1_fallback,level2_rank1_fallback,medium,medium,level2_rank1_fallback->level2_rank1_fallback,output_only,az_est_diff_vs_double,0,0.2,0.05,1,3,1,0,0,NaN,0.2,0,0,0.0154297799684424,0.0831721315480125,2.29633978758328e-06,0.0787656176025246,0.0787656176025246,0.0831721315480125,2.29633978758328e-06,0.46,0.0787656176025246
868,medium_beta_pair,8,28,step89c_worst80,common_el_refocus_power_rank1,boundary_unreliable,medium,low,common_el_refocus_power_rank1->boundary_unreliable,refocus,refocus_rank1_score_gap_ratio,9328214.97536742,0,0.002,4664107486.68371,1,1,0,0,0,0.18,0.000181751139177672,0,0.0138170102725904,0,0,0.0788946391781928,0.0788946391781928,0,0,0.76,0.0788946391781928
194,close_coherent_pair,8,14,step89c_worst80,level2_rank1_fallback,level2_rank1_fallback,medium,medium,level2_rank1_fallback->level2_rank1_fallback,output_only,az_est_diff_vs_double,0,0.14,0.05,1,1.8,1,0,0,NaN,0.14,0,0,0.0140084253652145,0.304852247508773,3.23899553739202e-07,0.0788793259707828,0.0788793259707828,0.304852247508773,3.23899553739202e-07,0.1,0.0788793259707828
338,close_coherent_pair,16,8,step89c_worst80,common_el_refocus_power_rank1,boundary_unreliable,medium,low,common_el_refocus_power_rank1->boundary_unreliable,refocus,refocus_rank1_score_gap_ratio,566283371.646293,0,0.002,283141685822.146,1,1,0,0,0,0.14,0.00155126807189187,0,0.0125458743672306,0,0,0.0789963300506216,0.0789963300506216,0,0,0.48,0.0789963300506216
66,close_coherent_pair,8,6,step89c_worst80,level2_rank1_fallback,level2_rank1_fallback,medium,medium,level2_rank1_fallback->level2_rank1_fallback,boundary,boundary_score_if_any,0.0187117421890899,0.0187122342465231,0.05,0.625765156218201,0.625755315069538,0,0,0,1.00002629671936,0.12,0,0,0.0187122342465231,0.0617569385614529,1.41021847249833e-07,0.0785030212602782,0.0785030212602782,0.0617569385614529,1.41021847249833e-07,0.0600000000000001,0.0785030212602782
186,close_coherent_pair,8,6,step89c_worst80,level2_rank1_fallback,level2_rank1_fallback,medium,medium,level2_rank1_fallback->level2_rank1_fallback,output_only,az_est_diff_vs_double,0,0.12,0.05,1,1.4,1,0,0,NaN,0.12,0,0,0.0228205868216827,0.109390441205661,7.86951595953082e-07,0.0781743530542654,0.0781743530542654,0.109390441205661,7.86951595953082e-07,0.14,0.0781743530542654
10,single_target_sanity,8,10,step89c_worst80,level2_rank1_fallback,level2_rank1_fallback,medium,medium,level2_rank1_fallback->level2_rank1_fallback,output_only,az_est_diff_vs_double,0,0.12,0.05,1,1.4,1,0,0,NaN,0.12,0,0,0.0212011948100692,0.073309321698972,1.07272644916908e-06,0.0783039044151945,0.0783039044151945,0.073309321698972,1.07272644916908e-06,0.0800000000000001,0.0783039044151945
604,medium_beta_pair,8,4,step89c_worst80,level2_rank1_fallback,level2_rank1_fallback,medium,medium,level2_rank1_fallback->level2_rank1_fallback,output_only,az_est_diff_vs_double,0,0.12,0.05,1,1.4,1,0,0,NaN,0.12,0,0,0.0131157300467298,0.0335186968882514,2.32480633186378e-06,0.0789507415962616,0.0789507415962616,0.0335186968882514,2.32480633186378e-06,0.2,0.0789507415962616
658,medium_beta_pair,16,28,step89c_worst80,level2_rank1_fallback,level2_rank1_fallback,medium,medium,level2_rank1_fallback->level2_rank1_fallback,output_only,az_est_diff_vs_double,0,0.1,0.05,1,1,1,0,0,NaN,0.1,0,0,0.00760685755135104,0.0486377582145129,1.27400512625542e-06,0.0793914513958919,0.0793914513958919,0.0486377582145129,1.27400512625542e-06,0.42,0.0793914513958919
689,medium_beta_pair,8,29,step89c_worst80,level2_rank1_fallback,level2_rank1_fallback,medium,medium,level2_rank1_fallback->level2_rank1_fallback,output_only,az_est_diff_vs_double,0,0.1,0.05,1,1,1,0,0,NaN,0.1,0,0,0.0190417760010277,0.0142744451139572,2.79844216347602e-06,0.0784766579199178,0.0784766579199178,0.0142744451139572,2.79844216347602e-06,0.36,0.0784766579199178
715,medium_beta_pair,16,25,step89c_worst80,common_el_refocus_power_rank1,common_el_refocus_power_rank1,medium,medium,common_el_refocus_power_rank1->common_el_refocus_power_rank1,output_only,az_est_diff_vs_double,0,0.1,0.05,1,1,1,0,0,NaN,0.1,0,0,0.00711399014015728,NaN,NaN,0.0794308807887874,0.0794308807887874,0.0206208711852888,2.91643427391e-06,0.38,0.0794028020896429
28,single_target_sanity,8,28,step89c_worst80,level2_rank1_fallback,level2_rank1_fallback,medium,medium,level2_rank1_fallback->level2_rank1_fallback,output_only,az_est_diff_vs_double,0,0.0999999999999999,0.05,1,0.999999999999997,1,0,0,NaN,0.0999999999999999,0,0,0.0190190259531988,0.255524670246226,3.32060977858188e-07,0.0784784779237441,0.0784784779237441,0.255524670246226,3.32060977858188e-07,0.0800000000000001,0.0784784779237441
59,single_target_sanity,16,29,step89c_worst80,level2_rank1_fallback,level2_rank1_fallback,medium,medium,level2_rank1_fallback->level2_rank1_fallback,output_only,az_est_diff_vs_double,0,0.0999999999999999,0.05,1,0.999999999999997,1,0,0,NaN,0.0999999999999999,0,0,0.00606979645479296,0.610804756339525,3.11856267491962e-08,0.0795144162836166,0.0795144162836166,0.610804756339525,3.11856267491962e-08,0.0800000000000001,0.0794885466347452
961,weak_target_boundary,8,1,step89c_worst80,level2_rank1_fallback,level2_rank1_fallback,medium,medium,level2_rank1_fallback->level2_rank1_fallback,output_only,az_est_diff_vs_double,0,0.0999999999999999,0.05,1,0.999999999999997,1,0,0,NaN,0.0999999999999999,0,0,0.00935063423472878,0.0148859500068012,9.59219085894535e-07,0.0792519492612217,0.0792519492612217,0.0148859500068012,9.59219085894535e-07,0.56,0.0790064236106219
363,close_coherent_pair,8,3,step89c_worst80,level2_rank1_fallback,level2_rank1_fallback,medium,medium,level2_rank1_fallback->level2_rank1_fallback,output_only,az_est_diff_vs_double,0,0.0800000000000001,0.05,1,0.600000000000001,1,0,0,NaN,0.0800000000000001,0,0,0.00953522853013034,0.15877766520139,1.05096294312411e-07,0.0792371817175896,0.0792371817175896,0.15877766520139,1.05096294312411e-07,0.46,0.0792325331136343
670,medium_beta_pair,8,10,step89c_worst80,level2_rank1_fallback,level2_rank1_fallback,medium,medium,level2_rank1_fallback->level2_rank1_fallback,output_only,az_est_diff_vs_double,0,0.0800000000000001,0.05,1,0.600000000000001,1,0,0,NaN,0.0800000000000001,0,0,0.0117939192341428,0.0356984801380331,2.55942332526958e-06,0.0790564864612686,0.0790564864612686,0.0356984801380331,2.55942332526958e-06,0.38,0.0790564864612686
681,medium_beta_pair,8,21,step89c_worst80,level2_rank1_fallback,level2_rank1_fallback,medium,medium,level2_rank1_fallback->level2_rank1_fallback,output_only,az_est_diff_vs_double,0,0.0800000000000001,0.05,1,0.600000000000001,1,0,0,NaN,0.0800000000000001,0,0,0.0152602765382037,0.0491616395872312,2.7430807259139e-06,0.0787791778769437,0.0787791778769437,0.0491616395872312,2.7430807259139e-06,0.32,0.0787791778769437
