config_name,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_count,tol_success_count,raw_success_rate,tol_success_rate,rmse_deg,rmse_valid_count,mean_num_peaks,snr90_db,mean_fwhm_fft_deg,mean_theta_search_adapt_deg,mean_routeB_beam_span_adapt_deg
config_A_current4b,7,0.400000,12.800000,13.200000,16,181,178,0.905000,0.890000,0.039031,181,1.880000,18.000000,2.074228,2.352706,3.529059
config_A_current4b,7,0.400000,12.800000,13.200000,18,198,198,0.990000,0.990000,0.026470,198,1.980000,18.000000,1.993259,2.339005,3.508508
config_A_current4b,7,0.400000,12.800000,13.200000,20,200,200,1.000000,1.000000,0.022184,200,2.000000,18.000000,1.974019,2.350888,3.526331
config_A_current4b,7,0.400000,12.800000,13.200000,22,200,200,1.000000,1.000000,0.016383,200,2.000000,18.000000,1.962056,2.348716,3.523074
config_A_current4b,7,0.400000,12.800000,13.200000,24,200,200,1.000000,1.000000,0.012682,200,2.000000,18.000000,1.944133,2.332549,3.498823
config_A_current4b,8,0.350000,12.825000,13.175000,16,94,90,0.470000,0.450000,0.053104,94,1.430000,18.000000,2.079330,2.195984,3.293975
config_A_current4b,8,0.350000,12.825000,13.175000,18,182,180,0.910000,0.900000,0.043742,182,1.900000,18.000000,2.066611,2.221268,3.331903
config_A_current4b,8,0.350000,12.825000,13.175000,20,200,200,1.000000,1.000000,0.030298,200,2.000000,18.000000,1.964491,2.216119,3.324178
config_A_current4b,8,0.350000,12.825000,13.175000,22,200,200,1.000000,1.000000,0.023002,200,2.000000,18.000000,1.953902,2.228534,3.342800
config_A_current4b,8,0.350000,12.825000,13.175000,24,200,200,1.000000,1.000000,0.015834,200,2.000000,18.000000,1.951401,2.231812,3.347718
config_A_current4b,9,0.311111,12.844444,13.155556,16,15,15,0.075000,0.075000,0.055265,15,1.030000,22.000000,2.114021,1.990095,2.985143
config_A_current4b,9,0.311111,12.844444,13.155556,18,79,77,0.395000,0.385000,0.051962,79,1.395000,22.000000,2.043289,1.990714,2.986071
config_A_current4b,9,0.311111,12.844444,13.155556,20,158,158,0.790000,0.790000,0.043279,158,1.790000,22.000000,1.974840,1.990618,2.985927
config_A_current4b,9,0.311111,12.844444,13.155556,22,196,196,0.980000,0.980000,0.031207,196,1.980000,22.000000,1.966302,1.990923,2.986385
config_A_current4b,9,0.311111,12.844444,13.155556,24,200,200,1.000000,1.000000,0.023583,200,2.000000,22.000000,1.950127,1.991111,2.986667
config_A_current4b,10,0.280000,12.860000,13.140000,16,1,1,0.005000,0.005000,0.056999,1,0.955000,24.000000,2.090221,1.792000,2.688000
