Step 08 Route B FFT confidence-gated adaptive window prototype 4c
Prototype scope: add a conservative FFT-confidence gate on top of prototype4b adaptive window.
Route comparison: baseline_true_centerT vs fft_guided_centerT vs fft_guided_centerT_adaptive_window vs fft_confidence_gated_adaptive_window.
Common experiment settings:
snr_list=[14 16 18 20 22 24 26 28], Metkl=200, T_snap=260, tol_deg=0.100
sep_factor_list=[6 7 8 9 10]
Route B internal settings: K_fbss=56, M_full=48, center_beam_count=37, search_scale_B=4.00
FFT settings: Nfft_spatial=4096, gamma_search=1.20, gamma_span=1.50.
Adaptive bounds: search in [0.60, 1.60] x fixed, span in [0.80, 1.60] x fixed.
Confidence gate: fwhm_fft_deg <= 2.050 and peak_ratio >= 1.800.

=== sep_factor = 6, theta_sep = 0.4667 deg ===
SNR=14 dB | baseline raw=200 tol=200 raw_rate=1.000 tol_rate=1.000 RMSE=0.0327 mean_num_peaks=2.00
SNR=14 dB | fft-guided raw=126 tol=126 raw_rate=0.630 tol_rate=0.630 RMSE=0.0332 mean_num_peaks=1.51 mean_fft_err=-3.7112 std_fft_err=20.8262
SNR=14 dB | adaptive-window raw=138 tol=136 raw_rate=0.690 tol_rate=0.680 RMSE=3.8126 mean_num_peaks=1.63 mean_fwhm=2.2278 mean_search_adapt=2.5037 mean_span_adapt=3.7556
SNR=14 dB | gated-window raw=126 tol=126 raw_rate=0.630 tol_rate=0.630 RMSE=0.0330 mean_num_peaks=1.51 adaptive_use=0.185 mean_peak_ratio=1.6839 mean_search_selected=1.9431 mean_span_selected=2.9147
sample metkl=1 | center_true=13.0000 center_fft=-0.5622 err_fft=-13.5622 fwhm=1.9790 p1=0.1949 p2=0.1354 peak_ratio=1.4390 use_adapt=0 search_fixed=1.8667 search_adapt=2.3749 search_selected=1.8667 span_fixed=2.8000 span_adapt=3.5623 span_selected=2.8000 doa_true=[12.81 13.21] doa_fft=[NaN NaN] doa_adapt=[NaN NaN] doa_gated=[NaN NaN]
SNR=16 dB | baseline raw=200 tol=200 raw_rate=1.000 tol_rate=1.000 RMSE=0.0232 mean_num_peaks=2.00
SNR=16 dB | fft-guided raw=180 tol=180 raw_rate=0.900 tol_rate=0.900 RMSE=0.0234 mean_num_peaks=1.87 mean_fft_err=-0.7584 std_fft_err=9.6908
SNR=16 dB | adaptive-window raw=187 tol=186 raw_rate=0.935 tol_rate=0.930 RMSE=3.2000 mean_num_peaks=1.92 mean_fwhm=2.0697 mean_search_adapt=2.4327 mean_span_adapt=3.6490
SNR=16 dB | gated-window raw=181 tol=181 raw_rate=0.905 tol_rate=0.905 RMSE=0.0234 mean_num_peaks=1.88 adaptive_use=0.370 mean_peak_ratio=2.2524 mean_search_selected=2.0047 mean_span_selected=3.0071
sample metkl=1 | center_true=13.0000 center_fft=13.0763 err_fft=0.0763 fwhm=1.9400 p1=0.2992 p2=0.151 peak_ratio=1.9807 use_adapt=1 search_fixed=1.8667 search_adapt=2.3280 search_selected=2.3280 span_fixed=2.8000 span_adapt=3.4919 span_selected=3.4919 doa_true=[12.74 13.18] doa_fft=[12.74 13.17] doa_adapt=[12.74 13.17] doa_gated=[12.74 13.17]
SNR=18 dB | baseline raw=200 tol=200 raw_rate=1.000 tol_rate=1.000 RMSE=0.0199 mean_num_peaks=2.00
SNR=18 dB | fft-guided raw=199 tol=199 raw_rate=0.995 tol_rate=0.995 RMSE=0.0200 mean_num_peaks=2.00 mean_fft_err=-0.0055 std_fft_err=0.2450
SNR=18 dB | adaptive-window raw=200 tol=200 raw_rate=1.000 tol_rate=1.000 RMSE=0.0200 mean_num_peaks=2.00 mean_fwhm=2.0004 mean_search_adapt=2.3935 mean_span_adapt=3.5902
SNR=18 dB | gated-window raw=199 tol=199 raw_rate=0.995 tol_rate=0.995 RMSE=0.0198 mean_num_peaks=2.00 adaptive_use=0.600 mean_peak_ratio=3.2282 mean_search_selected=2.1164 mean_span_selected=3.1747
sample metkl=1 | center_true=13.0000 center_fft=13.1103 err_fft=0.1103 fwhm=1.9664 p1=0.6021 p2=0.06901 peak_ratio=8.7253 use_adapt=1 search_fixed=1.8667 search_adapt=2.3597 search_selected=2.3597 span_fixed=2.8000 span_adapt=3.5396 span_selected=3.5396 doa_true=[12.77 13.23] doa_fft=[12.77 13.23] doa_adapt=[12.77 13.23] doa_gated=[12.77 13.23]
SNR=20 dB | baseline raw=200 tol=200 raw_rate=1.000 tol_rate=1.000 RMSE=0.0144 mean_num_peaks=2.00
SNR=20 dB | fft-guided raw=200 tol=200 raw_rate=1.000 tol_rate=1.000 RMSE=0.0146 mean_num_peaks=2.00 mean_fft_err=-0.0046 std_fft_err=0.1850
SNR=20 dB | adaptive-window raw=200 tol=200 raw_rate=1.000 tol_rate=1.000 RMSE=0.0144 mean_num_peaks=2.00 mean_fwhm=1.9821 mean_search_adapt=2.3785 mean_span_adapt=3.5678
SNR=20 dB | gated-window raw=200 tol=200 raw_rate=1.000 tol_rate=1.000 RMSE=0.0145 mean_num_peaks=2.00 adaptive_use=0.720 mean_peak_ratio=4.9867 mean_search_selected=2.1749 mean_span_selected=3.2624
sample metkl=1 | center_true=13.0000 center_fft=13.2461 err_fft=0.2461 fwhm=1.9508 p1=0.231 p2=0.06658 peak_ratio=3.4688 use_adapt=1 search_fixed=1.8667 search_adapt=2.3409 search_selected=2.3409 span_fixed=2.8000 span_adapt=3.5114 span_selected=3.5114 doa_true=[12.76 13.23] doa_fft=[12.76 13.22] doa_adapt=[12.76 13.23] doa_gated=[12.76 13.23]
SNR=22 dB | baseline raw=200 tol=200 raw_rate=1.000 tol_rate=1.000 RMSE=0.0118 mean_num_peaks=2.00
SNR=22 dB | fft-guided raw=200 tol=200 raw_rate=1.000 tol_rate=1.000 RMSE=0.0119 mean_num_peaks=2.00 mean_fft_err=-0.0143 std_fft_err=0.1410
