route_name,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_count,tol_success_count,raw_success_rate,tol_success_rate,rmse_deg,rmse_valid_count,mean_num_peaks,snr90_db,mean_fft_center_error_deg,std_fft_center_error_deg,mean_fwhm_fft_deg,std_fwhm_fft_deg,mean_peak_ratio,std_peak_ratio,adaptive_use_rate,mean_theta_search_adapt_deg,mean_routeB_beam_span_adapt_deg,mean_theta_search_selected_deg,mean_routeB_beam_span_selected_deg
baseline_true_centerT,6,0.466667,12.766667,13.233333,14,200,200,1.000000,1.000000,0.032676,200,2.000000,14.000000,-3.711231,20.826249,2.227827,0.601786,1.683873,0.687020,0.185000,2.503737,3.755605,1.943100,2.914650
baseline_true_centerT,6,0.466667,12.766667,13.233333,16,200,200,1.000000,1.000000,0.023171,200,2.000000,14.000000,-0.758354,9.690754,2.069671,0.367349,2.252380,0.956700,0.370000,2.432690,3.649035,2.004711,3.007066
baseline_true_centerT,6,0.466667,12.766667,13.233333,18,200,200,1.000000,1.000000,0.019933,200,2.000000,14.000000,-0.005547,0.244973,2.000424,0.205184,3.228183,1.403065,0.600000,2.393480,3.590220,2.116444,3.174666
baseline_true_centerT,6,0.466667,12.766667,13.233333,20,200,200,1.000000,1.000000,0.014352,200,2.000000,14.000000,-0.004581,0.185036,1.982102,0.146880,4.986722,1.625979,0.720000,2.378522,3.567784,2.174919,3.262378
baseline_true_centerT,6,0.466667,12.766667,13.233333,22,200,200,1.000000,1.000000,0.011849,200,2.000000,14.000000,-0.014282,0.140987,1.956794,0.108044,7.099513,2.151652,0.830000,2.348153,3.522229,2.232013,3.348019
baseline_true_centerT,6,0.466667,12.766667,13.233333,24,200,200,1.000000,1.000000,0.008840,200,2.000000,14.000000,-0.005128,0.123495,1.953778,0.092037,9.922976,2.767899,0.855000,2.344534,3.516801,2.248557,3.372835
baseline_true_centerT,6,0.466667,12.766667,13.233333,26,200,200,1.000000,1.000000,0.007267,200,2.000000,14.000000,-0.000390,0.092529,1.961736,0.070857,13.956901,3.964754,0.885000,2.354083,3.531125,2.279808,3.419712
baseline_true_centerT,6,0.466667,12.766667,13.233333,28,200,200,1.000000,1.000000,0.006229,200,2.000000,14.000000,0.000960,0.070720,1.947495,0.058096,16.247934,4.903964,0.955000,2.336995,3.505492,2.308377,3.462566
baseline_true_centerT,7,0.400000,12.800000,13.200000,14,162,159,0.810000,0.795000,0.054283,162,1.810000,16.000000,-3.959281,24.380142,2.300352,1.145461,1.742979,0.772049,0.225000,2.361035,3.541552,1.747855,2.621782
baseline_true_centerT,7,0.400000,12.800000,13.200000,16,199,199,0.995000,0.995000,0.037383,199,1.995000,16.000000,-2.533107,13.630015,2.121250,0.565706,2.211001,0.945777,0.400000,2.373146,3.559720,1.862047,2.793071
baseline_true_centerT,7,0.400000,12.800000,13.200000,18,200,200,1.000000,1.000000,0.026679,200,2.000000,16.000000,-0.587770,6.312961,2.009786,0.307366,3.258401,1.395736,0.620000,2.355875,3.533812,2.017859,3.026789
baseline_true_centerT,7,0.400000,12.800000,13.200000,20,200,200,1.000000,1.000000,0.020821,200,2.000000,16.000000,-0.015956,0.176336,2.004090,0.169249,4.892991,1.859874,0.635000,2.374905,3.562357,2.033046,3.049569
baseline_true_centerT,7,0.400000,12.800000,13.200000,22,200,200,1.000000,1.000000,0.017713,200,2.000000,16.000000,0.004048,0.146601,1.967577,0.114455,6.851294,2.019052,0.810000,2.354355,3.531532,2.178576,3.267864
baseline_true_centerT,7,0.400000,12.800000,13.200000,24,200,200,1.000000,1.000000,0.012073,200,2.000000,16.000000,0.005390,0.116257,1.961521,0.103494,10.249180,2.990324,0.815000,2.349940,3.524910,2.177662,3.266493
baseline_true_centerT,7,0.400000,12.800000,13.200000,26,200,200,1.000000,1.000000,0.009975,200,2.000000,16.000000,-0.000392,0.087337,1.950519,0.065016,12.986845,4.054770,0.925000,2.340370,3.510555,2.272423,3.408634
baseline_true_centerT,7,0.400000,12.800000,13.200000,28,200,200,1.000000,1.000000,0.008170,200,2.000000,16.000000,0.003844,0.064456,1.941457,0.053533,15.904265,4.798565,0.985000,2.329749,3.494623,2.316656,3.474984
baseline_true_centerT,8,0.350000,12.825000,13.175000,14,31,31,0.155000,0.155000,0.061006,31,1.155000,20.000000,-5.331257,23.069763,2.369625,1.294977,1.663198,0.853263,0.185000,2.199211,3.298816,1.543915,2.315872
baseline_true_centerT,8,0.350000,12.825000,13.175000,16,125,121,0.625000,0.605000,0.052148,125,1.625000,20.000000,-0.216685,8.771927,2.022626,0.406351,2.190528,0.928940,0.410000,2.196724,3.295086,1.726356,2.589535
baseline_true_centerT,8,0.350000,12.825000,13.175000,18,177,174,0.885000,0.870000,0.042101,177,1.885000,20.000000,-0.383741,5.345339,1.982427,0.251140,3.116126,1.215247,0.665000,2.213618,3.320427,1.937895,2.906843
baseline_true_centerT,8,0.350000,12.825000,13.175000,20,199,198,0.995000,0.990000,0.030546,199,1.995000,20.000000,-0.003567,0.178377,1.973414,0.139433,4.999614,1.800236,0.740000,2.225662,3.338493,2.008669,3.013004
baseline_true_centerT,8,0.350000,12.825000,13.175000,22,200,200,1.000000,1.000000,0.023076,200,2.000000,20.000000,0.001326,0.134593,1.959070,0.125505,6.936146,2.168061,0.810000,2.226591,3.339887,2.066991,3.100487
baseline_true_centerT,8,0.350000,12.825000,13.175000,24,200,200,1.000000,1.000000,0.016016,200,2.000000,20.000000,0.002502,0.108889,1.949897,0.086173,10.197562,3.029263,0.885000,2.231709,3.347564,2.135109,3.202664
baseline_true_centerT,8,0.350000,12.825000,13.175000,26,200,200,1.000000,1.000000,0.013379,200,2.000000,20.000000,0.002493,0.086160,1.941423,0.062076,13.071673,4.004875,0.940000,2.236229,3.354343,2.185829,3.278743
baseline_true_centerT,8,0.350000,12.825000,13.175000,28,200,200,1.000000,1.000000,0.011247,200,2.000000,20.000000,0.005542,0.068203,1.941714,0.057555,15.576111,4.240953,0.950000,2.238148,3.357222,2.196148,3.294222
baseline_true_centerT,9,0.311111,12.844444,13.155556,14,1,1,0.005000,0.005000,0.066015,1,1.005000,22.000000,-2.480933,19.420776,2.255329,0.884887,1.823725,0.800071,0.220000,1.987946,2.981919,1.408388,2.112583
baseline_true_centerT,9,0.311111,12.844444,13.155556,16,13,12,0.065000,0.060000,0.057199,13,1.065000,22.000000,-0.357392,13.224978,2.134858,0.661328,2.247840,1.053085,0.375000,1.986282,2.979422,1.524229,2.286343
baseline_true_centerT,9,0.311111,12.844444,13.155556,18,78,76,0.390000,0.380000,0.055156,78,1.390000,22.000000,-0.229767,4.168507,1.977797,0.265928,3.247480,1.282474,0.665000,1.990305,2.985458,1.740978,2.611467
