route_name,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_count,tol_success_count,raw_success_rate,tol_success_rate,rmse_deg,rmse_valid_count,mean_num_peaks,snr90_db,mean_fft_center_error_coarse_deg,std_fft_center_error_coarse_deg,mean_fft_center_error_refined_deg,std_fft_center_error_refined_deg
baseline_true_centerT,6,0.466667,12.766667,13.233333,14,200,200,1.000000,1.000000,0.032676,200,2.000000,14.000000,-3.711231,20.826249,-3.711803,20.829926
baseline_true_centerT,6,0.466667,12.766667,13.233333,16,200,200,1.000000,1.000000,0.023171,200,2.000000,14.000000,-0.758354,9.690754,-0.758308,9.689497
baseline_true_centerT,6,0.466667,12.766667,13.233333,18,200,200,1.000000,1.000000,0.019933,200,2.000000,14.000000,-0.005547,0.244973,-0.005765,0.244290
baseline_true_centerT,6,0.466667,12.766667,13.233333,20,200,200,1.000000,1.000000,0.014352,200,2.000000,14.000000,-0.004581,0.185036,-0.005025,0.184296
baseline_true_centerT,6,0.466667,12.766667,13.233333,22,200,200,1.000000,1.000000,0.011849,200,2.000000,14.000000,-0.014282,0.140987,-0.014672,0.140379
baseline_true_centerT,6,0.466667,12.766667,13.233333,24,200,200,1.000000,1.000000,0.008840,200,2.000000,14.000000,-0.005128,0.123495,-0.006212,0.123617
baseline_true_centerT,6,0.466667,12.766667,13.233333,26,200,200,1.000000,1.000000,0.007267,200,2.000000,14.000000,-0.000390,0.092529,-0.000202,0.091507
baseline_true_centerT,6,0.466667,12.766667,13.233333,28,200,200,1.000000,1.000000,0.006229,200,2.000000,14.000000,0.000960,0.070720,0.000689,0.069264
baseline_true_centerT,7,0.400000,12.800000,13.200000,14,162,159,0.810000,0.795000,0.054283,162,1.810000,16.000000,-3.959281,24.380142,-3.959128,24.384826
baseline_true_centerT,7,0.400000,12.800000,13.200000,16,199,199,0.995000,0.995000,0.037383,199,1.995000,16.000000,-2.533107,13.630015,-2.534197,13.629459
baseline_true_centerT,7,0.400000,12.800000,13.200000,18,200,200,1.000000,1.000000,0.026679,200,2.000000,16.000000,-0.587770,6.312961,-0.587518,6.310654
baseline_true_centerT,7,0.400000,12.800000,13.200000,20,200,200,1.000000,1.000000,0.020821,200,2.000000,16.000000,-0.015956,0.176336,-0.016764,0.177421
baseline_true_centerT,7,0.400000,12.800000,13.200000,22,200,200,1.000000,1.000000,0.017713,200,2.000000,16.000000,0.004048,0.146601,0.004230,0.146029
baseline_true_centerT,7,0.400000,12.800000,13.200000,24,200,200,1.000000,1.000000,0.012073,200,2.000000,16.000000,0.005390,0.116257,0.006187,0.115207
baseline_true_centerT,7,0.400000,12.800000,13.200000,26,200,200,1.000000,1.000000,0.009975,200,2.000000,16.000000,-0.000392,0.087337,-0.000075,0.086719
baseline_true_centerT,7,0.400000,12.800000,13.200000,28,200,200,1.000000,1.000000,0.008170,200,2.000000,16.000000,0.003844,0.064456,0.004730,0.064075
baseline_true_centerT,8,0.350000,12.825000,13.175000,14,31,31,0.155000,0.155000,0.061006,31,1.155000,20.000000,-5.331257,23.069763,-5.332609,23.071257
baseline_true_centerT,8,0.350000,12.825000,13.175000,16,125,121,0.625000,0.605000,0.052148,125,1.625000,20.000000,-0.216685,8.771927,-0.216733,8.770789
baseline_true_centerT,8,0.350000,12.825000,13.175000,18,177,174,0.885000,0.870000,0.042101,177,1.885000,20.000000,-0.383741,5.345339,-0.384488,5.343145
baseline_true_centerT,8,0.350000,12.825000,13.175000,20,199,198,0.995000,0.990000,0.030546,199,1.995000,20.000000,-0.003567,0.178377,-0.004142,0.178370
baseline_true_centerT,8,0.350000,12.825000,13.175000,22,200,200,1.000000,1.000000,0.023076,200,2.000000,20.000000,0.001326,0.134593,0.001211,0.134198
baseline_true_centerT,8,0.350000,12.825000,13.175000,24,200,200,1.000000,1.000000,0.016016,200,2.000000,20.000000,0.002502,0.108889,0.001866,0.108382
baseline_true_centerT,8,0.350000,12.825000,13.175000,26,200,200,1.000000,1.000000,0.013379,200,2.000000,20.000000,0.002493,0.086160,0.003588,0.085105
baseline_true_centerT,8,0.350000,12.825000,13.175000,28,200,200,1.000000,1.000000,0.011247,200,2.000000,20.000000,0.005542,0.068203,0.006415,0.067839
baseline_true_centerT,9,0.311111,12.844444,13.155556,14,1,1,0.005000,0.005000,0.066015,1,1.005000,22.000000,-2.480933,19.420776,-2.481515,19.419317
baseline_true_centerT,9,0.311111,12.844444,13.155556,16,13,12,0.065000,0.060000,0.057199,13,1.065000,22.000000,-0.357392,13.224978,-0.357164,13.227630
baseline_true_centerT,9,0.311111,12.844444,13.155556,18,78,76,0.390000,0.380000,0.055156,78,1.390000,22.000000,-0.229767,4.168507,-0.228962,4.169950
baseline_true_centerT,9,0.311111,12.844444,13.155556,20,165,164,0.825000,0.820000,0.043016,165,1.825000,22.000000,0.003395,0.184517,0.002413,0.183866
baseline_true_centerT,9,0.311111,12.844444,13.155556,22,198,198,0.990000,0.990000,0.030632,198,1.990000,22.000000,-0.010713,0.149882,-0.010616,0.148669
baseline_true_centerT,9,0.311111,12.844444,13.155556,24,200,200,1.000000,1.000000,0.023838,200,2.000000,22.000000,-0.000383,0.109567,-0.000221,0.109393
baseline_true_centerT,9,0.311111,12.844444,13.155556,26,200,200,1.000000,1.000000,0.018130,200,2.000000,22.000000,0.001644,0.086394,0.002137,0.086141
baseline_true_centerT,9,0.311111,12.844444,13.155556,28,200,200,1.000000,1.000000,0.013706,200,2.000000,22.000000,-0.002264,0.068265,-0.001933,0.068045
baseline_true_centerT,10,0.280000,12.860000,13.140000,14,0,0,0.000000,0.000000,NaN,0,1.000000,24.000000,-5.506668,21.273561,-5.506392,21.273298
baseline_true_centerT,10,0.280000,12.860000,13.140000,16,1,1,0.005000,0.005000,0.043012,1,1.005000,24.000000,-1.292545,10.645811,-1.293668,10.646039
baseline_true_centerT,10,0.280000,12.860000,13.140000,18,15,14,0.075000,0.070000,0.072984,15,1.075000,24.000000,0.307738,4.680274,0.307705,4.679976
baseline_true_centerT,10,0.280000,12.860000,13.140000,20,62,61,0.310000,0.305000,0.047272,62,1.310000,24.000000,-0.003566,0.179377,-0.003454,0.179261
baseline_true_centerT,10,0.280000,12.860000,13.140000,22,144,144,0.720000,0.720000,0.041003,144,1.720000,24.000000,-0.006312,0.130945,-0.005168,0.129849
baseline_true_centerT,10,0.280000,12.860000,13.140000,24,190,190,0.950000,0.950000,0.030039,190,1.950000,24.000000,-0.007341,0.108913,-0.006270,0.109575
baseline_true_centerT,10,0.280000,12.860000,13.140000,26,199,199,0.995000,0.995000,0.022595,199,1.995000,24.000000,0.005547,0.084904,0.004115,0.085174
baseline_true_centerT,10,0.280000,12.860000,13.140000,28,200,200,1.000000,1.000000,0.018104,200,2.000000,24.000000,0.002658,0.071765,0.002498,0.070607
fft_guided_centerT,6,0.466667,12.766667,13.233333,14,126,126,0.630000,0.630000,0.033160,126,1.510000,16.000000,-3.711231,20.826249,-3.711803,20.829926
fft_guided_centerT,6,0.466667,12.766667,13.233333,16,180,180,0.900000,0.900000,0.023412,180,1.870000,16.000000,-0.758354,9.690754,-0.758308,9.689497
fft_guided_centerT,6,0.466667,12.766667,13.233333,18,199,199,0.995000,0.995000,0.020003,199,1.995000,16.000000,-0.005547,0.244973,-0.005765,0.244290
fft_guided_centerT,6,0.466667,12.766667,13.233333,20,200,200,1.000000,1.000000,0.014580,200,2.000000,16.000000,-0.004581,0.185036,-0.005025,0.184296
fft_guided_centerT,6,0.466667,12.766667,13.233333,22,200,200,1.000000,1.000000,0.011939,200,2.000000,16.000000,-0.014282,0.140987,-0.014672,0.140379
fft_guided_centerT,6,0.466667,12.766667,13.233333,24,200,200,1.000000,1.000000,0.008801,200,2.000000,16.000000,-0.005128,0.123495,-0.006212,0.123617
fft_guided_centerT,6,0.466667,12.766667,13.233333,26,200,200,1.000000,1.000000,0.007329,200,2.000000,16.000000,-0.000390,0.092529,-0.000202,0.091507
fft_guided_centerT,6,0.466667,12.766667,13.233333,28,200,200,1.000000,1.000000,0.006408,200,2.000000,16.000000,0.000960,0.070720,0.000689,0.069264
fft_guided_centerT,7,0.400000,12.800000,13.200000,14,104,99,0.520000,0.495000,0.056019,104,1.370000,18.000000,-3.959281,24.380142,-3.959128,24.384826
fft_guided_centerT,7,0.400000,12.800000,13.200000,16,176,176,0.880000,0.880000,0.037561,176,1.835000,18.000000,-2.533107,13.630015,-2.534197,13.629459
fft_guided_centerT,7,0.400000,12.800000,13.200000,18,195,195,0.975000,0.975000,0.026259,195,1.965000,18.000000,-0.587770,6.312961,-0.587518,6.310654
fft_guided_centerT,7,0.400000,12.800000,13.200000,20,200,200,1.000000,1.000000,0.020870,200,2.000000,18.000000,-0.015956,0.176336,-0.016764,0.177421
fft_guided_centerT,7,0.400000,12.800000,13.200000,22,200,200,1.000000,1.000000,0.017137,200,2.000000,18.000000,0.004048,0.146601,0.004230,0.146029
fft_guided_centerT,7,0.400000,12.800000,13.200000,24,200,200,1.000000,1.000000,0.012463,200,2.000000,18.000000,0.005390,0.116257,0.006187,0.115207
fft_guided_centerT,7,0.400000,12.800000,13.200000,26,200,200,1.000000,1.000000,0.009950,200,2.000000,18.000000,-0.000392,0.087337,-0.000075,0.086719
fft_guided_centerT,7,0.400000,12.800000,13.200000,28,200,200,1.000000,1.000000,0.008046,200,2.000000,18.000000,0.003844,0.064456,0.004730,0.064075
fft_guided_centerT,8,0.350000,12.825000,13.175000,14,16,16,0.080000,0.080000,0.063099,16,0.820000,20.000000,-5.331257,23.069763,-5.332609,23.071257
fft_guided_centerT,8,0.350000,12.825000,13.175000,16,116,111,0.580000,0.555000,0.051849,116,1.530000,20.000000,-0.216685,8.771927,-0.216733,8.770789
fft_guided_centerT,8,0.350000,12.825000,13.175000,18,174,171,0.870000,0.855000,0.042446,174,1.865000,20.000000,-0.383741,5.345339,-0.384488,5.343145
fft_guided_centerT,8,0.350000,12.825000,13.175000,20,199,198,0.995000,0.990000,0.030384,199,1.995000,20.000000,-0.003567,0.178377,-0.004142,0.178370
fft_guided_centerT,8,0.350000,12.825000,13.175000,22,200,200,1.000000,1.000000,0.022992,200,2.000000,20.000000,0.001326,0.134593,0.001211,0.134198
fft_guided_centerT,8,0.350000,12.825000,13.175000,24,200,200,1.000000,1.000000,0.016414,200,2.000000,20.000000,0.002502,0.108889,0.001866,0.108382
fft_guided_centerT,8,0.350000,12.825000,13.175000,26,200,200,1.000000,1.000000,0.013181,200,2.000000,20.000000,0.002493,0.086160,0.003588,0.085105
fft_guided_centerT,8,0.350000,12.825000,13.175000,28,200,200,1.000000,1.000000,0.010972,200,2.000000,20.000000,0.005542,0.068203,0.006415,0.067839
fft_guided_centerT,9,0.311111,12.844444,13.155556,14,2,2,0.010000,0.010000,0.066217,2,0.745000,22.000000,-2.480933,19.420776,-2.481515,19.419317
fft_guided_centerT,9,0.311111,12.844444,13.155556,16,11,10,0.055000,0.050000,0.053631,11,0.945000,22.000000,-0.357392,13.224978,-0.357164,13.227630
fft_guided_centerT,9,0.311111,12.844444,13.155556,18,80,78,0.400000,0.390000,0.054553,80,1.375000,22.000000,-0.229767,4.168507,-0.228962,4.169950
fft_guided_centerT,9,0.311111,12.844444,13.155556,20,164,164,0.820000,0.820000,0.043073,164,1.820000,22.000000,0.003395,0.184517,0.002413,0.183866
fft_guided_centerT,9,0.311111,12.844444,13.155556,22,197,197,0.985000,0.985000,0.030423,197,1.985000,22.000000,-0.010713,0.149882,-0.010616,0.148669
fft_guided_centerT,9,0.311111,12.844444,13.155556,24,200,200,1.000000,1.000000,0.023814,200,2.000000,22.000000,-0.000383,0.109567,-0.000221,0.109393
fft_guided_centerT,9,0.311111,12.844444,13.155556,26,200,200,1.000000,1.000000,0.018151,200,2.000000,22.000000,0.001644,0.086394,0.002137,0.086141
fft_guided_centerT,9,0.311111,12.844444,13.155556,28,200,200,1.000000,1.000000,0.013848,200,2.000000,22.000000,-0.002264,0.068265,-0.001933,0.068045
fft_guided_centerT,10,0.280000,12.860000,13.140000,14,0,0,0.000000,0.000000,NaN,0,0.755000,24.000000,-5.506668,21.273561,-5.506392,21.273298
fft_guided_centerT,10,0.280000,12.860000,13.140000,16,1,1,0.005000,0.005000,0.044291,1,0.905000,24.000000,-1.292545,10.645811,-1.293668,10.646039
fft_guided_centerT,10,0.280000,12.860000,13.140000,18,13,11,0.065000,0.055000,0.074417,13,1.040000,24.000000,0.307738,4.680274,0.307705,4.679976
fft_guided_centerT,10,0.280000,12.860000,13.140000,20,59,57,0.295000,0.285000,0.047093,59,1.290000,24.000000,-0.003566,0.179377,-0.003454,0.179261
fft_guided_centerT,10,0.280000,12.860000,13.140000,22,144,144,0.720000,0.720000,0.040855,144,1.720000,24.000000,-0.006312,0.130945,-0.005168,0.129849
fft_guided_centerT,10,0.280000,12.860000,13.140000,24,191,191,0.955000,0.955000,0.030540,191,1.955000,24.000000,-0.007341,0.108913,-0.006270,0.109575
fft_guided_centerT,10,0.280000,12.860000,13.140000,26,199,199,0.995000,0.995000,0.022665,199,1.995000,24.000000,0.005547,0.084904,0.004115,0.085174
fft_guided_centerT,10,0.280000,12.860000,13.140000,28,200,200,1.000000,1.000000,0.017986,200,2.000000,24.000000,0.002658,0.071765,0.002498,0.070607
fft_guided_centerT_parabolic,6,0.466667,12.766667,13.233333,14,126,126,0.630000,0.630000,0.033013,126,1.505000,16.000000,-3.711231,20.826249,-3.711803,20.829926
fft_guided_centerT_parabolic,6,0.466667,12.766667,13.233333,16,180,180,0.900000,0.900000,0.022903,180,1.870000,16.000000,-0.758354,9.690754,-0.758308,9.689497
