route_name,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_count,tol_success_count,raw_success_rate,tol_success_rate,rmse_deg,rmse_valid_count,mean_num_peaks,snr90_db,mean_fft_center_error_deg,std_fft_center_error_deg,mean_fwhm_fft_deg,std_fwhm_fft_deg,mean_theta_search_adapt_deg,mean_routeB_beam_span_adapt_deg
baseline_true_centerT,6,0.466667,12.766667,13.233333,14,200,200,1.000000,1.000000,0.032676,200,2.000000,14.000000,-3.711231,20.826249,2.227827,0.601786,2.503737,3.755605
baseline_true_centerT,6,0.466667,12.766667,13.233333,16,200,200,1.000000,1.000000,0.023171,200,2.000000,14.000000,-0.758354,9.690754,2.069671,0.367349,2.432690,3.649035
baseline_true_centerT,6,0.466667,12.766667,13.233333,18,200,200,1.000000,1.000000,0.019933,200,2.000000,14.000000,-0.005547,0.244973,2.000424,0.205184,2.393480,3.590220
baseline_true_centerT,6,0.466667,12.766667,13.233333,20,200,200,1.000000,1.000000,0.014352,200,2.000000,14.000000,-0.004581,0.185036,1.982102,0.146880,2.378522,3.567784
baseline_true_centerT,6,0.466667,12.766667,13.233333,22,200,200,1.000000,1.000000,0.011849,200,2.000000,14.000000,-0.014282,0.140987,1.956794,0.108044,2.348153,3.522229
baseline_true_centerT,6,0.466667,12.766667,13.233333,24,200,200,1.000000,1.000000,0.008840,200,2.000000,14.000000,-0.005128,0.123495,1.953778,0.092037,2.344534,3.516801
baseline_true_centerT,6,0.466667,12.766667,13.233333,26,200,200,1.000000,1.000000,0.007267,200,2.000000,14.000000,-0.000390,0.092529,1.961736,0.070857,2.354083,3.531125
baseline_true_centerT,6,0.466667,12.766667,13.233333,28,200,200,1.000000,1.000000,0.006229,200,2.000000,14.000000,0.000960,0.070720,1.947495,0.058096,2.336995,3.505492
baseline_true_centerT,7,0.400000,12.800000,13.200000,14,162,159,0.810000,0.795000,0.054283,162,1.810000,16.000000,-3.959281,24.380142,2.300352,1.145461,2.361035,3.541552
baseline_true_centerT,7,0.400000,12.800000,13.200000,16,199,199,0.995000,0.995000,0.037383,199,1.995000,16.000000,-2.533107,13.630015,2.121250,0.565706,2.373146,3.559720
baseline_true_centerT,7,0.400000,12.800000,13.200000,18,200,200,1.000000,1.000000,0.026679,200,2.000000,16.000000,-0.587770,6.312961,2.009786,0.307366,2.355875,3.533812
baseline_true_centerT,7,0.400000,12.800000,13.200000,20,200,200,1.000000,1.000000,0.020821,200,2.000000,16.000000,-0.015956,0.176336,2.004090,0.169249,2.374905,3.562357
baseline_true_centerT,7,0.400000,12.800000,13.200000,22,200,200,1.000000,1.000000,0.017713,200,2.000000,16.000000,0.004048,0.146601,1.967577,0.114455,2.354355,3.531532
baseline_true_centerT,7,0.400000,12.800000,13.200000,24,200,200,1.000000,1.000000,0.012073,200,2.000000,16.000000,0.005390,0.116257,1.961521,0.103494,2.349940,3.524910
baseline_true_centerT,7,0.400000,12.800000,13.200000,26,200,200,1.000000,1.000000,0.009975,200,2.000000,16.000000,-0.000392,0.087337,1.950519,0.065016,2.340370,3.510555
baseline_true_centerT,7,0.400000,12.800000,13.200000,28,200,200,1.000000,1.000000,0.008170,200,2.000000,16.000000,0.003844,0.064456,1.941457,0.053533,2.329749,3.494623
baseline_true_centerT,8,0.350000,12.825000,13.175000,14,31,31,0.155000,0.155000,0.061006,31,1.155000,20.000000,-5.331257,23.069763,2.369625,1.294977,2.199211,3.298816
baseline_true_centerT,8,0.350000,12.825000,13.175000,16,125,121,0.625000,0.605000,0.052148,125,1.625000,20.000000,-0.216685,8.771927,2.022626,0.406351,2.196724,3.295086
baseline_true_centerT,8,0.350000,12.825000,13.175000,18,177,174,0.885000,0.870000,0.042101,177,1.885000,20.000000,-0.383741,5.345339,1.982427,0.251140,2.213618,3.320427
baseline_true_centerT,8,0.350000,12.825000,13.175000,20,199,198,0.995000,0.990000,0.030546,199,1.995000,20.000000,-0.003567,0.178377,1.973414,0.139433,2.225662,3.338493
baseline_true_centerT,8,0.350000,12.825000,13.175000,22,200,200,1.000000,1.000000,0.023076,200,2.000000,20.000000,0.001326,0.134593,1.959070,0.125505,2.226591,3.339887
baseline_true_centerT,8,0.350000,12.825000,13.175000,24,200,200,1.000000,1.000000,0.016016,200,2.000000,20.000000,0.002502,0.108889,1.949897,0.086173,2.231709,3.347564
baseline_true_centerT,8,0.350000,12.825000,13.175000,26,200,200,1.000000,1.000000,0.013379,200,2.000000,20.000000,0.002493,0.086160,1.941423,0.062076,2.236229,3.354343
baseline_true_centerT,8,0.350000,12.825000,13.175000,28,200,200,1.000000,1.000000,0.011247,200,2.000000,20.000000,0.005542,0.068203,1.941714,0.057555,2.238148,3.357222
baseline_true_centerT,9,0.311111,12.844444,13.155556,14,1,1,0.005000,0.005000,0.066015,1,1.005000,22.000000,-2.480933,19.420776,2.255329,0.884887,1.987946,2.981919
baseline_true_centerT,9,0.311111,12.844444,13.155556,16,13,12,0.065000,0.060000,0.057199,13,1.065000,22.000000,-0.357392,13.224978,2.134858,0.661328,1.986282,2.979422
baseline_true_centerT,9,0.311111,12.844444,13.155556,18,78,76,0.390000,0.380000,0.055156,78,1.390000,22.000000,-0.229767,4.168507,1.977797,0.265928,1.990305,2.985458
baseline_true_centerT,9,0.311111,12.844444,13.155556,20,165,164,0.825000,0.820000,0.043016,165,1.825000,22.000000,0.003395,0.184517,1.965681,0.140217,1.990902,2.986354
baseline_true_centerT,9,0.311111,12.844444,13.155556,22,198,198,0.990000,0.990000,0.030632,198,1.990000,22.000000,-0.010713,0.149882,1.944860,0.116863,1.991111,2.986667
baseline_true_centerT,9,0.311111,12.844444,13.155556,24,200,200,1.000000,1.000000,0.023838,200,2.000000,22.000000,-0.000383,0.109567,1.950221,0.090753,1.991111,2.986667
baseline_true_centerT,9,0.311111,12.844444,13.155556,26,200,200,1.000000,1.000000,0.018130,200,2.000000,22.000000,0.001644,0.086394,1.937049,0.066387,1.991111,2.986667
baseline_true_centerT,9,0.311111,12.844444,13.155556,28,200,200,1.000000,1.000000,0.013706,200,2.000000,22.000000,-0.002264,0.068265,1.936411,0.055138,1.991111,2.986667
baseline_true_centerT,10,0.280000,12.860000,13.140000,14,0,0,0.000000,0.000000,NaN,0,1.000000,24.000000,-5.506668,21.273561,2.194153,0.640647,1.789192,2.683788
baseline_true_centerT,10,0.280000,12.860000,13.140000,16,1,1,0.005000,0.005000,0.043012,1,1.005000,24.000000,-1.292545,10.645811,2.059819,0.540109,1.792000,2.688000
baseline_true_centerT,10,0.280000,12.860000,13.140000,18,15,14,0.075000,0.070000,0.072984,15,1.075000,24.000000,0.307738,4.680274,2.025902,0.459536,1.792000,2.688000
