route_name,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_count,tol_success_count,raw_success_rate,tol_success_rate,rmse_deg,rmse_valid_count,mean_num_peaks,snr90_db,mean_fft_center_error_deg,std_fft_center_error_deg
baseline_true_centerT,8,0.350000,12.825000,13.175000,14,40,34,0.200000,0.170000,0.064981,40,1.200000,18.000000,-3.879040,20.661445
baseline_true_centerT,8,0.350000,12.825000,13.175000,16,120,116,0.600000,0.580000,0.052686,120,1.600000,18.000000,-0.757171,9.690731
baseline_true_centerT,8,0.350000,12.825000,13.175000,18,185,184,0.925000,0.920000,0.044578,185,1.925000,18.000000,-0.004194,0.240301
baseline_true_centerT,8,0.350000,12.825000,13.175000,20,200,200,1.000000,1.000000,0.031914,200,2.000000,18.000000,-0.005261,0.182134
baseline_true_centerT,8,0.350000,12.825000,13.175000,22,200,200,1.000000,1.000000,0.022902,200,2.000000,18.000000,-0.013943,0.139193
baseline_true_centerT,8,0.350000,12.825000,13.175000,24,200,200,1.000000,1.000000,0.016956,200,2.000000,18.000000,-0.005807,0.122197
baseline_true_centerT,8,0.350000,12.825000,13.175000,26,200,200,1.000000,1.000000,0.013115,200,2.000000,18.000000,-0.001069,0.091208
baseline_true_centerT,8,0.350000,12.825000,13.175000,28,200,200,1.000000,1.000000,0.010559,200,2.000000,18.000000,0.000451,0.069638
baseline_true_centerT,9,0.311111,12.844444,13.155556,14,0,0,0.000000,0.000000,NaN,0,1.000000,22.000000,-4.444550,24.789137
baseline_true_centerT,9,0.311111,12.844444,13.155556,16,24,23,0.120000,0.115000,0.057453,24,1.120000,22.000000,-2.410825,13.537225
baseline_true_centerT,9,0.311111,12.844444,13.155556,18,75,75,0.375000,0.375000,0.049263,75,1.375000,22.000000,-0.587432,6.312931
baseline_true_centerT,9,0.311111,12.844444,13.155556,20,163,163,0.815000,0.815000,0.040871,163,1.815000,22.000000,-0.015956,0.175879
baseline_true_centerT,9,0.311111,12.844444,13.155556,22,194,194,0.970000,0.970000,0.033943,194,1.970000,22.000000,0.004556,0.145216
baseline_true_centerT,9,0.311111,12.844444,13.155556,24,200,200,1.000000,1.000000,0.022339,200,2.000000,22.000000,0.005559,0.115590
baseline_true_centerT,9,0.311111,12.844444,13.155556,26,200,200,1.000000,1.000000,0.017770,200,2.000000,22.000000,-0.000053,0.086243
baseline_true_centerT,9,0.311111,12.844444,13.155556,28,200,200,1.000000,1.000000,0.013364,200,2.000000,22.000000,0.004522,0.064232
baseline_true_centerT,10,0.280000,12.860000,13.140000,14,0,0,0.000000,0.000000,NaN,0,1.000000,24.000000,-5.711405,23.534171
baseline_true_centerT,10,0.280000,12.860000,13.140000,16,0,0,0.000000,0.000000,NaN,0,1.000000,24.000000,-0.216650,8.770742
baseline_true_centerT,10,0.280000,12.860000,13.140000,18,5,5,0.025000,0.025000,0.050892,5,1.025000,24.000000,-0.383742,5.345278
baseline_true_centerT,10,0.280000,12.860000,13.140000,20,54,54,0.270000,0.270000,0.049065,54,1.270000,24.000000,-0.003059,0.176873
baseline_true_centerT,10,0.280000,12.860000,13.140000,22,140,140,0.700000,0.700000,0.040953,140,1.700000,24.000000,0.000986,0.132416
baseline_true_centerT,10,0.280000,12.860000,13.140000,24,192,192,0.960000,0.960000,0.031848,192,1.960000,24.000000,0.002841,0.108059
baseline_true_centerT,10,0.280000,12.860000,13.140000,26,200,200,1.000000,1.000000,0.023108,200,2.000000,24.000000,0.002662,0.085332
baseline_true_centerT,10,0.280000,12.860000,13.140000,28,200,200,1.000000,1.000000,0.018296,200,2.000000,24.000000,0.006051,0.067672
fft_guided_centerT,8,0.350000,12.825000,13.175000,14,26,21,0.130000,0.105000,0.063262,26,0.925000,18.000000,-3.879040,20.661445
fft_guided_centerT,8,0.350000,12.825000,13.175000,16,105,100,0.525000,0.500000,0.052945,105,1.475000,18.000000,-0.757171,9.690731
fft_guided_centerT,8,0.350000,12.825000,13.175000,18,182,181,0.910000,0.905000,0.044371,182,1.910000,18.000000,-0.004194,0.240301
fft_guided_centerT,8,0.350000,12.825000,13.175000,20,200,200,1.000000,1.000000,0.032103,200,2.000000,18.000000,-0.005261,0.182134
fft_guided_centerT,8,0.350000,12.825000,13.175000,22,200,200,1.000000,1.000000,0.022985,200,2.000000,18.000000,-0.013943,0.139193
fft_guided_centerT,8,0.350000,12.825000,13.175000,24,200,200,1.000000,1.000000,0.016602,200,2.000000,18.000000,-0.005807,0.122197
fft_guided_centerT,8,0.350000,12.825000,13.175000,26,200,200,1.000000,1.000000,0.012882,200,2.000000,18.000000,-0.001069,0.091208
fft_guided_centerT,8,0.350000,12.825000,13.175000,28,200,200,1.000000,1.000000,0.010464,200,2.000000,18.000000,0.000451,0.069638
fft_guided_centerT,9,0.311111,12.844444,13.155556,14,0,0,0.000000,0.000000,NaN,0,0.760000,22.000000,-4.444550,24.789137
fft_guided_centerT,9,0.311111,12.844444,13.155556,16,23,22,0.115000,0.110000,0.058173,23,1.025000,22.000000,-2.410825,13.537225
fft_guided_centerT,9,0.311111,12.844444,13.155556,18,69,69,0.345000,0.345000,0.046976,69,1.330000,22.000000,-0.587432,6.312931
fft_guided_centerT,9,0.311111,12.844444,13.155556,20,165,165,0.825000,0.825000,0.041145,165,1.825000,22.000000,-0.015956,0.175879
fft_guided_centerT,9,0.311111,12.844444,13.155556,22,192,192,0.960000,0.960000,0.033618,192,1.960000,22.000000,0.004556,0.145216
fft_guided_centerT,9,0.311111,12.844444,13.155556,24,200,200,1.000000,1.000000,0.022588,200,2.000000,22.000000,0.005559,0.115590
fft_guided_centerT,9,0.311111,12.844444,13.155556,26,200,200,1.000000,1.000000,0.017378,200,2.000000,22.000000,-0.000053,0.086243
fft_guided_centerT,9,0.311111,12.844444,13.155556,28,200,200,1.000000,1.000000,0.013567,200,2.000000,22.000000,0.004522,0.064232
fft_guided_centerT,10,0.280000,12.860000,13.140000,14,0,0,0.000000,0.000000,NaN,0,0.690000,24.000000,-5.711405,23.534171
fft_guided_centerT,10,0.280000,12.860000,13.140000,16,0,0,0.000000,0.000000,NaN,0,0.925000,24.000000,-0.216650,8.770742
fft_guided_centerT,10,0.280000,12.860000,13.140000,18,4,4,0.020000,0.020000,0.050607,4,1.000000,24.000000,-0.383742,5.345278
fft_guided_centerT,10,0.280000,12.860000,13.140000,20,53,53,0.265000,0.265000,0.048446,53,1.265000,24.000000,-0.003059,0.176873
fft_guided_centerT,10,0.280000,12.860000,13.140000,22,139,139,0.695000,0.695000,0.040541,139,1.695000,24.000000,0.000986,0.132416
fft_guided_centerT,10,0.280000,12.860000,13.140000,24,192,192,0.960000,0.960000,0.031967,192,1.960000,24.000000,0.002841,0.108059
fft_guided_centerT,10,0.280000,12.860000,13.140000,26,200,200,1.000000,1.000000,0.023334,200,2.000000,24.000000,0.002662,0.085332
fft_guided_centerT,10,0.280000,12.860000,13.140000,28,200,200,1.000000,1.000000,0.018123,200,2.000000,24.000000,0.006051,0.067672
