route_name,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_count,tol_success_count,raw_success_rate,tol_success_rate,rmse_deg,rmse_valid_count,mean_num_peaks,snr90_db,mean_fft_center_error_deg,std_fft_center_error_deg,mean_fwhm_fft_deg,std_fwhm_fft_deg,mean_theta_search_4b_deg,mean_routeB_beam_span_4b_deg,mean_theta_search_4e_deg,mean_routeB_beam_span_4e_deg,mean_raw_search_ratio_4e,mean_piecewise_search_ratio_4e,mean_piecewise_span_ratio_4e
baseline_true_centerT,7,0.400000,12.800000,13.200000,14,167,163,0.835000,0.815000,0.052969,167,1.835000,16.000000,-2.846632,24.348469,2.301489,0.733454,2.396064,3.594096,2.019324,2.928019,1.726117,1.262077,1.220008
baseline_true_centerT,7,0.400000,12.800000,13.200000,16,200,200,1.000000,1.000000,0.037199,200,2.000000,16.000000,-2.201287,14.715738,2.139051,0.519862,2.375720,3.563580,1.988511,2.883341,1.604288,1.242819,1.201392
baseline_true_centerT,7,0.400000,12.800000,13.200000,18,200,200,1.000000,1.000000,0.027807,200,2.000000,16.000000,-0.348264,4.358890,1.980374,0.209656,2.334708,3.502062,1.959065,2.840644,1.485281,1.224415,1.183602
baseline_true_centerT,7,0.400000,12.800000,13.200000,20,200,200,1.000000,1.000000,0.020341,200,2.000000,16.000000,-0.005088,0.187513,1.978600,0.162909,2.350706,3.526058,1.960857,2.843243,1.483950,1.225536,1.184685
baseline_true_centerT,7,0.400000,12.800000,13.200000,22,200,200,1.000000,1.000000,0.016047,200,2.000000,16.000000,0.007099,0.140603,1.960504,0.118424,2.346924,3.520386,1.956962,2.837594,1.470378,1.223101,1.182331
baseline_true_centerT,7,0.400000,12.800000,13.200000,24,200,200,1.000000,1.000000,0.012806,200,2.000000,16.000000,-0.014469,0.106565,1.957452,0.080853,2.347978,3.521966,1.957673,2.838627,1.468089,1.223546,1.182761
baseline_true_centerT,7,0.400000,12.800000,13.200000,26,200,200,1.000000,1.000000,0.009836,200,2.000000,16.000000,-0.001918,0.090764,1.937267,0.069280,2.324070,3.486105,1.952887,2.831686,1.452950,1.220555,1.179869
baseline_true_centerT,7,0.400000,12.800000,13.200000,28,200,200,1.000000,1.000000,0.007906,200,2.000000,16.000000,0.000960,0.070227,1.939892,0.053415,2.327871,3.491806,1.953574,2.832682,1.454919,1.220984,1.180284
baseline_true_centerT,8,0.350000,12.825000,13.175000,14,45,42,0.225000,0.210000,0.060263,45,1.225000,18.000000,-3.321395,19.312429,2.266691,0.686847,2.206816,3.310224,1.823316,2.643808,1.942878,1.302368,1.258956
baseline_true_centerT,8,0.350000,12.825000,13.175000,16,127,118,0.635000,0.590000,0.055796,127,1.635000,18.000000,-1.107940,12.818322,2.123566,0.647859,2.199058,3.298587,1.795747,2.603834,1.820199,1.282677,1.239921
baseline_true_centerT,8,0.350000,12.825000,13.175000,18,186,186,0.930000,0.930000,0.041338,186,1.930000,18.000000,-0.012532,0.214816,2.004595,0.216028,2.216333,3.324499,1.782953,2.585282,1.718224,1.273538,1.231086
