route_name,sep_factor,snr_db,raw_success_rate,tol_success_rate_abs01,tol_success_rate_rel025,rmse_deg,mean_num_peaks
baseline_true_centerT,7,14,0.835000,0.815000,0.815000,0.053082,1.835000
fft_guided_centerT_proto4,7,14,0.535000,0.515000,0.515000,0.053661,1.365000
fft_guided_centerT_adaptive_window_proto4b,7,14,0.590000,0.570000,0.570000,0.052463,1.495000
fft_guided_centerT_piecewise_proto4e,7,14,0.585000,0.565000,0.565000,0.052735,1.470000
root_music_reference,7,14,1.000000,0.995000,0.995000,0.046222,2.000000
fftii_known2_proto5a_refined,7,14,1.000000,0.065000,0.065000,24.514391,2.000000
baseline_true_centerT,7,16,1.000000,1.000000,1.000000,0.037195,2.000000
fft_guided_centerT_proto4,7,16,0.860000,0.855000,0.855000,0.037702,1.785000
fft_guided_centerT_adaptive_window_proto4b,7,16,0.885000,0.880000,0.880000,0.037199,1.850000
fft_guided_centerT_piecewise_proto4e,7,16,0.875000,0.870000,0.870000,0.037506,1.815000
root_music_reference,7,16,1.000000,1.000000,1.000000,0.033287,2.000000
fftii_known2_proto5a_refined,7,16,1.000000,0.080000,0.080000,14.875496,2.000000
baseline_true_centerT,8,14,0.225000,0.210000,0.190000,0.060263,1.225000
fft_guided_centerT_proto4,8,14,0.135000,0.120000,0.110000,0.060948,0.945000
fft_guided_centerT_adaptive_window_proto4b,8,14,0.150000,0.135000,0.120000,0.062059,1.065000
fft_guided_centerT_piecewise_proto4e,8,14,0.150000,0.135000,0.125000,0.061699,1.025000
root_music_reference,8,14,1.000000,0.615000,0.495000,0.084508,2.000000
fftii_known2_proto5a_refined,8,14,1.000000,0.090000,0.070000,19.985314,2.000000
baseline_true_centerT,8,16,0.635000,0.590000,0.545000,0.055979,1.635000
fft_guided_centerT_proto4,8,16,0.530000,0.495000,0.435000,0.055377,1.470000
fft_guided_centerT_adaptive_window_proto4b,8,16,0.575000,0.545000,0.470000,0.055609,1.545000
fft_guided_centerT_piecewise_proto4e,8,16,0.570000,0.530000,0.485000,0.055983,1.530000
root_music_reference,8,16,1.000000,0.935000,0.855000,0.053749,2.000000
fftii_known2_proto5a_refined,8,16,1.000000,0.130000,0.100000,13.032028,2.000000
baseline_true_centerT,8,18,0.930000,0.930000,0.920000,0.041299,1.930000
fft_guided_centerT_proto4,8,18,0.930000,0.925000,0.915000,0.041150,1.930000
fft_guided_centerT_adaptive_window_proto4b,8,18,0.935000,0.935000,0.920000,0.041396,1.935000
fft_guided_centerT_piecewise_proto4e,8,18,0.930000,0.930000,0.910000,0.041189,1.930000
root_music_reference,8,18,1.000000,0.990000,0.980000,0.036130,2.000000
fftii_known2_proto5a_refined,8,18,1.000000,0.210000,0.155000,0.522872,2.000000
baseline_true_centerT,9,18,0.430000,0.425000,0.395000,0.052367,1.430000
fft_guided_centerT_proto4,9,18,0.430000,0.425000,0.370000,0.052510,1.410000
fft_guided_centerT_adaptive_window_proto4b,9,18,0.435000,0.425000,0.380000,0.052179,1.435000
fft_guided_centerT_piecewise_proto4e,9,18,0.455000,0.435000,0.380000,0.053508,1.455000
root_music_reference,9,18,1.000000,0.890000,0.725000,0.056289,2.000000
fftii_known2_proto5a_refined,9,18,1.000000,0.215000,0.160000,2.481044,2.000000
baseline_true_centerT,9,20,0.840000,0.840000,0.810000,0.042877,1.840000
fft_guided_centerT_proto4,9,20,0.835000,0.835000,0.785000,0.042689,1.835000
fft_guided_centerT_adaptive_window_proto4b,9,20,0.820000,0.820000,0.780000,0.041938,1.820000
fft_guided_centerT_piecewise_proto4e,9,20,0.835000,0.835000,0.795000,0.043048,1.835000
root_music_reference,9,20,1.000000,0.990000,0.960000,0.037577,2.000000
fftii_known2_proto5a_refined,9,20,1.000000,0.265000,0.190000,0.351013,2.000000
baseline_true_centerT,9,22,0.995000,0.995000,0.990000,0.031496,1.995000
fft_guided_centerT_proto4,9,22,0.995000,0.995000,0.990000,0.031581,1.995000
fft_guided_centerT_adaptive_window_proto4b,9,22,0.995000,0.995000,0.990000,0.031654,1.995000
fft_guided_centerT_piecewise_proto4e,9,22,0.995000,0.995000,0.990000,0.031811,1.995000
root_music_reference,9,22,1.000000,1.000000,1.000000,0.027265,2.000000
fftii_known2_proto5a_refined,9,22,1.000000,0.410000,0.295000,0.240162,2.000000
baseline_true_centerT,10,20,0.305000,0.305000,0.235000,0.046633,1.305000
fft_guided_centerT_proto4,10,20,0.300000,0.300000,0.260000,0.046076,1.295000
fft_guided_centerT_adaptive_window_proto4b,10,20,0.300000,0.300000,0.250000,0.046384,1.295000
fft_guided_centerT_piecewise_proto4e,10,20,0.305000,0.305000,0.255000,0.046399,1.300000
root_music_reference,10,20,1.000000,0.880000,0.590000,0.056968,2.000000
fftii_known2_proto5a_refined,10,20,1.000000,0.325000,0.195000,0.381854,2.000000
baseline_true_centerT,10,22,0.745000,0.745000,0.685000,0.038123,1.745000
fft_guided_centerT_proto4,10,22,0.745000,0.745000,0.715000,0.037887,1.740000
fft_guided_centerT_adaptive_window_proto4b,10,22,0.735000,0.735000,0.705000,0.037701,1.735000
fft_guided_centerT_piecewise_proto4e,10,22,0.735000,0.735000,0.710000,0.037685,1.735000
root_music_reference,10,22,1.000000,1.000000,0.940000,0.035224,2.000000
fftii_known2_proto5a_refined,10,22,1.000000,0.385000,0.275000,0.247248,2.000000
baseline_true_centerT,10,24,0.960000,0.960000,0.950000,0.031312,1.960000
fft_guided_centerT_proto4,10,24,0.960000,0.960000,0.960000,0.031078,1.960000
fft_guided_centerT_adaptive_window_proto4b,10,24,0.955000,0.955000,0.955000,0.031135,1.955000
fft_guided_centerT_piecewise_proto4e,10,24,0.955000,0.955000,0.955000,0.030863,1.955000
root_music_reference,10,24,1.000000,1.000000,0.995000,0.027230,2.000000
fftii_known2_proto5a_refined,10,24,1.000000,0.425000,0.275000,0.195980,2.000000
