route_name,sep_factor,snr_db,raw_success_rate,tol_success_rate_abs01,tol_success_rate_rel025,rmse_deg,mean_num_peaks
baseline_routeB_centerT_grid_music,7,14,0.835000,0.820000,0.820000,0.052506,1.835000
proto4e_fft_piecewise_grid_music,7,14,0.585000,0.570000,0.570000,0.051935,1.470000
proto6_array_root_music,7,14,1.000000,0.995000,0.995000,0.046363,2.000000
proto6_beamspace_root_music,7,14,1.000000,0.995000,0.995000,0.045598,2.000000
baseline_routeB_centerT_grid_music,7,16,1.000000,1.000000,1.000000,0.037229,2.000000
proto4e_fft_piecewise_grid_music,7,16,0.880000,0.875000,0.875000,0.037479,1.820000
proto6_array_root_music,7,16,1.000000,1.000000,1.000000,0.033274,2.000000
proto6_beamspace_root_music,7,16,1.000000,1.000000,1.000000,0.033011,2.000000
baseline_routeB_centerT_grid_music,8,14,0.225000,0.210000,0.190000,0.060263,1.225000
proto4e_fft_piecewise_grid_music,8,14,0.150000,0.135000,0.125000,0.061699,1.025000
proto6_array_root_music,8,14,1.000000,0.610000,0.490000,0.085058,2.000000
proto6_beamspace_root_music,8,14,1.000000,0.635000,0.540000,0.082621,2.000000
baseline_routeB_centerT_grid_music,8,16,0.635000,0.590000,0.545000,0.056183,1.635000
proto4e_fft_piecewise_grid_music,8,16,0.570000,0.530000,0.485000,0.056179,1.530000
proto6_array_root_music,8,16,1.000000,0.935000,0.855000,0.053800,2.000000
proto6_beamspace_root_music,8,16,1.000000,0.945000,0.865000,0.052673,2.000000
baseline_routeB_centerT_grid_music,8,18,0.930000,0.930000,0.920000,0.041364,1.930000
proto4e_fft_piecewise_grid_music,8,18,0.930000,0.930000,0.910000,0.041262,1.930000
proto6_array_root_music,8,18,1.000000,0.990000,0.980000,0.036227,2.000000
proto6_beamspace_root_music,8,18,1.000000,0.990000,0.980000,0.035779,2.000000
baseline_routeB_centerT_grid_music,9,18,0.435000,0.430000,0.395000,0.052867,1.435000
proto4e_fft_piecewise_grid_music,9,18,0.460000,0.440000,0.380000,0.053964,1.460000
proto6_array_root_music,9,18,1.000000,0.890000,0.725000,0.056307,2.000000
proto6_beamspace_root_music,9,18,1.000000,0.895000,0.740000,0.055028,2.000000
baseline_routeB_centerT_grid_music,9,20,0.845000,0.845000,0.815000,0.042910,1.845000
proto4e_fft_piecewise_grid_music,9,20,0.840000,0.840000,0.800000,0.043099,1.840000
proto6_array_root_music,9,20,1.000000,0.990000,0.960000,0.037684,2.000000
proto6_beamspace_root_music,9,20,1.000000,0.990000,0.960000,0.037033,2.000000
baseline_routeB_centerT_grid_music,9,22,0.995000,0.995000,0.990000,0.031636,1.995000
proto4e_fft_piecewise_grid_music,9,22,0.995000,0.995000,0.990000,0.031937,1.995000
proto6_array_root_music,9,22,1.000000,1.000000,1.000000,0.027327,2.000000
proto6_beamspace_root_music,9,22,1.000000,1.000000,1.000000,0.027075,2.000000
baseline_routeB_centerT_grid_music,10,20,0.305000,0.305000,0.235000,0.046633,1.305000
proto4e_fft_piecewise_grid_music,10,20,0.305000,0.305000,0.255000,0.046399,1.300000
proto6_array_root_music,10,20,1.000000,0.880000,0.585000,0.057207,2.000000
proto6_beamspace_root_music,10,20,1.000000,0.895000,0.645000,0.055315,2.000000
baseline_routeB_centerT_grid_music,10,22,0.745000,0.745000,0.685000,0.038035,1.745000
proto4e_fft_piecewise_grid_music,10,22,0.735000,0.735000,0.710000,0.037568,1.735000
proto6_array_root_music,10,22,1.000000,1.000000,0.940000,0.035201,2.000000
proto6_beamspace_root_music,10,22,1.000000,1.000000,0.950000,0.034458,2.000000
baseline_routeB_centerT_grid_music,10,24,0.960000,0.960000,0.950000,0.031429,1.960000
proto4e_fft_piecewise_grid_music,10,24,0.955000,0.955000,0.955000,0.030959,1.955000
proto6_array_root_music,10,24,1.000000,1.000000,0.995000,0.027323,2.000000
proto6_beamspace_root_music,10,24,1.000000,1.000000,1.000000,0.027000,2.000000
