route_name,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_count,tol_success_count,tol_success_count_rel,raw_success_rate,tol_success_rate,tol_success_rate_rel,rmse_deg,rmse_valid_count,mean_num_peaks,snr90_db,snr90_rel_db,mean_fft_center_error_deg,std_fft_center_error_deg,mean_fwhm_fft_deg,std_fwhm_fft_deg,mean_raw_search_ratio_4e,mean_piecewise_search_ratio_4e,mean_piecewise_span_ratio_4e,mean_theta_search_4e_deg,mean_routeB_beam_span_4e_deg,lambda2_over_noise_array,lambda2_over_noise_beam,root_dist_array_mean,root_dist_beam_mean
baseline_routeB_centerT_grid_music,7,0.400000,12.800000,13.200000,14,167,164,164,0.835000,0.820000,0.820000,0.052506,167,1.835000,16.000000,16.000000,-2.849347,24.348154,2.300695,0.733778,1.725521,1.261958,1.219893,2.019133,2.927743,3.022733,3.170808,0.004277,0.004076
baseline_routeB_centerT_grid_music,7,0.400000,12.800000,13.200000,16,200,200,200,1.000000,1.000000,1.000000,0.037229,200,2.000000,16.000000,16.000000,-2.107174,14.663796,2.144794,0.518973,1.608596,1.243887,1.202424,1.990219,2.885818,4.318340,4.526839,0.003181,0.003031
baseline_routeB_centerT_grid_music,7,0.400000,12.800000,13.200000,18,200,200,200,1.000000,1.000000,1.000000,0.027870,200,2.000000,16.000000,16.000000,-0.349792,4.358732,1.979246,0.210318,1.484435,1.224203,1.183396,1.958725,2.840151,6.347570,6.656174,0.002429,0.002323
baseline_routeB_centerT_grid_music,7,0.400000,12.800000,13.200000,20,200,200,200,1.000000,1.000000,1.000000,0.019969,200,2.000000,16.000000,16.000000,-0.004069,0.187952,1.975256,0.161504,1.481442,1.225034,1.184200,1.960055,2.842079,9.591816,10.058360,0.001908,0.001828
baseline_routeB_centerT_grid_music,7,0.400000,12.800000,13.200000,22,200,200,200,1.000000,1.000000,1.000000,0.016047,200,2.000000,16.000000,16.000000,0.005232,0.139771,1.961268,0.118530,1.470951,1.223216,1.182442,1.957145,2.837860,14.683124,15.388589,0.001449,0.001387
baseline_routeB_centerT_grid_music,7,0.400000,12.800000,13.200000,24,200,200,200,1.000000,1.000000,1.000000,0.012777,200,2.000000,16.000000,16.000000,-0.013451,0.106130,1.955799,0.081865,1.466849,1.223293,1.182517,1.957269,2.838040,22.770571,23.886060,0.001187,0.001139
baseline_routeB_centerT_grid_music,7,0.400000,12.800000,13.200000,26,200,200,200,1.000000,1.000000,1.000000,0.009862,200,2.000000,16.000000,16.000000,-0.001409,0.091105,1.936898,0.069305,1.452673,1.220499,1.179816,1.952799,2.831558,35.597220,37.341357,0.000933,0.000897
baseline_routeB_centerT_grid_music,7,0.400000,12.800000,13.200000,28,200,200,200,1.000000,1.000000,1.000000,0.007906,200,2.000000,16.000000,16.000000,0.000112,0.070255,1.939422,0.053385,1.454566,1.220913,1.180216,1.953461,2.832519,56.034221,58.773783,0.000738,0.000710
baseline_routeB_centerT_grid_music,8,0.350000,12.825000,13.175000,14,45,42,38,0.225000,0.210000,0.190000,0.060263,45,1.225000,18.000000,18.000000,-3.585886,19.629310,2.275865,0.688884,1.950741,1.303727,1.260270,1.825218,2.646566,2.117695,2.220870,0.006082,0.005778
baseline_routeB_centerT_grid_music,8,0.350000,12.825000,13.175000,16,127,118,109,0.635000,0.590000,0.545000,0.056183,127,1.635000,18.000000,18.000000,-1.226544,12.914942,2.123890,0.648275,1.820477,1.282705,1.239948,1.795787,2.603891,2.839106,2.974215,0.004446,0.004229
baseline_routeB_centerT_grid_music,8,0.350000,12.825000,13.175000,18,186,186,184,0.930000,0.930000,0.920000,0.041364,186,1.930000,18.000000,18.000000,-0.013382,0.213478,2.008090,0.217132,1.721220,1.274137,1.231666,1.783792,2.586498,4.014771,4.208456,0.003363,0.003219
baseline_routeB_centerT_grid_music,8,0.350000,12.825000,13.175000,20,200,200,200,1.000000,1.000000,1.000000,0.029215,200,2.000000,18.000000,18.000000,-0.001005,0.200772,1.978505,0.165773,1.695862,1.268793,1.226500,1.776310,2.575649,5.884152,6.171816,0.002527,0.002416
baseline_routeB_centerT_grid_music,8,0.350000,12.825000,13.175000,22,200,200,200,1.000000,1.000000,1.000000,0.021599,200,2.000000,18.000000,18.000000,-0.011063,0.130628,1.954390,0.099815,1.675191,1.265038,1.222870,1.771054,2.568028,8.848037,9.273019,0.001998,0.001915
baseline_routeB_centerT_grid_music,8,0.350000,12.825000,13.175000,24,200,200,200,1.000000,1.000000,1.000000,0.016985,200,2.000000,18.000000,18.000000,0.014719,0.105439,1.940837,0.087321,1.663574,1.262715,1.220624,1.767801,2.563311,13.520833,14.165605,0.001578,0.001514
baseline_routeB_centerT_grid_music,8,0.350000,12.825000,13.175000,26,200,200,200,1.000000,1.000000,1.000000,0.014000,200,2.000000,18.000000,18.000000,0.009112,0.089663,1.939271,0.070927,1.662233,1.262447,1.220365,1.767425,2.562766,20.909958,21.911205,0.001224,0.001173
baseline_routeB_centerT_grid_music,8,0.350000,12.825000,13.175000,28,200,200,200,1.000000,1.000000,1.000000,0.010050,200,2.000000,18.000000,18.000000,0.001980,0.075385,1.940347,0.056750,1.663155,1.262631,1.220543,1.767683,2.563141,32.577842,34.129025,0.000942,0.000904
baseline_routeB_centerT_grid_music,9,0.311111,12.844444,13.155556,14,1,1,0,0.005000,0.005000,0.000000,0.071703,1,1.005000,22.000000,22.000000,-0.923287,23.466408,2.368851,1.578362,2.284249,1.333211,1.288771,1.659107,2.405705,1.639351,1.717461,0.009050,0.008600
