route_name,sep_factor,snr_db,raw_success_rate,tol_success_rate_abs01,tol_success_rate_rel025,rmse_deg,mean_num_peaks
baseline_routeB_centerT_grid_music,1,-4,1.000000,1.000000,1.000000,0.024784,4.000000
proto6_array_root_music,1,-4,1.000000,1.000000,1.000000,0.024390,2.000000
baseline_routeB_centerT_grid_music,2,-4,1.000000,0.995000,1.000000,0.034673,2.000000
proto6_array_root_music,2,-4,1.000000,0.995000,1.000000,0.034462,2.000000
baseline_routeB_centerT_grid_music,3,-4,0.995000,0.655000,0.995000,0.077361,1.995000
proto6_array_root_music,3,-4,1.000000,0.740000,1.000000,0.069936,2.000000
baseline_routeB_centerT_grid_music,3,-2,1.000000,0.905000,1.000000,0.050010,2.000000
proto6_array_root_music,3,-2,1.000000,0.925000,1.000000,0.047771,2.000000
baseline_routeB_centerT_grid_music,4,-4,0.065000,0.015000,0.030000,0.159543,1.065000
proto6_array_root_music,4,-4,1.000000,0.040000,0.155000,0.304396,2.000000
baseline_routeB_centerT_grid_music,4,4,1.000000,0.965000,1.000000,0.043442,2.000000
proto6_array_root_music,4,4,1.000000,0.975000,1.000000,0.041227,2.000000
baseline_routeB_centerT_grid_music,5,-4,0.000000,0.000000,0.000000,0.000000,1.000000
proto6_array_root_music,5,-4,0.915000,0.000000,0.000000,20.407611,1.830000
baseline_routeB_centerT_grid_music,5,8,1.000000,0.955000,0.990000,0.051510,2.000000
proto6_array_root_music,5,8,1.000000,0.970000,1.000000,0.043670,2.000000
baseline_routeB_centerT_grid_music,6,-4,0.000000,0.000000,0.000000,0.000000,1.000000
proto6_array_root_music,6,-4,0.910000,0.000000,0.000000,28.979069,1.820000
baseline_routeB_centerT_grid_music,6,12,0.985000,0.975000,0.980000,0.043855,1.985000
proto6_array_root_music,6,12,1.000000,0.970000,1.000000,0.039199,2.000000
baseline_routeB_centerT_grid_music,7,-4,0.000000,0.000000,0.000000,0.000000,1.000000
proto6_array_root_music,7,-4,0.805000,0.000000,0.000000,28.150471,1.610000
baseline_routeB_centerT_grid_music,7,14,0.850000,0.810000,0.810000,0.055091,1.850000
proto6_array_root_music,7,14,1.000000,0.945000,0.945000,0.049886,2.000000
baseline_routeB_centerT_grid_music,7,16,0.995000,0.995000,0.995000,0.038089,1.995000
proto6_array_root_music,7,16,1.000000,1.000000,1.000000,0.033176,2.000000
baseline_routeB_centerT_grid_music,8,-4,0.000000,0.000000,0.000000,0.000000,1.000000
proto6_array_root_music,8,-4,0.825000,0.000000,0.000000,27.684133,1.650000
baseline_routeB_centerT_grid_music,8,16,0.595000,0.560000,0.550000,0.055038,1.595000
proto6_array_root_music,8,16,1.000000,0.920000,0.870000,0.055450,2.000000
baseline_routeB_centerT_grid_music,8,18,0.930000,0.925000,0.920000,0.042789,1.930000
proto6_array_root_music,8,18,1.000000,0.995000,0.985000,0.037039,2.000000
baseline_routeB_centerT_grid_music,9,-4,0.000000,0.000000,0.000000,0.000000,1.000000
proto6_array_root_music,9,-4,0.845000,0.000000,0.000000,28.221474,1.690000
baseline_routeB_centerT_grid_music,9,18,0.435000,0.430000,0.365000,0.052923,1.435000
proto6_array_root_music,9,18,1.000000,0.900000,0.770000,0.054900,2.000000
baseline_routeB_centerT_grid_music,9,22,1.000000,1.000000,0.995000,0.029955,2.000000
proto6_array_root_music,9,22,1.000000,1.000000,0.990000,0.026740,2.000000
baseline_routeB_centerT_grid_music,10,-4,0.000000,0.000000,0.000000,0.000000,1.000000
proto6_array_root_music,10,-4,0.845000,0.000000,0.000000,27.499208,1.690000
baseline_routeB_centerT_grid_music,10,22,0.690000,0.690000,0.595000,0.039809,1.690000
proto6_array_root_music,10,22,1.000000,0.995000,0.880000,0.039438,2.000000
baseline_routeB_centerT_grid_music,10,24,0.935000,0.935000,0.910000,0.030556,1.935000
proto6_array_root_music,10,24,1.000000,1.000000,0.995000,0.027276,2.000000
