route_name,sep_factor,snr_db,raw_success_rate,tol_success_rate_abs01,tol_success_rate_rel025,rmse_deg,mean_num_peaks
baseline_routeB_centerT_grid_music,7,14,0.835000,0.820000,0.820000,0.052671,1.835000
proto6_array_root_music,7,14,1.000000,0.990000,0.990000,0.046660,2.000000
proto6_beamspace_root_music,7,14,1.000000,0.990000,0.990000,0.045904,2.000000
proto9_subspace_relax_root_music,7,14,1.000000,0.995000,0.995000,0.045822,2.000000
baseline_routeB_centerT_grid_music,7,16,1.000000,1.000000,1.000000,0.037172,2.000000
proto6_array_root_music,7,16,1.000000,1.000000,1.000000,0.033058,2.000000
proto6_beamspace_root_music,7,16,1.000000,1.000000,1.000000,0.032793,2.000000
proto9_subspace_relax_root_music,7,16,1.000000,0.995000,0.995000,0.032678,2.000000
baseline_routeB_centerT_grid_music,8,14,0.230000,0.215000,0.195000,0.060027,1.230000
proto6_array_root_music,8,14,1.000000,0.605000,0.490000,0.085451,2.000000
proto6_beamspace_root_music,8,14,1.000000,0.630000,0.535000,0.083094,2.000000
proto9_subspace_relax_root_music,8,14,1.000000,0.610000,0.510000,0.085255,2.000000
baseline_routeB_centerT_grid_music,8,16,0.640000,0.595000,0.550000,0.055909,1.640000
proto6_array_root_music,8,16,1.000000,0.935000,0.855000,0.053590,2.000000
proto6_beamspace_root_music,8,16,1.000000,0.945000,0.865000,0.052453,2.000000
proto9_subspace_relax_root_music,8,16,1.000000,0.925000,0.865000,0.053186,2.000000
baseline_routeB_centerT_grid_music,8,18,0.935000,0.935000,0.925000,0.041552,1.935000
proto6_array_root_music,8,18,1.000000,0.990000,0.980000,0.036115,2.000000
proto6_beamspace_root_music,8,18,1.000000,0.990000,0.980000,0.035669,2.000000
proto9_subspace_relax_root_music,8,18,1.000000,0.995000,0.980000,0.035625,2.000000
baseline_routeB_centerT_grid_music,9,18,0.440000,0.435000,0.400000,0.053043,1.440000
proto6_array_root_music,9,18,1.000000,0.890000,0.715000,0.056701,2.000000
proto6_beamspace_root_music,9,18,1.000000,0.895000,0.730000,0.055426,2.000000
proto9_subspace_relax_root_music,9,18,1.000000,0.890000,0.720000,0.055887,2.000000
baseline_routeB_centerT_grid_music,9,20,0.860000,0.860000,0.830000,0.042740,1.860000
proto6_array_root_music,9,20,1.000000,0.990000,0.960000,0.037643,2.000000
proto6_beamspace_root_music,9,20,1.000000,0.990000,0.960000,0.037015,2.000000
proto9_subspace_relax_root_music,9,20,1.000000,0.990000,0.960000,0.037305,2.000000
baseline_routeB_centerT_grid_music,9,22,0.995000,0.995000,0.985000,0.031993,1.995000
proto6_array_root_music,9,22,1.000000,1.000000,1.000000,0.027176,2.000000
proto6_beamspace_root_music,9,22,1.000000,1.000000,1.000000,0.026922,2.000000
proto9_subspace_relax_root_music,9,22,1.000000,1.000000,1.000000,0.027276,2.000000
baseline_routeB_centerT_grid_music,10,20,0.305000,0.305000,0.240000,0.046448,1.305000
proto6_array_root_music,10,20,1.000000,0.875000,0.590000,0.057730,2.000000
proto6_beamspace_root_music,10,20,1.000000,0.890000,0.645000,0.055871,2.000000
proto9_subspace_relax_root_music,10,20,1.000000,0.880000,0.590000,0.057286,2.000000
baseline_routeB_centerT_grid_music,10,22,0.740000,0.740000,0.685000,0.037722,1.740000
proto6_array_root_music,10,22,1.000000,1.000000,0.940000,0.035152,2.000000
proto6_beamspace_root_music,10,22,1.000000,1.000000,0.950000,0.034416,2.000000
proto9_subspace_relax_root_music,10,22,1.000000,0.995000,0.935000,0.035331,2.000000
baseline_routeB_centerT_grid_music,10,24,0.960000,0.960000,0.950000,0.031660,1.960000
proto6_array_root_music,10,24,1.000000,1.000000,0.995000,0.027468,2.000000
proto6_beamspace_root_music,10,24,1.000000,1.000000,1.000000,0.027144,2.000000
proto9_subspace_relax_root_music,10,24,1.000000,1.000000,0.995000,0.027297,2.000000
