route_name,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_count,tol_success_count,tol_success_count_rel,raw_success_rate,tol_success_rate,tol_success_rate_rel,rmse_deg,rmse_valid_count,mean_num_peaks,snr90_db,snr90_rel_db,lambda2_over_noise_array,lambda2_over_noise_beam,root_dist_array,root_dist_beam,mean_outer_iter,init_failed_rate,guard_applied_rate,mean_final_residual_power
baseline_routeB_centerT_grid_music,7,0.400000,12.800000,13.200000,14,167,164,164,0.835000,0.820000,0.820000,0.052671,167,1.835000,16.000000,16.000000,3.023100,3.171257,0.004268,0.004066,4.185000,0.000000,0.000000,1.386448e-01
baseline_routeB_centerT_grid_music,7,0.400000,12.800000,13.200000,16,200,200,200,1.000000,1.000000,1.000000,0.037172,200,2.000000,16.000000,16.000000,4.318398,4.527073,0.003177,0.003026,3.550000,0.000000,0.000000,8.733366e-02
baseline_routeB_centerT_grid_music,7,0.400000,12.800000,13.200000,18,200,200,200,1.000000,1.000000,1.000000,0.027839,200,2.000000,16.000000,16.000000,6.347865,6.656608,0.002427,0.002321,2.745000,0.000000,0.000000,5.515926e-02
baseline_routeB_centerT_grid_music,7,0.400000,12.800000,13.200000,20,200,200,200,1.000000,1.000000,1.000000,0.020094,200,2.000000,16.000000,16.000000,9.599292,10.064481,0.001909,0.001829,1.835000,0.000000,0.000000,3.478032e-02
baseline_routeB_centerT_grid_music,7,0.400000,12.800000,13.200000,22,200,200,200,1.000000,1.000000,1.000000,0.015516,200,2.000000,16.000000,16.000000,14.689307,15.395916,0.001438,0.001376,1.280000,0.000000,0.000000,2.196835e-02
baseline_routeB_centerT_grid_music,7,0.400000,12.800000,13.200000,24,200,200,200,1.000000,1.000000,1.000000,0.012942,200,2.000000,16.000000,16.000000,22.774676,23.890662,0.001179,0.001132,1.065000,0.000000,0.000000,1.385658e-02
baseline_routeB_centerT_grid_music,7,0.400000,12.800000,13.200000,26,200,200,200,1.000000,1.000000,1.000000,0.009862,200,2.000000,16.000000,16.000000,35.591054,37.337826,0.000935,0.000898,1.025000,0.000000,0.000000,8.745676e-03
baseline_routeB_centerT_grid_music,7,0.400000,12.800000,13.200000,28,200,200,200,1.000000,1.000000,1.000000,0.007842,200,2.000000,16.000000,16.000000,56.036505,58.773759,0.000738,0.000710,1.000000,0.000000,0.000000,5.513847e-03
baseline_routeB_centerT_grid_music,8,0.350000,12.825000,13.175000,14,46,43,39,0.230000,0.215000,0.195000,0.060027,46,1.230000,18.000000,18.000000,2.117137,2.220259,0.006061,0.005755,4.690000,0.000000,0.005000,1.421075e-01
baseline_routeB_centerT_grid_music,8,0.350000,12.825000,13.175000,16,128,119,110,0.640000,0.595000,0.550000,0.055909,128,1.640000,18.000000,18.000000,2.838278,2.973603,0.004448,0.004231,3.830000,0.000000,0.000000,8.962504e-02
baseline_routeB_centerT_grid_music,8,0.350000,12.825000,13.175000,18,187,187,185,0.935000,0.935000,0.925000,0.041552,187,1.935000,18.000000,18.000000,4.013533,4.206629,0.003365,0.003223,2.930000,0.000000,0.000000,5.654481e-02
baseline_routeB_centerT_grid_music,8,0.350000,12.825000,13.175000,20,200,200,200,1.000000,1.000000,1.000000,0.029343,200,2.000000,18.000000,18.000000,5.890001,6.177992,0.002524,0.002413,2.125000,0.000000,0.000000,3.567385e-02
baseline_routeB_centerT_grid_music,8,0.350000,12.825000,13.175000,22,200,200,200,1.000000,1.000000,1.000000,0.021633,200,2.000000,18.000000,18.000000,8.848403,9.273388,0.002006,0.001923,1.500000,0.000000,0.000000,2.251369e-02
baseline_routeB_centerT_grid_music,8,0.350000,12.825000,13.175000,24,200,200,200,1.000000,1.000000,1.000000,0.017059,200,2.000000,18.000000,18.000000,13.523446,14.167943,0.001577,0.001513,1.305000,0.000000,0.000000,1.420577e-02
baseline_routeB_centerT_grid_music,8,0.350000,12.825000,13.175000,26,200,200,200,1.000000,1.000000,1.000000,0.013910,200,2.000000,18.000000,18.000000,20.912273,21.915454,0.001227,0.001176,1.000000,0.000000,0.000000,8.963899e-03
baseline_routeB_centerT_grid_music,8,0.350000,12.825000,13.175000,28,200,200,200,1.000000,1.000000,1.000000,0.010100,200,2.000000,18.000000,18.000000,32.582813,34.134160,0.000945,0.000907,1.025000,0.000000,0.000000,5.662796e-03
baseline_routeB_centerT_grid_music,9,0.311111,12.844444,13.155556,14,1,1,0,0.005000,0.005000,0.000000,0.071703,1,1.005000,22.000000,22.000000,1.636652,1.714812,0.009022,0.008565,4.305000,0.000000,0.115000,1.445371e-01
baseline_routeB_centerT_grid_music,9,0.311111,12.844444,13.155556,16,13,13,10,0.065000,0.065000,0.050000,0.053096,13,1.065000,22.000000,22.000000,2.099700,2.200746,0.006354,0.006063,4.060000,0.000000,0.045000,9.124985e-02
