route_name,sep_factor,snr_db,raw_success_rate,tol_success_rate_abs01,tol_success_rate_rel025,rmse_deg,mean_num_peaks
baseline_routeB_centerT_grid_music,7,14,0.835000,0.820000,0.820000,0.052449,1.835000
proto4e_fft_piecewise_grid_music,7,14,0.580000,0.565000,0.565000,0.052000,1.465000
proto6_array_root_music,7,14,1.000000,0.995000,0.995000,0.046358,2.000000
proto7_toeplitz_array_root_music,7,14,1.000000,0.000000,0.000000,0.156679,2.000000
proto7_toeplitz_beamspace_root_music,7,14,1.000000,0.000000,0.000000,0.156669,2.000000
baseline_routeB_centerT_grid_music,7,16,1.000000,1.000000,1.000000,0.037111,2.000000
proto4e_fft_piecewise_grid_music,7,16,0.875000,0.870000,0.870000,0.037469,1.815000
proto6_array_root_music,7,16,1.000000,1.000000,1.000000,0.033190,2.000000
proto7_toeplitz_array_root_music,7,16,1.000000,0.000000,0.000000,0.164167,2.000000
proto7_toeplitz_beamspace_root_music,7,16,1.000000,0.000000,0.000000,0.164164,2.000000
baseline_routeB_centerT_grid_music,8,14,0.225000,0.210000,0.190000,0.060263,1.225000
proto4e_fft_piecewise_grid_music,8,14,0.150000,0.135000,0.125000,0.061699,1.025000
proto6_array_root_music,8,14,1.000000,0.605000,0.490000,0.085537,2.000000
proto7_toeplitz_array_root_music,8,14,1.000000,0.000000,0.000000,0.139673,2.000000
proto7_toeplitz_beamspace_root_music,8,14,1.000000,0.000000,0.000000,0.139667,2.000000
baseline_routeB_centerT_grid_music,8,16,0.640000,0.595000,0.550000,0.056055,1.640000
proto4e_fft_piecewise_grid_music,8,16,0.575000,0.535000,0.490000,0.056035,1.535000
proto6_array_root_music,8,16,1.000000,0.935000,0.855000,0.053672,2.000000
proto7_toeplitz_array_root_music,8,16,1.000000,0.000000,0.000000,0.142521,2.000000
proto7_toeplitz_beamspace_root_music,8,16,1.000000,0.000000,0.000000,0.142519,2.000000
baseline_routeB_centerT_grid_music,8,18,0.930000,0.930000,0.920000,0.041299,1.930000
proto4e_fft_piecewise_grid_music,8,18,0.930000,0.930000,0.910000,0.041183,1.930000
proto6_array_root_music,8,18,1.000000,0.990000,0.980000,0.036201,2.000000
proto7_toeplitz_array_root_music,8,18,1.000000,0.000000,0.000000,0.148378,2.000000
proto7_toeplitz_beamspace_root_music,8,18,1.000000,0.000000,0.000000,0.148377,2.000000
baseline_routeB_centerT_grid_music,9,18,0.435000,0.430000,0.395000,0.052867,1.435000
proto4e_fft_piecewise_grid_music,9,18,0.460000,0.440000,0.380000,0.053964,1.460000
proto6_array_root_music,9,18,1.000000,0.890000,0.720000,0.056483,2.000000
proto7_toeplitz_array_root_music,9,18,1.000000,0.000000,0.000000,0.127446,2.000000
proto7_toeplitz_beamspace_root_music,9,18,1.000000,0.000000,0.000000,0.127445,2.000000
baseline_routeB_centerT_grid_music,9,20,0.850000,0.850000,0.820000,0.042900,1.850000
proto4e_fft_piecewise_grid_music,9,20,0.845000,0.845000,0.805000,0.043079,1.845000
proto6_array_root_music,9,20,1.000000,0.990000,0.960000,0.037679,2.000000
proto7_toeplitz_array_root_music,9,20,1.000000,0.000000,0.000000,0.129576,2.000000
proto7_toeplitz_beamspace_root_music,9,20,1.000000,0.000000,0.000000,0.129575,2.000000
baseline_routeB_centerT_grid_music,9,22,0.995000,0.995000,0.990000,0.031602,1.995000
proto4e_fft_piecewise_grid_music,9,22,0.995000,0.995000,0.990000,0.031909,1.995000
proto6_array_root_music,9,22,1.000000,1.000000,1.000000,0.027279,2.000000
proto7_toeplitz_array_root_music,9,22,1.000000,0.000000,0.000000,0.135036,2.000000
proto7_toeplitz_beamspace_root_music,9,22,1.000000,0.000000,0.000000,0.135036,2.000000
baseline_routeB_centerT_grid_music,10,20,0.310000,0.310000,0.240000,0.046429,1.310000
proto4e_fft_piecewise_grid_music,10,20,0.310000,0.310000,0.260000,0.046143,1.305000
proto6_array_root_music,10,20,1.000000,0.880000,0.590000,0.057084,2.000000
proto7_toeplitz_array_root_music,10,20,1.000000,0.000000,0.000000,0.115399,2.000000
proto7_toeplitz_beamspace_root_music,10,20,1.000000,0.000000,0.000000,0.115399,2.000000
baseline_routeB_centerT_grid_music,10,22,0.745000,0.745000,0.690000,0.037977,1.745000
proto4e_fft_piecewise_grid_music,10,22,0.735000,0.735000,0.710000,0.037475,1.735000
proto6_array_root_music,10,22,1.000000,1.000000,0.940000,0.035299,2.000000
proto7_toeplitz_array_root_music,10,22,1.000000,0.000000,0.000000,0.115228,2.000000
proto7_toeplitz_beamspace_root_music,10,22,1.000000,0.000000,0.000000,0.115228,2.000000
baseline_routeB_centerT_grid_music,10,24,0.960000,0.960000,0.950000,0.031441,1.960000
proto4e_fft_piecewise_grid_music,10,24,0.955000,0.955000,0.955000,0.030971,1.955000
proto6_array_root_music,10,24,1.000000,1.000000,0.995000,0.027270,2.000000
proto7_toeplitz_array_root_music,10,24,1.000000,0.000000,0.000000,0.121637,2.000000
proto7_toeplitz_beamspace_root_music,10,24,1.000000,0.000000,0.000000,0.121637,2.000000
