route_name,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_count,tol_success_count,tol_success_count_rel,raw_success_rate,tol_success_rate,tol_success_rate_rel,rmse_deg,rmse_valid_count,mean_num_peaks,snr90_db,snr90_rel_db,mean_fft_center_error_deg,std_fft_center_error_deg,mean_fwhm_fft_deg,std_fwhm_fft_deg,mean_raw_search_ratio_4e,mean_piecewise_search_ratio_4e,mean_piecewise_span_ratio_4e,mean_theta_search_4e_deg,mean_routeB_beam_span_4e_deg,lambda2_over_noise_array,root_dist_array_mean,root_dist_beam_mean,lambda2_over_noise_pre_tp,lambda2_over_noise_post_tp,toeplitz_residual_norm
baseline_routeB_centerT_grid_music,7,0.400000,12.800000,13.200000,14,167,164,164,0.835000,0.820000,0.820000,0.052449,167,1.835000,16.000000,16.000000,-2.898960,24.353150,2.301557,0.733353,1.726168,1.262087,1.220018,2.019340,2.928043,3.022733,0.004277,0.006737,3.022733,9.947375
1.055566e-02,baseline_routeB_centerT_grid_music,7,0.400000,12.800000,13.200000,16,200,200,200,1.000000,1.000000,1.000000,0.037111,200,2.000000,16.000000,16.000000,-1.915773,14.930052,2.149299,0.524678,1.611974,1.244563,1.203077,1.991300,2.887385,4.316900,0.003179,0.006752,4.316900,15.638069
1.054539e-02,baseline_routeB_centerT_grid_music,7,0.400000,12.800000,13.200000,18,200,200,200,1.000000,1.000000,1.000000,0.027834,200,2.000000,16.000000,16.000000,-0.349113,4.358756,1.979881,0.210562,1.484910,1.224298,1.183488,1.958877,2.840371,6.346290,0.002428,0.006678,6.346290,24.443078
1.038771e-02,baseline_routeB_centerT_grid_music,7,0.400000,12.800000,13.200000,20,200,200,200,1.000000,1.000000,1.000000,0.020050,200,2.000000,16.000000,16.000000,-0.004748,0.188028,1.975659,0.161659,1.481744,1.225095,1.184258,1.960151,2.842220,9.594657,0.001903,0.006665,9.594657,38.703488
1.026353e-02,baseline_routeB_centerT_grid_music,7,0.400000,12.800000,13.200000,22,200,200,200,1.000000,1.000000,1.000000,0.015572,200,2.000000,16.000000,16.000000,0.007268,0.139308,1.961941,0.119489,1.471456,1.223317,1.182539,1.957307,2.838095,14.685249,0.001443,0.006710,14.685249,62.377950
1.022242e-02,baseline_routeB_centerT_grid_music,7,0.400000,12.800000,13.200000,24,200,200,200,1.000000,1.000000,1.000000,0.012903,200,2.000000,16.000000,16.000000,-0.013281,0.106083,1.955207,0.081686,1.466405,1.223204,1.182431,1.957127,2.837834,22.770779,0.001189,0.006649,22.770779,101.827301
1.019499e-02,baseline_routeB_centerT_grid_music,7,0.400000,12.800000,13.200000,26,200,200,200,1.000000,1.000000,1.000000,0.009862,200,2.000000,16.000000,16.000000,-0.001069,0.091141,1.937243,0.069607,1.452932,1.220551,1.179866,1.952881,2.831678,35.598233,0.000936,0.006706,35.598233,171.421368
1.018951e-02,baseline_routeB_centerT_grid_music,7,0.400000,12.800000,13.200000,28,200,200,200,1.000000,1.000000,1.000000,0.007778,200,2.000000,16.000000,16.000000,0.000451,0.070622,1.939976,0.053581,1.454982,1.220996,1.180297,1.953594,2.832712,56.034755,0.000737,0.006681,56.034755,299.410838
1.016645e-02,baseline_routeB_centerT_grid_music,8,0.350000,12.825000,13.175000,14,45,42,38,0.225000,0.210000,0.190000,0.060263,45,1.225000,18.000000,18.000000,-3.590133,19.628484,2.273368,0.690103,1.948601,1.303299,1.259856,1.824619,2.645697,2.117458,0.006093,0.007465,2.117458,7.557193
8.587005e-03,baseline_routeB_centerT_grid_music,8,0.350000,12.825000,13.175000,16,128,119,110,0.640000,0.595000,0.550000,0.056055,128,1.640000,18.000000,18.000000,-1.228579,12.914779,2.124488,0.647965,1.820990,1.282807,1.240047,1.795930,2.604099,2.838906,0.004440,0.007381,2.838906,11.475043
