route_name,sep_factor,snr_db,raw_success_rate,tol_success_rate_abs01,tol_success_rate_rel025,rmse_deg,mean_num_peaks
baseline_routeB_centerT_grid_music,7,14,0.835000,0.820000,0.820000,0.052306,1.835000
proto6_array_root_music,7,14,1.000000,0.995000,0.995000,0.046205,2.000000
proto6_beamspace_root_music,7,14,1.000000,0.995000,0.995000,0.045439,2.000000
proto8_unitary_array_root_music,7,14,1.000000,0.995000,0.995000,0.046205,2.000000
proto8_unitary_beamspace_root_music,7,14,1.000000,0.000000,0.000000,64.485606,2.000000
baseline_routeB_centerT_grid_music,7,16,1.000000,1.000000,1.000000,0.036943,2.000000
proto6_array_root_music,7,16,1.000000,1.000000,1.000000,0.032998,2.000000
proto6_beamspace_root_music,7,16,1.000000,1.000000,1.000000,0.032736,2.000000
proto8_unitary_array_root_music,7,16,1.000000,1.000000,1.000000,0.032998,2.000000
proto8_unitary_beamspace_root_music,7,16,1.000000,0.000000,0.000000,64.485523,2.000000
baseline_routeB_centerT_grid_music,8,14,0.225000,0.210000,0.190000,0.060060,1.225000
proto6_array_root_music,8,14,1.000000,0.605000,0.490000,0.085482,2.000000
proto6_beamspace_root_music,8,14,1.000000,0.630000,0.535000,0.083101,2.000000
proto8_unitary_array_root_music,8,14,1.000000,0.605000,0.490000,0.085482,2.000000
proto8_unitary_beamspace_root_music,8,14,1.000000,0.000000,0.000000,31.579256,2.000000
baseline_routeB_centerT_grid_music,8,16,0.640000,0.595000,0.550000,0.055853,1.640000
proto6_array_root_music,8,16,1.000000,0.935000,0.855000,0.053648,2.000000
proto6_beamspace_root_music,8,16,1.000000,0.945000,0.865000,0.052519,2.000000
proto8_unitary_array_root_music,8,16,1.000000,0.935000,0.855000,0.053648,2.000000
proto8_unitary_beamspace_root_music,8,16,1.000000,0.000000,0.000000,31.579268,2.000000
baseline_routeB_centerT_grid_music,8,18,0.930000,0.930000,0.920000,0.041559,1.930000
proto6_array_root_music,8,18,1.000000,0.990000,0.980000,0.036353,2.000000
proto6_beamspace_root_music,8,18,1.000000,0.990000,0.980000,0.035905,2.000000
proto8_unitary_array_root_music,8,18,1.000000,0.990000,0.980000,0.036353,2.000000
proto8_unitary_beamspace_root_music,8,18,1.000000,0.000000,0.000000,31.579278,2.000000
baseline_routeB_centerT_grid_music,9,18,0.445000,0.440000,0.405000,0.053021,1.445000
proto6_array_root_music,9,18,1.000000,0.890000,0.715000,0.056586,2.000000
proto6_beamspace_root_music,9,18,1.000000,0.895000,0.730000,0.055326,2.000000
proto8_unitary_array_root_music,9,18,1.000000,0.890000,0.715000,0.056586,2.000000
proto8_unitary_beamspace_root_music,9,18,1.000000,0.000000,0.000000,25.168339,2.000000
baseline_routeB_centerT_grid_music,9,20,0.855000,0.855000,0.825000,0.042838,1.855000
proto6_array_root_music,9,20,1.000000,0.990000,0.960000,0.037769,2.000000
proto6_beamspace_root_music,9,20,1.000000,0.990000,0.960000,0.037141,2.000000
proto8_unitary_array_root_music,9,20,1.000000,0.990000,0.960000,0.037769,2.000000
proto8_unitary_beamspace_root_music,9,20,1.000000,0.000000,0.000000,25.168311,2.000000
baseline_routeB_centerT_grid_music,9,22,0.995000,0.995000,0.985000,0.031963,1.995000
proto6_array_root_music,9,22,1.000000,1.000000,1.000000,0.027196,2.000000
proto6_beamspace_root_music,9,22,1.000000,1.000000,1.000000,0.026942,2.000000
proto8_unitary_array_root_music,9,22,1.000000,1.000000,1.000000,0.027196,2.000000
proto8_unitary_beamspace_root_music,9,22,1.000000,0.000000,0.000000,25.168330,2.000000
baseline_routeB_centerT_grid_music,10,20,0.310000,0.310000,0.240000,0.046507,1.310000
proto6_array_root_music,10,20,1.000000,0.880000,0.595000,0.057030,2.000000
proto6_beamspace_root_music,10,20,1.000000,0.895000,0.650000,0.055150,2.000000
proto8_unitary_array_root_music,10,20,1.000000,0.880000,0.595000,0.057030,2.000000
proto8_unitary_beamspace_root_music,10,20,0.000000,0.000000,0.000000,0.000000,0.000000
baseline_routeB_centerT_grid_music,10,22,0.740000,0.740000,0.685000,0.037816,1.740000
proto6_array_root_music,10,22,1.000000,1.000000,0.940000,0.035287,2.000000
proto6_beamspace_root_music,10,22,1.000000,1.000000,0.950000,0.034554,2.000000
proto8_unitary_array_root_music,10,22,1.000000,1.000000,0.940000,0.035287,2.000000
proto8_unitary_beamspace_root_music,10,22,0.000000,0.000000,0.000000,0.000000,0.000000
baseline_routeB_centerT_grid_music,10,24,0.960000,0.960000,0.950000,0.031610,1.960000
proto6_array_root_music,10,24,1.000000,1.000000,0.995000,0.027425,2.000000
proto6_beamspace_root_music,10,24,1.000000,1.000000,1.000000,0.027099,2.000000
proto8_unitary_array_root_music,10,24,1.000000,1.000000,0.995000,0.027425,2.000000
proto8_unitary_beamspace_root_music,10,24,0.000000,0.000000,0.000000,0.000000,0.000000
