keypoint,value,note
total_trials,1140,diagnostic trial rows
success_rate,0,step87_reference
low_confidence_rate,1,step87_reference
boundary_unreliable_rate,0.13509,step87_reference
false_high_rate,0,step87_reference
rank1_truth_top1_rate,0.59825,truth-only diagnostic
rank1_truth_top3_rate,0.70439,truth-only diagnostic
rank1_truth_top5_rate,0.72719,truth-only diagnostic
refocus_truth_top1_rate,0.59825,truth-only diagnostic
refocus_truth_top3_rate,0.68684,truth-only diagnostic
refocus_truth_top5_rate,0.70702,truth-only diagnostic
rank1_correct_but_rejected_rate,0.70439,truth-only diagnostic
refocus_correct_but_rejected_rate,0.68684,truth-only diagnostic
common_el_proxy_pass_rate,0,route gate
rank1_route_reliable_rate,0.91491,route gate
main_blocker_type,rank1_gate_too_strict_or_common_el_proxy_mismatch,rule-based blocker classification
