trial_index,scenario_name,SNR_dB,backend_light_status,backend_ref_status,backend_light_route,backend_ref_route,backend_light_confidence,backend_ref_confidence,backend_light_az_est,backend_ref_az_est,backend_light_el_est,backend_ref_el_est,backend_light_success,backend_ref_success,backend_light_false_high,backend_ref_false_high,backend_light_boundary_missed,backend_ref_boundary_missed,backend_light_reject_reason,backend_ref_reject_reason,backend_ref_blocker_if_any,runtime_light_sec,runtime_ref_sec
1,single_target_sanity,8,rejected,rejected,low_confidence,boundary_unreliable,low,low,[],[],[],[],0,0,0,0,0,0,single/merged MUSIC peak with rank-1-like covariance; music evidence is too weak for coherent pair fallback; not_evaluated,boundary_unreliable,none,0.2093728,6.4127267
2,single_target_sanity,8,rejected,rejected,low_confidence,boundary_unreliable,low,low,[],[],[],[],0,0,0,0,0,0,single/merged MUSIC peak with rank-1-like covariance; music evidence is too weak for coherent pair fallback; not_evaluated,boundary_unreliable,none,0.0285248,0.2768396
3,single_target_sanity,8,rejected,rejected,low_confidence,low_confidence,low,low,[],[],[],[],0,0,0,0,0,0,single/merged MUSIC peak with rank-1-like covariance; music evidence is too weak for coherent pair fallback; not_evaluated,no_reliable_observable_route,none,0.0324956,0.2855148
4,single_target_sanity,8,rejected,rejected,low_confidence,low_confidence,low,low,[],[],[],[],0,0,0,0,0,0,single/merged MUSIC peak with rank-1-like covariance; music evidence is too weak for coherent pair fallback; not_evaluated,no_reliable_observable_route,none,0.0152895,0.26273
5,single_target_sanity,8,rejected,rejected,low_confidence,low_confidence,low,low,[],[],[],[],0,0,0,0,0,0,single/merged MUSIC peak with rank-1-like covariance; music evidence is too weak for coherent pair fallback; not_evaluated,no_reliable_observable_route,none,0.028829,0.3034837
6,single_target_sanity,8,rejected,rejected,low_confidence,low_confidence,low,low,[],[],[],[],0,0,0,0,0,0,single/merged MUSIC peak with rank-1-like covariance; music evidence is too weak for coherent pair fallback; not_evaluated,no_reliable_observable_route,none,0.0144745,0.2565905
7,single_target_sanity,8,rejected,rejected,low_confidence,low_confidence,low,low,[],[],[],[],0,0,0,0,0,0,single/merged MUSIC peak with rank-1-like covariance; music evidence is too weak for coherent pair fallback; not_evaluated,no_reliable_observable_route,none,0.0130013,0.2624514
8,single_target_sanity,8,rejected,rejected,low_confidence,boundary_unreliable,low,low,[],[],[],[],0,0,0,0,0,0,single/merged MUSIC peak with rank-1-like covariance; music evidence is too weak for coherent pair fallback; not_evaluated,boundary_unreliable,none,0.0133944,0.2643468
9,single_target_sanity,8,rejected,rejected,low_confidence,low_confidence,low,low,[],[],[],[],0,0,0,0,0,0,single/merged MUSIC peak with rank-1-like covariance; music evidence is too weak for coherent pair fallback; not_evaluated,no_reliable_observable_route,none,0.0134501,0.2709946
10,single_target_sanity,8,rejected,rejected,low_confidence,low_confidence,low,low,[],[],[],[],0,0,0,0,0,0,single/merged MUSIC peak with rank-1-like covariance; music evidence is too weak for coherent pair fallback; not_evaluated,no_reliable_observable_route,none,0.0154067,0.2694586
11,close_coherent_pair,8,rejected,rejected,low_confidence,low_confidence,low,low,[],[],[],[],0,0,0,0,0,0,single/merged MUSIC peak with rank-1-like covariance; music evidence is too weak for coherent pair fallback; not_evaluated,no_reliable_observable_route,none,0.0144335,0.2671211
12,close_coherent_pair,8,rejected,rejected,low_confidence,low_confidence,low,low,[],[],[],[],0,0,0,0,0,0,single/merged MUSIC peak with rank-1-like covariance; music evidence is too weak for coherent pair fallback; not_evaluated,no_reliable_observable_route,none,0.0138145,0.2719522
