trial_index,scenario_name,SNR_dB,old_callable,old_route_name,new_route_name,old_status,new_status,old_confidence,new_confidence,old_az_est,new_az_est,old_el_est,new_el_est,route_agree,status_agree,confidence_agree,az_diff_mean,el_diff_mean,old_success,new_success,old_false_high,new_false_high,old_boundary_missed,new_boundary_missed
1,single_target_sanity,8,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
2,single_target_sanity,8,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
3,single_target_sanity,8,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
4,single_target_sanity,8,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
5,single_target_sanity,8,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
6,single_target_sanity,8,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
7,single_target_sanity,8,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
8,single_target_sanity,8,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
9,single_target_sanity,8,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
10,single_target_sanity,8,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
11,close_coherent_pair,8,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
12,close_coherent_pair,8,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
13,close_coherent_pair,8,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
14,close_coherent_pair,8,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
15,close_coherent_pair,8,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
16,close_coherent_pair,8,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
17,close_coherent_pair,8,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
18,close_coherent_pair,8,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
19,close_coherent_pair,8,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
20,close_coherent_pair,8,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
21,medium_beta_pair,8,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
22,medium_beta_pair,8,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
23,medium_beta_pair,8,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
24,medium_beta_pair,8,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
25,medium_beta_pair,8,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
