scenario_name,SNR_dB,trials,success_rate,safe_rate,false_high_rate,boundary_missed_rate,low_confidence_rate,out_of_scope_rate,mean_az_error_success,mean_el_error_success,median_runtime_sec,mean_runtime_sec,route_distribution,confidence_distribution
single_target_sanity,8,30,0,1,0,0,1,0,NaN,NaN,0.00981545,0.0114064233333333,low_confidence:1.000,low:1.000
close_coherent_pair,8,180,0,1,0,0,1,0,NaN,NaN,0.0093522,0.00948600222222222,low_confidence:1.000,low:1.000
medium_beta_pair,8,90,0,1,0,0,1,0,NaN,NaN,0.0093159,0.00943450777777778,low_confidence:1.000,low:1.000
weak_target_boundary,8,30,0,1,0,0,1,0,NaN,NaN,0.00980855,0.0100203933333333,low_confidence:1.000,low:1.000
near_antiphase_boundary,8,60,0,1,0,0,1,0,NaN,NaN,0.00917495,0.00933547666666667,boundary_unreliable:1.000,low:1.000
large_el_pair,8,120,0,0.633333333333333,0.366666666666667,0,0.633333333333333,0,NaN,NaN,0.13223285,0.133595328333333,local_2d_pair_refinement:0.367;low_confidence:0.633,medium:0.367;low:0.633
two_separated_coarse_peaks,8,30,1,1,0,0,1,1,NaN,NaN,0.0002157,0.000311673333333333,frontend_reject:1.000,low:1.000
coarseAz_bias_sweep,8,150,0,1,0,0,1,0,NaN,NaN,0.00972265,0.01003886,low_confidence:1.000,low:1.000
center_wraparound_case,8,60,0,1,0,0,1,0,NaN,NaN,0.00906675,0.00913207833333333,low_confidence:1.000,low:1.000
single_target_sanity,16,30,0,1,0,0,1,0,NaN,NaN,0.00933755,0.00938277,low_confidence:1.000,low:1.000
close_coherent_pair,16,180,0,1,0,0,1,0,NaN,NaN,0.00930705,0.00939535777777778,low_confidence:1.000,low:1.000
medium_beta_pair,16,90,0,1,0,0,1,0,NaN,NaN,0.00947585,0.00953867222222222,low_confidence:1.000,low:1.000
weak_target_boundary,16,30,0,1,0,0,1,0,NaN,NaN,0.01026605,0.0110215533333333,low_confidence:1.000,low:1.000
near_antiphase_boundary,16,60,0,1,0,0,1,0,NaN,NaN,0.00903705,0.00909779666666666,boundary_unreliable:1.000,low:1.000
large_el_pair,16,120,0,0.675,0.325,0,0.675,0,NaN,NaN,0.13574825,0.138517883333333,low_confidence:0.675;local_2d_pair_refinement:0.325,low:0.675;medium:0.325
two_separated_coarse_peaks,16,30,1,1,0,0,1,1,NaN,NaN,0.00018525,0.000189683333333333,frontend_reject:1.000,low:1.000
coarseAz_bias_sweep,16,150,0,1,0,0,1,0,NaN,NaN,0.0099761,0.0101884293333333,low_confidence:1.000,low:1.000
center_wraparound_case,16,60,0,1,0,0,1,0,NaN,NaN,0.00999025,0.0100720133333333,low_confidence:1.000,low:1.000
