method_name,method_type,B,beam_count,projection_loss,projected_energy_ratio,mean_corr,p90_corr,max_corr,cond_WHW,rank_W,effective_rank,selected_idx_text,note
regular_3dB_grid,regular,5,5,0.585366259097258,0.657346342710482,0.718290473444,0.85168239549616,0.852554134024027,3096.59954010266,5,1.71131853002022,[46 58 59 60 72],"regular center-nearest subset from the compatible existing 2D beam pool"
greedy_projection,greedy_projection,5,5,0.587092635584815,0.655322237242076,0.218244487992586,0.322751279569712,0.323307676483951,6.80920479838333,5,4.15590934469975,[60 57 62 54 22],"greedy projection-loss selection"
greedy_lowcorr,greedy_lowcorr,5,5,0.891545496715419,0.205146627286456,0.254187716341376,0.359413746775773,0.369399751258863,2.11913854451967,5,4.85601863626913,[14 8 11 5 107],"greedy low-correlation selection"
greedy_combined,greedy_combined,5,5,0.628122614859027,0.605461980702658,0.229145888235483,0.235638224612542,0.236915646943025,4.52634973524694,5,4.48253811085773,[60 57 36 41 6],"greedy combined projection/correlation/condition selection"
svd_upper_bound,svd_upper_bound,5,5,0.386117719826538,0.850913106435955,0.215387936022498,0.351633563299475,0.375433877282508,1,5,5,[1 2 3 4 5],"non-engineering SVD information-retention upper bound"
random_pool_baseline,random_pool_baseline,5,5,0.711866683183891,0.493245825372765,0.225184796520289,0.369996698446003,0.374097978488954,4.83970967911871,5,4.38365909513927,[47 56 67 108 114],"random sanity baseline, representative repeat 3 of 3 by median cond_WHW"
regular_3dB_grid,regular,7,7,0.46781993154732,0.781144511647061,0.635124874608382,0.798623427095703,0.799958368755896,10978.0174051607,7,1.92089136990336,[45 46 47 58 59 60 72],"regular center-nearest subset from the compatible existing 2D beam pool"
greedy_projection,greedy_projection,7,7,0.509054385650586,0.740863632449904,0.217948853584781,0.307487245663082,0.308649162815983,10.8694989159433,7,5.14442823383061,[60 57 62 54 22 19 17],"greedy projection-loss selection"
greedy_lowcorr,greedy_lowcorr,7,7,0.879021821104546,0.227320638022048,0.258143559454305,0.312436390217654,0.31875125212908,57.2957076030831,7,5.63081692515189,[14 8 11 5 107 13 6],"greedy low-correlation selection"
greedy_combined,greedy_combined,7,7,0.55678569477829,0.689989690090257,0.23631945265696,0.252288639436324,0.253388567370866,8.32058176539474,7,5.73198264670986,[60 57 36 41 6 89 8],"greedy combined projection/correlation/condition selection"
svd_upper_bound,svd_upper_bound,7,7,0.222579850057025,0.950458210348592,0.208430519129603,0.309742054913945,0.331918419883933,1,7,7,[1 2 3 4 5 6 7],"non-engineering SVD information-retention upper bound"
random_pool_baseline,random_pool_baseline,7,7,0.639242471552522,0.591369062563423,0.470457488172869,0.641840497525085,0.665753211649833,64.9923434838232,7,4.15452249693349,[50 52 64 69 75 83 110],"random sanity baseline, representative repeat 1 of 3 by median cond_WHW"
regular_3dB_grid,regular,9,9,0.416905908172554,0.826189463730818,0.570339878094106,0.754308266633798,0.755709305565681,256705.411875064,9,2.08592950196637,[45 46 47 58 59 60 71 72 73],"regular center-nearest subset from the compatible existing 2D beam pool"
greedy_projection,greedy_projection,9,9,0.460204444553322,0.788211869213368,0.21370668969332,0.280041396541454,0.280048974968047,19.3498400235435,9,6.45583585185208,[60 57 62 54 22 19 17 113 110],"greedy projection-loss selection"
greedy_lowcorr,greedy_lowcorr,9,9,0.827687329440523,0.314933684683615,0.273469295681514,0.311106941810123,0.313763981303999,92.5431880963329,9,5.70455118837396,[14 8 11 5 107 13 6 1 24],"greedy low-correlation selection"
greedy_combined,greedy_combined,9,9,0.526167737478049,0.723147512037231,0.243033547406603,0.251417649394353,0.251544614610716,9.19378568099996,9,7.09478689747042,[60 57 36 41 6 89 8 81 26],"greedy combined projection/correlation/condition selection"
svd_upper_bound,svd_upper_bound,9,9,0.155262400405404,0.975893587020352,0.205644062962968,0.302021450150777,0.321197699026708,1,9,9,[1 2 3 4 5 6 7 8 9],"non-engineering SVD information-retention upper bound"
random_pool_baseline,random_pool_baseline,9,9,0.582039293699216,0.661230260590118,0.323714919877508,0.513638154704695,0.518039853044336,284.853660963192,9,5.91138228232745,[23 27 32 36 38 42 44 75 105],"random sanity baseline, representative repeat 2 of 3 by median cond_WHW"
regular_3dB_grid,regular,11,11,0.332606415746468,0.889372972204287,0.411983813576271,0.636237069527248,0.636298503166339,309811.948988333,11,2.49749647778768,[45 46 47 57 58 59 60 61 71 72 73],"regular center-nearest subset from the compatible existing 2D beam pool"
greedy_projection,greedy_projection,11,11,0.421511755522163,0.822327839956624,0.219887621266678,0.284307886401822,0.284817052893153,27.6483935163294,11,7.42938027558131,[60 57 62 54 22 19 17 113 110 37 94],"greedy projection-loss selection"
greedy_lowcorr,greedy_lowcorr,11,11,0.777828074233891,0.394983486933597,0.301985079548984,0.359357312057016,0.360887321152919,122.165729706716,11,6.74798875535928,[14 8 11 5 107 13 6 1 24 116 94],"greedy low-correlation selection"
greedy_combined,greedy_combined,11,11,0.501973743551175,0.748022360785219,0.243859309550282,0.254449488169885,0.254889909769914,20.0431918562385,11,8.08262784773132,[60 57 36 41 6 89 8 81 26 116 3],"greedy combined projection/correlation/condition selection"
svd_upper_bound,svd_upper_bound,11,11,0.079294949121875,0.993712311043759,0.203320699684998,0.301314117070441,0.325611894186397,1,11,11,[1 2 3 4 5 6 7 8 9 10 11],"non-engineering SVD information-retention upper bound"
random_pool_baseline,random_pool_baseline,11,11,0.549258671227802,0.698314912081069,0.279282254544544,0.534762528736657,0.547682657926179,395.428599314424,11,6.55189325937678,[20 26 45 51 63 64 81 99 110 113 116],"random sanity baseline, representative repeat 3 of 3 by median cond_WHW"
regular_3dB_grid,regular,15,15,0.279777845899341,0.921724356943925,0.24810069676716,0.480518720277407,0.482186089287841,47736627.5365346,15,2.92895688133611,[44 45 46 47 48 57 58 59 60 61 70 71 72 73 74],"regular center-nearest subset from the compatible existing 2D beam pool"
greedy_projection,greedy_projection,15,15,0.38938610783644,0.848378459023988,0.219359802667827,0.315852122920445,0.317279987330442,49.8880958985186,15,9.30382103306555,[60 57 62 54 22 19 17 113 110 37 94 90 27 115 92],"greedy projection-loss selection"
greedy_lowcorr,greedy_lowcorr,15,15,0.553880487805514,0.693216405228326,0.256848661884906,0.29246353755502,0.295881727633359,220.393275950759,15,7.60602409671187,[14 8 11 5 107 13 6 1 24 116 94 115 106 21 18],"greedy low-correlation selection"
greedy_combined,greedy_combined,15,15,0.328144616383204,0.89232111073872,0.242297872911306,0.26957819527444,0.270235756744828,554.376781392181,15,7.96185768876088,[60 57 36 41 6 89 8 81 26 116 3 11 42 19 35],"greedy combined projection/correlation/condition selection"
svd_upper_bound,svd_upper_bound,15,15,0.0302125469740836,0.999087202005339,0.202471229683183,0.300860858798856,0.324658967235481,1,15,15,[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15],"non-engineering SVD information-retention upper bound"
random_pool_baseline,random_pool_baseline,15,15,0.353595751567769,0.874970044473224,0.347873853085928,0.595259486690235,0.599499691537827,11057.5513357818,15,6.48112146065945,[6 9 17 19 34 45 46 72 84 87 88 90 97 106 115],"random sanity baseline, representative repeat 1 of 3 by median cond_WHW"
regular_3dB_grid,regular,19,19,0.165081618021651,0.972748059391354,0.301350275979385,0.538011680926032,0.540680667923086,74413190.9310754,19,3.12415595868618,[32 33 34 44 45 46 47 48 57 58 59 60 61 70 71 72 73 74 85],"regular center-nearest subset from the compatible existing 2D beam pool"
greedy_projection,greedy_projection,19,19,0.236453267612372,0.944089852235432,0.220715212558292,0.287935951083557,0.288139119734185,970.655840206093,19,9.48695519557531,[60 57 62 54 22 19 17 113 110 37 94 90 27 115 92 87 84 4 91],"greedy projection-loss selection"
greedy_lowcorr,greedy_lowcorr,19,19,0.471200068569132,0.777970495380445,0.255952773273782,0.359337743663498,0.369196685125847,327.914497818342,19,8.91320858518213,[14 8 11 5 107 13 6 1 24 116 94 115 106 21 18 26 102 105 112],"greedy low-correlation selection"
greedy_combined,greedy_combined,19,19,0.255804995526021,0.934563804263933,0.233195454854435,0.252335127745569,0.256715355415562,703.08421135379,19,10.0456259510676,[60 57 36 41 6 89 8 81 26 116 3 11 42 19 35 107 110 113 1],"greedy combined projection/correlation/condition selection"
svd_upper_bound,svd_upper_bound,19,19,0.0109186390913164,0.999880783320394,0.202385659824794,0.300971129565107,0.324973793812615,1,19,19,[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19],"non-engineering SVD information-retention upper bound"
random_pool_baseline,random_pool_baseline,19,19,0.26840782959811,0.927957237010432,0.246250846232375,0.448559043003017,0.452383703887639,6436.35198155326,19,8.31525340475469,[1 2 25 34 46 58 61 62 65 66 68 76 81 84 85 87 92 109 112],"random sanity baseline, representative repeat 1 of 3 by median cond_WHW"
regular_3dB_grid,regular,21,21,0.146184643067259,0.978630050131298,0.310041042384988,0.546480104099957,0.548412986235669,236992879.957515,21,3.212455040077,[32 33 34 44 45 46 47 48 57 58 59 60 61 70 71 72 73 74 84 85 86],"regular center-nearest subset from the compatible existing 2D beam pool"
greedy_projection,greedy_projection,21,21,0.218990392455522,0.952043208012177,0.218623707478129,0.301947090529656,0.302053481168083,1209.84678898446,21,9.91770371655866,[60 57 62 54 22 19 17 113 110 37 94 90 27 115 92 87 84 4 91 12 53],"greedy projection-loss selection"
greedy_lowcorr,greedy_lowcorr,21,21,0.449581645872331,0.797876343694726,0.247043646809277,0.290809989826784,0.306807167875802,965.10647591826,21,9.29955367010884,[14 8 11 5 107 13 6 1 24 116 94 115 106 21 18 26 102 105 112 79 15],"greedy low-correlation selection"
greedy_combined,greedy_combined,21,21,0.238090146265002,0.94331308225151,0.23300419190305,0.26529757131557,0.269814465376602,1000.50111953995,21,10.2369912093786,[60 57 36 41 6 89 8 81 26 116 3 11 42 19 35 107 110 113 1 103 117],"greedy combined projection/correlation/condition selection"
svd_upper_bound,svd_upper_bound,21,21,0.00528139684089562,0.999972106847409,0.202372069212461,0.300910215897456,0.324883225634586,1,21,21,[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21],"non-engineering SVD information-retention upper bound"
random_pool_baseline,random_pool_baseline,21,21,0.27165191972966,0.92620523450719,0.418982575502769,0.550200934034685,0.556127859633915,349029.671719053,21,8.07083971638775,[3 4 15 24 34 36 49 52 53 55 56 65 74 80 82 83 87 100 105 107 113],"random sanity baseline, representative repeat 3 of 3 by median cond_WHW"
regular_3dB_grid,regular,25,25,0.121341194434393,0.985276314533235,0.245612931194619,0.475787891617956,0.478189926094568,23364816165.5552,25,3.57800884758816,[31 32 33 34 35 44 45 46 47 48 57 58 59 60 61 70 71 72 73 74 83 84 85 86 87],"regular center-nearest subset from the compatible existing 2D beam pool"
greedy_projection,greedy_projection,25,25,0.204994372957222,0.957977307055875,0.219057134190131,0.304661367019706,0.304811593546393,2010.64284408374,25,10.4247715468929,[60 57 62 54 22 19 17 113 110 37 94 90 27 115 92 87 84 4 91 12 53 11 116 1 2],"greedy projection-loss selection"
greedy_lowcorr,greedy_lowcorr,25,25,0.388797249637357,0.848836698674427,0.237616497335062,0.26890532306435,0.275997786060456,4365.51951979457,25,10.3216027471827,[14 8 11 5 107 13 6 1 24 116 94 115 106 21 18 26 102 105 112 79 15 29 103 110 65],"greedy low-correlation selection"
greedy_combined,greedy_combined,25,25,0.214896060872821,0.953819683021345,0.23437193895026,0.250700558964873,0.253290059817721,4096.252116804,25,10.3153931441186,[60 57 36 41 6 89 8 81 26 116 3 11 42 19 35 107 110 113 1 103 117 112 17 12 15],"greedy combined projection/correlation/condition selection"
svd_upper_bound,svd_upper_bound,25,25,0.00276935816630376,0.999992330655347,0.202365578936277,0.300901390020173,0.324880982392894,1,25,25,[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25],"non-engineering SVD information-retention upper bound"
random_pool_baseline,random_pool_baseline,25,25,0.221983096922293,0.950723504680788,0.220345927155781,0.399113193206967,0.399985037483215,478477.834217931,25,8.29786399558612,[6 14 16 27 29 30 31 33 37 41 46 48 52 53 54 62 68 74 77 82 88 89 109 115 117],"random sanity baseline, representative repeat 3 of 3 by median cond_WHW"
regular_3dB_grid,regular,31,31,0.107129268308532,0.988523319871679,0.241371395440348,0.446551350847589,0.448849094042112,26073419198.594,31,4.20018576658204,[20 31 32 33 34 35 43 44 45 46 47 48 49 56 57 58 59 60 61 62 70 71 72 73 74 83 84 85 86 87 98],"regular center-nearest subset from the compatible existing 2D beam pool"
