trial_global_id,trial_id,seed,method_name,method_type,B,beam_count,scenario_name,rho,phase_deg,beta,az_sep_deg,el_sep_deg,snr_db,source_corr_empirical,az_hat_1,az_hat_2,el_hat_1,el_hat_2,az_true_1,az_true_2,el_true_1,el_true_2,raw_success,az_tol_success,el_pair_tol_success,joint_pair_tol_success,az_rmse_deg,el_rmse_deg,az_center_error_deg,az_sep_error_deg,el_center_error_deg,el_sep_error_deg,abs_el_sep_error_deg,estimated_el_sep_deg,true_el_sep_deg,false_el_split,boundary_hit,projection_loss,mean_corr,max_corr,cond_WHW,cond_best_GHG,max_score,num_pairs,tie_count,truth_manifold_corr,N_elem,L,phase_factor,phase_sign,az_bound_min,az_bound_max,el_bound_min,el_bound_max
1,1,20361618,regular_3dB_grid,regular,5,5,easy_noncoherent,0,0,1,1.27,0.67,30,0.0278255869881476,7.38,8.66,10.12,10.6,7.365,8.635,9.975,10.645,1,1,1,1,0.0206155281280884,0.10735455276792,0.0199999999999996,0.0100000000000007,0.0499999999999989,-0.190000000000001,0.190000000000001,0.48,0.670000000000002,0,0,0.585366259097258,0.718290473444,0.852554134024027,3096.59954010266,1.26738016150645,203119.007715014,65379,1,0.104333964822554,2080,64,2,1,6.5,9.5,8.8,11.2
2,2,20361619,regular_3dB_grid,regular,5,5,easy_noncoherent,0,0,1,1.27,0.67,30,0.181317329993755,7.38,8.66,10.12,10.6,7.365,8.635,9.975,10.645,1,1,1,1,0.0206155281280884,0.10735455276792,0.0199999999999996,0.0100000000000007,0.0499999999999989,-0.190000000000001,0.190000000000001,0.48,0.670000000000002,0,0,0.585366259097258,0.718290473444,0.852554134024027,3096.59954010266,1.26738016150645,199551.533432378,65379,1,0.104333964822554,2080,64,2,1,6.5,9.5,8.8,11.2
3,3,20361620,regular_3dB_grid,regular,5,5,easy_noncoherent,0,0,1,1.27,0.67,30,0.0579586870707111,7.38,8.66,10.12,10.6,7.365,8.635,9.975,10.645,1,1,1,1,0.0206155281280884,0.10735455276792,0.0199999999999996,0.0100000000000007,0.0499999999999989,-0.190000000000001,0.190000000000001,0.48,0.670000000000002,0,0,0.585366259097258,0.718290473444,0.852554134024027,3096.59954010266,1.26738016150645,202313.241835199,65379,1,0.104333964822554,2080,64,2,1,6.5,9.5,8.8,11.2
4,1,20362618,regular_3dB_grid,regular,5,5,strong_coherent,0.99,5,1,1.27,0.37,30,0.989820698800728,7.38,8.66,10.12,10.6,7.365,8.635,10.125,10.495,1,1,1,1,0.0206155281280884,0.0743303437365916,0.0199999999999996,0.0100000000000007,0.0499999999999989,0.109999999999999,0.109999999999999,0.48,0.370000000000001,0,0,0.585366259097258,0.718290473444,0.852554134024027,3096.59954010266,1.26738016150645,203084.391146017,65379,1,0.0642447309529186,2080,64,2,1,6.5,9.5,8.8,11.2
5,2,20362619,regular_3dB_grid,regular,5,5,strong_coherent,0.99,5,1,1.27,0.37,30,0.990040461306137,7.38,8.66,10.12,10.6,7.365,8.635,10.125,10.495,1,1,1,1,0.0206155281280884,0.0743303437365916,0.0199999999999996,0.0100000000000007,0.0499999999999989,0.109999999999999,0.109999999999999,0.48,0.370000000000001,0,0,0.585366259097258,0.718290473444,0.852554134024027,3096.59954010266,1.26738016150645,202788.311543199,65379,1,0.0642447309529186,2080,64,2,1,6.5,9.5,8.8,11.2
6,3,20362620,regular_3dB_grid,regular,5,5,strong_coherent,0.99,5,1,1.27,0.37,30,0.990108142000216,7.38,8.66,10.12,10.6,7.365,8.635,10.125,10.495,1,1,1,1,0.0206155281280884,0.0743303437365916,0.0199999999999996,0.0100000000000007,0.0499999999999989,0.109999999999999,0.109999999999999,0.48,0.370000000000001,0,0,0.585366259097258,0.718290473444,0.852554134024027,3096.59954010266,1.26738016150645,203241.53704971,65379,1,0.0642447309529186,2080,64,2,1,6.5,9.5,8.8,11.2
7,1,20363618,regular_3dB_grid,regular,5,5,hard_phase,0.99,150,1,0.83,0.37,30,0.989981473680079,7.7,8.26,10.12,10.36,7.585,8.415,10.125,10.495,1,0,1,0,0.136473440639561,0.0955248658727151,-0.0199999999999996,-0.269999999999998,-0.0700000000000021,-0.130000000000001,0.130000000000001,0.24,0.370000000000001,0,0,0.585366259097258,0.718290473444,0.852554134024027,3096.59954010266,5.47679629097969,139707.614862886,65379,1,0.394366270854209,2080,64,2,1,6.5,9.5,8.8,11.2
8,2,20363619,regular_3dB_grid,regular,5,5,hard_phase,0.99,150,1,0.83,0.37,30,0.990289746697873,7.7,8.26,10.12,10.36,7.585,8.415,10.125,10.495,1,0,1,0,0.136473440639561,0.0955248658727151,-0.0199999999999996,-0.269999999999998,-0.0700000000000021,-0.130000000000001,0.130000000000001,0.24,0.370000000000001,0,0,0.585366259097258,0.718290473444,0.852554134024027,3096.59954010266,5.47679629097969,139716.781709223,65379,1,0.394366270854209,2080,64,2,1,6.5,9.5,8.8,11.2
9,3,20363620,regular_3dB_grid,regular,5,5,hard_phase,0.99,150,1,0.83,0.37,30,0.99024575016346,7.7,8.26,10.12,10.36,7.585,8.415,10.125,10.495,1,0,1,0,0.136473440639561,0.0955248658727151,-0.0199999999999996,-0.269999999999998,-0.0700000000000021,-0.130000000000001,0.130000000000001,0.24,0.370000000000001,0,0,0.585366259097258,0.718290473444,0.852554134024027,3096.59954010266,5.47679629097969,139658.233360057,65379,1,0.394366270854209,2080,64,2,1,6.5,9.5,8.8,11.2
10,1,20364618,regular_3dB_grid,regular,5,5,weak_secondary,0.99,150,0.3,0.83,0.37,30,0.990022032331,7.62,8.26,10.12,10.36,7.585,8.415,10.125,10.495,1,0,1,0,0.11236102527122,0.0955248658727151,-0.0599999999999987,-0.189999999999998,-0.0700000000000021,-0.130000000000001,0.130000000000001,0.24,0.370000000000001,0,0,0.585366259097258,0.718290473444,0.852554134024027,3096.59954010266,4.1410391236551,101610.044900564,65379,1,0.394366270854209,2080,64,2,1,6.5,9.5,8.8,11.2
