method_name,method_type,B,beam_count,scenario_name,rho,phase_deg,beta,az_sep_deg,el_sep_deg,snr_db,raw_success_rate,az_tol_success_rate,el_pair_tol_success_rate,joint_success_rate,az_rmse_deg,el_rmse_deg,mean_abs_el_sep_error_deg,false_el_split_rate,boundary_hit_rate,projection_loss,mean_corr,max_corr,cond_WHW,cond_best_GHG,mean_num_pairs,mean_truth_manifold_corr,n_trials,overall_joint_success_rate,overall_az_rmse_deg,overall_el_rmse_deg,worst_case_success
greedy_combined_B15,greedy_combined,15,15,easy_noncoherent,0,0,1,1.27,0.67,30,1,1,1,1,0.0206155281280884,0.118004237212061,0.190000000000003,0,0,0.328144616383204,0.242297872911306,0.270235756744828,554.376781392182,1.30045245789117,65379,0.107876742889722,30,0.833333333333333,0.0592619130815387,0.0843444146979674,0.166666666666667
greedy_combined_B15,greedy_combined,15,15,hard_phase,0.99,150,1,0.83,0.37,30,1,0.166666666666667,1,0.166666666666667,0.119063804064161,0.0807268050680009,0.126666666666667,0,0,0.328144616383204,0.242297872911306,0.270235756744828,554.376781392182,4.0062978742049,65379,0.310427984129304,30,0.833333333333333,0.0592619130815387,0.0843444146979674,0.166666666666667
greedy_combined_B15,greedy_combined,15,15,low_snr_hard,1,150,0.3,0.83,0.37,20,1,1,1,1,0.0680073525436777,0.0743303437365916,0.109999999999999,0,0,0.328144616383204,0.242297872911306,0.270235756744828,554.376781392182,1.40299788196141,65379,0.310427984129304,30,0.833333333333333,0.0592619130815387,0.0843444146979674,0.166666666666667
greedy_combined_B15,greedy_combined,15,15,strong_coherent,0.99,5,1,1.27,0.37,30,1,1,1,1,0.0206155281280884,0.0743303437365916,0.109999999999999,0,0,0.328144616383204,0.242297872911306,0.270235756744828,554.376781392182,1.28942818555064,65379,0.127977644385882,30,0.833333333333333,0.0592619130815387,0.0843444146979674,0.166666666666667
greedy_combined_B15,greedy_combined,15,15,weak_secondary,0.99,150,0.3,0.83,0.37,30,1,1,1,1,0.0680073525436777,0.0743303437365916,0.109999999999999,0,0,0.328144616383204,0.242297872911306,0.270235756744828,554.376781392182,1.40299788196141,65379,0.310427984129304,30,0.833333333333333,0.0592619130815387,0.0843444146979674,0.166666666666667
greedy_combined_B25,greedy_combined,25,25,easy_noncoherent,0,0,1,1.27,0.67,30,1,1,1,1,0.0206155281280884,0.107354552767919,0.190000000000001,0,0,0.214896060872821,0.23437193895026,0.253290059817721,4096.252116804,1.29546514209133,65379,0.108486458680247,30,0.8,0.0627438403966186,0.0824703362623954,0
greedy_combined_B25,greedy_combined,25,25,hard_phase,0.99,150,1,0.83,0.37,30,1,0,1,0,0.13647344063956,0.0820060973342827,0.130000000000001,0,0,0.214896060872821,0.23437193895026,0.253290059817721,4096.252116804,4.46836212063732,65379,0.308597504854796,30,0.8,0.0627438403966186,0.0824703362623954,0
greedy_combined_B25,greedy_combined,25,25,low_snr_hard,1,150,0.3,0.83,0.37,20,1,1,1,1,0.0680073525436777,0.0743303437365916,0.109999999999999,0,0,0.214896060872821,0.23437193895026,0.253290059817721,4096.252116804,1.3749693811225,65379,0.308597504854796,30,0.8,0.0627438403966186,0.0824703362623954,0
greedy_combined_B25,greedy_combined,25,25,strong_coherent,0.99,5,1,1.27,0.37,30,1,1,1,1,0.0206155281280884,0.0743303437365916,0.109999999999999,0,0,0.214896060872821,0.23437193895026,0.253290059817721,4096.252116804,1.29546514209133,65379,0.128350724930469,30,0.8,0.0627438403966186,0.0824703362623954,0
greedy_combined_B25,greedy_combined,25,25,weak_secondary,0.99,150,0.3,0.83,0.37,30,1,1,1,1,0.0680073525436777,0.0743303437365916,0.109999999999999,0,0,0.214896060872821,0.23437193895026,0.253290059817721,4096.252116804,1.3749693811225,65379,0.308597504854796,30,0.8,0.0627438403966186,0.0824703362623954,0
