trial_global_id,trial_id,seed,method_name,method_type,B,beam_count,scenario_name,rho,phase_deg,beta,az_sep_deg,el_sep_deg,snr_db,source_corr_empirical,az_hat_1,az_hat_2,el_hat_1,el_hat_2,az_true_1,az_true_2,el_true_1,el_true_2,raw_success,az_tol_success,el_pair_tol_success,joint_pair_tol_success,az_rmse_deg,el_rmse_deg,az_center_error_deg,az_sep_error_deg,el_center_error_deg,el_sep_error_deg,abs_el_sep_error_deg,estimated_el_sep_deg,true_el_sep_deg,false_el_split,boundary_hit,projection_loss,mean_corr,max_corr,cond_WHW,cond_best_GHG,max_score,num_pairs,tie_count,truth_manifold_corr,N_elem,L,phase_factor,phase_sign,az_bound_min,az_bound_max,el_bound_min,el_bound_max
1,1,20361624,regular_B7,regular,7,7,easy_noncoherent,0,0,1,1.27,0.67,30,0.200992380682735,7.38,8.66,10,10.48,7.365,8.635,9.975,10.645,1,1,1,1,0.0206155281280884,0.118004237212061,0.0199999999999996,0.0100000000000007,-0.0700000000000021,-0.190000000000003,0.190000000000003,0.479999999999999,0.670000000000002,0,0,0.46781993154732,0.635124874608382,0.799958368755896,10978.0174051607,1.22896704909702,231605.395212855,65379,1,0.105861046300154,2080,64,2,1,6.5,9.5,8.8,11.2
2,2,20361625,regular_B7,regular,7,7,easy_noncoherent,0,0,1,1.27,0.67,30,0.1096559210967,7.38,8.66,10,10.48,7.365,8.635,9.975,10.645,1,1,1,1,0.0206155281280884,0.118004237212061,0.0199999999999996,0.0100000000000007,-0.0700000000000021,-0.190000000000003,0.190000000000003,0.479999999999999,0.670000000000002,0,0,0.46781993154732,0.635124874608382,0.799958368755896,10978.0174051607,1.22896704909702,228379.396751646,65379,1,0.105861046300154,2080,64,2,1,6.5,9.5,8.8,11.2
3,3,20361626,regular_B7,regular,7,7,easy_noncoherent,0,0,1,1.27,0.67,30,0.193592581882213,7.38,8.66,10,10.48,7.365,8.635,9.975,10.645,1,1,1,1,0.0206155281280884,0.118004237212061,0.0199999999999996,0.0100000000000007,-0.0700000000000021,-0.190000000000003,0.190000000000003,0.479999999999999,0.670000000000002,0,0,0.46781993154732,0.635124874608382,0.799958368755896,10978.0174051607,1.22896704909702,227473.12595557,65379,1,0.105861046300154,2080,64,2,1,6.5,9.5,8.8,11.2
4,4,20361627,regular_B7,regular,7,7,easy_noncoherent,0,0,1,1.27,0.67,30,0.0504283880714682,7.38,8.66,10,10.48,7.365,8.635,9.975,10.645,1,1,1,1,0.0206155281280884,0.118004237212061,0.0199999999999996,0.0100000000000007,-0.0700000000000021,-0.190000000000003,0.190000000000003,0.479999999999999,0.670000000000002,0,0,0.46781993154732,0.635124874608382,0.799958368755896,10978.0174051607,1.22896704909702,227487.049002988,65379,1,0.105861046300154,2080,64,2,1,6.5,9.5,8.8,11.2
5,5,20361628,regular_B7,regular,7,7,easy_noncoherent,0,0,1,1.27,0.67,30,0.0919114803641462,7.38,8.66,10,10.48,7.365,8.635,9.975,10.645,1,1,1,1,0.0206155281280884,0.118004237212061,0.0199999999999996,0.0100000000000007,-0.0700000000000021,-0.190000000000003,0.190000000000003,0.479999999999999,0.670000000000002,0,0,0.46781993154732,0.635124874608382,0.799958368755896,10978.0174051607,1.22896704909702,229958.462774825,65379,1,0.105861046300154,2080,64,2,1,6.5,9.5,8.8,11.2
6,6,20361629,regular_B7,regular,7,7,easy_noncoherent,0,0,1,1.27,0.67,30,0.0621412608582705,7.38,8.66,10,10.48,7.365,8.635,9.975,10.645,1,1,1,1,0.0206155281280884,0.118004237212061,0.0199999999999996,0.0100000000000007,-0.0700000000000021,-0.190000000000003,0.190000000000003,0.479999999999999,0.670000000000002,0,0,0.46781993154732,0.635124874608382,0.799958368755896,10978.0174051607,1.22896704909702,229559.673451548,65379,1,0.105861046300154,2080,64,2,1,6.5,9.5,8.8,11.2
7,7,20361630,regular_B7,regular,7,7,easy_noncoherent,0,0,1,1.27,0.67,30,0.0945155354340482,7.38,8.66,10,10.48,7.365,8.635,9.975,10.645,1,1,1,1,0.0206155281280884,0.118004237212061,0.0199999999999996,0.0100000000000007,-0.0700000000000021,-0.190000000000003,0.190000000000003,0.479999999999999,0.670000000000002,0,0,0.46781993154732,0.635124874608382,0.799958368755896,10978.0174051607,1.22896704909702,227009.623364743,65379,1,0.105861046300154,2080,64,2,1,6.5,9.5,8.8,11.2
8,8,20361631,regular_B7,regular,7,7,easy_noncoherent,0,0,1,1.27,0.67,30,0.1019778920264,7.38,8.66,10,10.48,7.365,8.635,9.975,10.645,1,1,1,1,0.0206155281280884,0.118004237212061,0.0199999999999996,0.0100000000000007,-0.0700000000000021,-0.190000000000003,0.190000000000003,0.479999999999999,0.670000000000002,0,0,0.46781993154732,0.635124874608382,0.799958368755896,10978.0174051607,1.22896704909702,226485.883287582,65379,1,0.105861046300154,2080,64,2,1,6.5,9.5,8.8,11.2
9,9,20361632,regular_B7,regular,7,7,easy_noncoherent,0,0,1,1.27,0.67,30,0.175874147841964,7.38,8.66,10,10.48,7.365,8.635,9.975,10.645,1,1,1,1,0.0206155281280884,0.118004237212061,0.0199999999999996,0.0100000000000007,-0.0700000000000021,-0.190000000000003,0.190000000000003,0.479999999999999,0.670000000000002,0,0,0.46781993154732,0.635124874608382,0.799958368755896,10978.0174051607,1.22896704909702,232806.198664438,65379,1,0.105861046300154,2080,64,2,1,6.5,9.5,8.8,11.2
10,10,20361633,regular_B7,regular,7,7,easy_noncoherent,0,0,1,1.27,0.67,30,0.0959333322985125,7.38,8.66,10,10.48,7.365,8.635,9.975,10.645,1,1,1,1,0.0206155281280884,0.118004237212061,0.0199999999999996,0.0100000000000007,-0.0700000000000021,-0.190000000000003,0.190000000000003,0.479999999999999,0.670000000000002,0,0,0.46781993154732,0.635124874608382,0.799958368755896,10978.0174051607,1.22896704909702,227242.424023788,65379,1,0.105861046300154,2080,64,2,1,6.5,9.5,8.8,11.2
