metric,value
recommended_config_name,"coarse_016_024_minsep__topK3__refine_safe_fullsep"
recommended_topK,"3"
recommended_coarse_az_step,"0.16"
recommended_coarse_el_step,"0.24"
recommended_fine_az_step,"0.08"
recommended_fine_el_step,"0.12"
recommended_coarse_el_sep_list,"[0,0.36,0.72]"
recommended_fine_el_sep_list,"[0,0.24,0.36,0.48,0.6,0.72]"
full_fine_success,"1"
coarse_to_fine_success,"1"
full_fine_rmse,"0.0765589261214"
coarse_to_fine_rmse,"0.0765589261214"
full_fine_mean_num_pairs,"131461"
coarse_to_fine_mean_num_pairs,"19161.9"
complexity_reduction_ratio,"6.86054096932"
full_grid_match_rate,"1"
topK_miss_rate,"0"
boundary_hit_rate,"0"
frontend_prior_robustness_pass_flag,"1"
max_bias_success_drop,"0.06"
max_bias_topK_miss_rate,"0"
max_bias_boundary_hit_rate,"0"
valid_bias_range_text,"az_bias=[-0.20,0.20], el_bias=[-0.20,0.20]"
