keypoint,value
full_fine_success,1
coarse_only_success,0.56
coarse_to_fine_success,0.56
full_fine_rmse,0.0985779409248
coarse_to_fine_rmse,0.149083682971
full_fine_worst_case_success,1
coarse_to_fine_worst_case_success,0
coarse_to_fine_mean_num_pairs,20718
full_fine_mean_num_pairs,65379
complexity_reduction_ratio,3.15566174341
full_grid_match_rate,0
topK_miss_rate,0.48
recommended_topK,5
recommended_coarse_az_step,0.16
recommended_coarse_el_step,0.24
recommended_fine_az_step,0.04
recommended_fine_el_step,0.06
search_acceleration_pass_flag,0
recommended_next_step,tune_topK_or_refine_window
