search_method,scenario_name,topK,coarse_az_step,coarse_el_step,fine_az_step,fine_el_step,local_az_half_width,local_el_center_half_width,az_center_bias_deg,el_center_bias_deg,rho,phase_deg,beta,az_sep_deg,el_sep_deg,snr_db,B,W_method,search_param_mode,full_el_sep_deg_list_text,coarse_el_sep_deg_list_text,fine_el_sep_deg_list_text,joint_success_rate,az_rmse_mean,el_rmse_mean,combined_rmse_mean,boundary_hit_rate,mean_num_pairs,mean_full_num_pairs,mean_coarse_num_pairs,mean_refine_num_pairs,mean_reduction_ratio_vs_full,full_grid_match_rate,topK_miss_rate,full_success_test_fail_rate,el_sep_match_rate_vs_full,max_score_mean,cond_best_GHG_mean,n_trials,overall_joint_success_rate,overall_az_rmse_mean,overall_el_rmse_mean,overall_combined_rmse_mean,worst_case_success,overall_boundary_hit_rate,overall_mean_num_pairs,overall_mean_reduction_ratio_vs_full,overall_full_grid_match_rate,overall_topK_miss_rate,overall_el_sep_match_rate_vs_full
coarse_only,easy_noncoherent,10,0.16,0.24,0.04,0.06,0.32,0.48,0,0,0,0,1,1.27,0.67,30,7,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.48,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,0.0602079728939616,0.0830651224316859,0.10301978847782,0,10431,131461,10431,0,12.6029143897996,0,1,0,0.8,203758.475955602,1.32080836942354,5,0.6,0.074027599266073,0.0987950613841618,0.125849580415502,0,0,10431,12.6029143897996,0,1,0.56
coarse_only,hard_phase,10,0.16,0.24,0.04,0.06,0.32,0.48,0,0,0.99,150,1,0.83,0.37,30,7,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.48,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,0.0250000000000002,0.0701783442380913,0.0744983221287571,0,10431,131461,10431,0,12.6029143897996,0,1,0,1,156153.544688878,2.23749148770437,5,0.6,0.074027599266073,0.0987950613841618,0.125849580415502,0,0,10431,12.6029143897996,0,1,0.56
coarse_only,low_snr_hard,10,0.16,0.24,0.04,0.06,0.32,0.48,0,0,1,150,0.3,0.83,0.37,20,7,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.48,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",0,0.112361025271221,0.13527674800647,0.179631790713199,0,10431,131461,10431,0,12.6029143897996,0,1,1,0,95397.6324078484,3.46232664728696,5,0.6,0.074027599266073,0.0987950613841618,0.125849580415502,0,0,10431,12.6029143897996,0,1,0.56
coarse_only,strong_coherent,10,0.16,0.24,0.04,0.06,0.32,0.48,0,0,0.99,5,1,1.27,0.37,30,7,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.48,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,0.0602079728939616,0.0701783442380913,0.092466210044535,0,10431,131461,10431,0,12.6029143897996,0,1,0,1,196131.903111684,1.32746819174792,5,0.6,0.074027599266073,0.0987950613841618,0.125849580415502,0,0,10431,12.6029143897996,0,1,0.56
coarse_only,weak_secondary,10,0.16,0.24,0.04,0.06,0.32,0.48,0,0,0.99,150,0.3,0.83,0.37,30,7,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.48,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",0,0.112361025271221,0.13527674800647,0.179631790713199,0,10431,131461,10431,0,12.6029143897996,0,1,1,0,95538.3544678778,3.46232664728696,5,0.6,0.074027599266073,0.0987950613841618,0.125849580415502,0,0,10431,12.6029143897996,0,1,0.56
coarse_to_fine,easy_noncoherent,10,0.16,0.24,0.04,0.06,0.32,0.48,0,0,0,0,1,1.27,0.67,30,7,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.48,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,0.0150000000000001,0.0269258240356723,0.0308220700148447,0,103472,131461,10431,93041,1.27049829905675,0,0,0,1,204863.512790485,1.24250272732232,5,1,0.010123105625618,0.0143294367171341,0.0182032989911424,1,0,117484.28,1.13953648709633,0,0,0.6
coarse_to_fine,hard_phase,10,0.16,0.24,0.04,0.06,0.32,0.48,0,0,0.99,150,1,0.83,0.37,30,7,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.48,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,0.00500000000000034,0.0111803398874995,0.0122474487139165,0,113249.8,131461,10431,102818.8,1.16701104685654,0,0,0,1,156408.722815881,1.99700912198464,5,1,0.010123105625618,0.0143294367171341,0.0182032989911424,1,0,117484.28,1.13953648709633,0,0,0.6
coarse_to_fine,low_snr_hard,10,0.16,0.24,0.04,0.06,0.32,0.48,0,0,1,150,0.3,0.83,0.37,20,7,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.48,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,0.00500000000000034,0.0111803398874995,0.0122474487139165,0,132965.8,131461,10431,122534.8,1.00204522934778,0,0,0,0,95573.8068975083,1.99700912198464,5,1,0.010123105625618,0.0143294367171341,0.0182032989911424,1,0,117484.28,1.13953648709633,0,0,0.6
coarse_to_fine,strong_coherent,10,0.16,0.24,0.04,0.06,0.32,0.48,0,0,0.99,5,1,1.27,0.37,30,7,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.48,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,0.0206155281280887,0.0111803398874995,0.0234520787991178,0,104251.2,131461,10431,93820.2,1.26125304083933,0,0,0,1,196558.548009279,1.30976448232016,5,1,0.010123105625618,0.0143294367171341,0.0182032989911424,1,0,117484.28,1.13953648709633,0,0,0.6
coarse_to_fine,weak_secondary,10,0.16,0.24,0.04,0.06,0.32,0.48,0,0,0.99,150,0.3,0.83,0.37,30,7,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.48,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,0.00500000000000034,0.0111803398874995,0.0122474487139165,0,133482.6,131461,10431,123051.6,0.996874819381234,0,0,0,0,95716.8208068923,1.99700912198464,5,1,0.010123105625618,0.0143294367171341,0.0182032989911424,1,0,117484.28,1.13953648709633,0,0,0.6
full_fine,easy_noncoherent,10,0.16,0.24,0.04,0.06,0.32,0.48,0,0,0,0,1,1.27,0.67,30,7,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.48,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,0.0206155281280884,0.0559016994374931,0.0595818764390635,0,131461,131461,0,0,1,1,0,0,1,204746.975005632,1.33789498583369,5,1,0.0366556110726745,0.0673270345126771,0.0770101090859122,1,0,131461,1,1,0,1
full_fine,hard_phase,10,0.16,0.24,0.04,0.06,0.32,0.48,0,0,0.99,150,1,0.83,0.37,30,7,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.48,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,0.0250000000000002,0.0502493781056035,0.0561248608016083,0,131461,131461,0,0,1,1,0,0,1,156275.688302643,2.27244343934511,5,1,0.0366556110726745,0.0673270345126771,0.0770101090859122,1,0,131461,1,1,0,1
full_fine,low_snr_hard,10,0.16,0.24,0.04,0.06,0.32,0.48,0,0,1,150,0.3,0.83,0.37,20,7,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.48,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,0.0585234995535977,0.0901173584573426,0.107514952866444,0,131461,131461,0,0,1,1,0,0,1,95534.0534924576,2.76666022762984,5,1,0.0366556110726745,0.0673270345126771,0.0770101090859122,1,0,131461,1,1,0,1
full_fine,strong_coherent,10,0.16,0.24,0.04,0.06,0.32,0.48,0,0,0.99,5,1,1.27,0.37,30,7,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.48,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,0.0206155281280884,0.0502493781056035,0.0543139024560002,0,131461,131461,0,0,1,1,0,0,1,196452.527927252,1.29303298971949,5,1,0.0366556110726745,0.0673270345126771,0.0770101090859122,1,0,131461,1,1,0,1
full_fine,weak_secondary,10,0.16,0.24,0.04,0.06,0.32,0.48,0,0,0.99,150,0.3,0.83,0.37,30,7,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.48,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,0.0585234995535977,0.0901173584573426,0.107514952866444,0,131461,131461,0,0,1,1,0,0,1,95676.5694945256,2.76666022762984,5,1,0.0366556110726745,0.0673270345126771,0.0770101090859122,1,0,131461,1,1,0,1
