trial_global_id,trial_id,seed,topK,coarse_az_step,coarse_el_step,fine_az_step,fine_el_step,local_az_half_width,local_el_center_half_width,az_center_search,el_center_search,az_center_bias_deg,el_center_bias_deg,rho,phase_deg,beta,az_sep_deg,el_sep_deg,snr_db,source_corr_empirical,true_orientation,az_hat_1,az_hat_2,el_hat_1,el_hat_2,az_true_1,az_true_2,el_true_1,el_true_2,az_rmse,el_rmse,boundary_hit,num_pairs,full_num_pairs,coarse_num_pairs,refine_num_pairs,reduction_ratio_vs_full,full_grid_match,topK_miss,max_score,cond_best_GHG,B,L,phase_factor,phase_sign,az_bound_min,az_bound_max,el_bound_min,el_bound_max,az_diff_vs_full,el_diff_vs_full,score_gap_vs_full,combined_rmse,full_combined_rmse,full_success_test_fail,full_el_sep_hat,test_el_sep_hat,el_sep_diff_vs_full,scenario_name,search_method,W_method,whitening_mode,search_param_mode,full_el_sep_deg_list_text,coarse_el_sep_deg_list_text,fine_el_sep_deg_list_text,joint_success
1,1,20261625,10,0.16,0.24,0.04,0.06,0.32,0.48,8,10,0,0,0,0,1,1.27,0.67,30,0.0527762103877518,1,7.38,8.66,10,10.72,7.365,8.635,9.975,10.645,0.0206155281280884,0.0559016994374932,0,131461,131461,0,0,1,1,0,204144.501429303,1.31288222681484,7,64,2,1,6.5,9.5,8.8,11.2,0,0,0,0.0595818764390635,0.0595818764390635,0,0.72,0.72,0,easy_noncoherent,full_fine,greedy_combined_B7,white,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.48,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1
2,1,20261625,10,0.16,0.24,0.04,0.06,0.32,0.48,8,10,0,0,0,0,1,1.27,0.67,30,0.0527762103877518,1,7.3,8.58,9.88,10.6,7.365,8.635,9.975,10.645,0.0602079728939616,0.0743303437365923,0,10431,131461,10431,0,12.6029143897996,0,1,203150.631054724,1.29805589162774,7,64,2,1,6.5,9.5,8.8,11.2,0.0800000000000001,0.119999999999999,993.870374578837,0.0956556323485448,0.0595818764390635,0,0.72,0.72,0,easy_noncoherent,coarse_only,greedy_combined_B7,white,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.48,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1
3,1,20261625,10,0.16,0.24,0.04,0.06,0.32,0.48,8,10,0,0,0,0,1,1.27,0.67,30,0.0527762103877518,1,7.38,8.62,9.94,10.66,7.365,8.635,9.975,10.645,0.0150000000000001,0.0269258240356723,0,103472,131461,10431,93041,1.27049829905675,0,0,204289.498715018,1.21681023108024,7,64,2,1,6.5,9.5,8.8,11.2,0.0400000000000009,0.0600000000000005,-144.997285714489,0.0308220700148447,0.0595818764390635,0,0.72,0.72,0,easy_noncoherent,coarse_to_fine,greedy_combined_B7,white,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.48,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1
4,2,20261626,10,0.16,0.24,0.04,0.06,0.32,0.48,8,10,0,0,0,0,1,1.27,0.67,30,0.168421269648225,-1,7.38,8.66,10.72,10,7.365,8.635,10.645,9.975,0.0206155281280884,0.0559016994374932,0,131461,131461,0,0,1,1,0,204361.410134845,1.37541412436198,7,64,2,1,6.5,9.5,8.8,11.2,0,0,0,0.0595818764390635,0.0595818764390635,0,0.72,0.72,0,easy_noncoherent,full_fine,greedy_combined_B7,white,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.48,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1
5,2,20261626,10,0.16,0.24,0.04,0.06,0.32,0.48,8,10,0,0,0,0,1,1.27,0.67,30,0.168421269648225,-1,7.3,8.58,10.48,10,7.365,8.635,10.645,9.975,0.0602079728939616,0.11800423721206,0,10431,131461,10431,0,12.6029143897996,0,1,203428.395187974,1.35130013896318,7,64,2,1,6.5,9.5,8.8,11.2,0.0800000000000001,0.239999999999998,933.01494687071,0.132476412994918,0.0595818764390635,0,0.72,0.48,0.24,easy_noncoherent,coarse_only,greedy_combined_B7,white,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.48,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1
6,2,20261626,10,0.16,0.24,0.04,0.06,0.32,0.48,8,10,0,0,0,0,1,1.27,0.67,30,0.168421269648225,-1,7.38,8.62,10.66,9.94,7.365,8.635,10.645,9.975,0.0150000000000001,0.0269258240356723,0,103472,131461,10431,93041,1.27049829905675,0,0,204426.098696189,1.28104147168545,7,64,2,1,6.5,9.5,8.8,11.2,0.0400000000000009,0.0600000000000005,-64.6885613438208,0.0308220700148447,0.0595818764390635,0,0.72,0.72,0,easy_noncoherent,coarse_to_fine,greedy_combined_B7,white,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.48,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1
7,3,20261627,10,0.16,0.24,0.04,0.06,0.32,0.48,8,10,0,0,0,0,1,1.27,0.67,30,0.0938318656426108,1,7.38,8.66,10,10.72,7.365,8.635,9.975,10.645,0.0206155281280884,0.0559016994374932,0,131461,131461,0,0,1,1,0,206171.529131793,1.31288222681484,7,64,2,1,6.5,9.5,8.8,11.2,0,0,0,0.0595818764390635,0.0595818764390635,0,0.72,0.72,0,easy_noncoherent,full_fine,greedy_combined_B7,white,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.48,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1
8,3,20261627,10,0.16,0.24,0.04,0.06,0.32,0.48,8,10,0,0,0,0,1,1.27,0.67,30,0.0938318656426108,1,7.3,8.58,9.88,10.6,7.365,8.635,9.975,10.645,0.0602079728939616,0.0743303437365923,0,10431,131461,10431,0,12.6029143897996,0,1,205110.526121716,1.29805589162774,7,64,2,1,6.5,9.5,8.8,11.2,0.0800000000000001,0.119999999999999,1061.00301007766,0.0956556323485448,0.0595818764390635,0,0.72,0.72,0,easy_noncoherent,coarse_only,greedy_combined_B7,white,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.48,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1
9,3,20261627,10,0.16,0.24,0.04,0.06,0.32,0.48,8,10,0,0,0,0,1,1.27,0.67,30,0.0938318656426108,1,7.38,8.62,9.94,10.66,7.365,8.635,9.975,10.645,0.0150000000000001,0.0269258240356723,0,103472,131461,10431,93041,1.27049829905675,0,0,206332.177848289,1.21681023108024,7,64,2,1,6.5,9.5,8.8,11.2,0.0400000000000009,0.0600000000000005,-160.648716495285,0.0308220700148447,0.0595818764390635,0,0.72,0.72,0,easy_noncoherent,coarse_to_fine,greedy_combined_B7,white,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.48,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1
10,4,20261628,10,0.16,0.24,0.04,0.06,0.32,0.48,8,10,0,0,0,0,1,1.27,0.67,30,0.0351011569415802,-1,7.38,8.66,10.72,10,7.365,8.635,10.645,9.975,0.0206155281280884,0.0559016994374932,0,131461,131461,0,0,1,1,0,203593.578389377,1.37541412436198,7,64,2,1,6.5,9.5,8.8,11.2,0,0,0,0.0595818764390635,0.0595818764390635,0,0.72,0.72,0,easy_noncoherent,full_fine,greedy_combined_B7,white,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.48,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1
