sweep_phase,config_name,coarse_config_name,refine_config_name,topK,coarse_az_step,coarse_el_step,fine_az_step,fine_el_step,local_az_half_width,local_el_center_half_width,coarse_el_sep_list_text,fine_el_sep_list_text,full_fine_success,coarse_to_fine_success,full_fine_rmse,coarse_to_fine_rmse,full_fine_worst_case_success,coarse_to_fine_worst_case_success,full_fine_mean_num_pairs,coarse_to_fine_mean_num_pairs,coarse_mean_num_pairs,refine_mean_num_pairs,complexity_reduction_ratio,topK_miss_rate,boundary_hit_rate,el_sep_match_rate_vs_full,full_grid_match_rate,screening_score,screening_pass,final_pass,selected_for_confirmation
screening,coarse_016_024_compact__topK10__refine_mid_compact,coarse_016_024_compact,refine_mid_compact,10,0.16,0.24,0.08,0.12,0.24,0.36,"[0,0.36,0.48,0.72]","[0,0.36,0.48,0.72]",1,1,0.077310897728952,0.0667793005993393,1,1,131461,15924.1333333333,10431,5493.13333333333,8.25545712587184,0.4,0,0.6,0.6,0.691674112626594,0,0,0
screening,coarse_016_024_compact__topK10__refine_mid_finer,coarse_016_024_compact,refine_mid_finer,10,0.16,0.24,0.04,0.06,0.24,0.36,"[0,0.36,0.48,0.72]","[0,0.36,0.48,0.72]",1,1,0.077310897728952,0.0182032989911424,1,1,131461,47293.4666666667,10431,36862.4666666667,2.77968627097189,0.4,0,0.6,0,0.644399578207836,0,0,0
screening,coarse_016_024_compact__topK10__refine_safe_compact,coarse_016_024_compact,refine_safe_compact,10,0.16,0.24,0.08,0.12,0.32,0.48,"[0,0.36,0.48,0.72]","[0,0.36,0.48,0.72]",1,1,0.077310897728952,0.0667793005993393,1,1,131461,20248.7333333333,10431,9817.73333333333,6.49230733774294,0.4,0,0.6,0.6,0.681239907060067,0,0,0
screening,coarse_016_024_compact__topK10__refine_safe_fullsep,coarse_016_024_compact,refine_safe_fullsep,10,0.16,0.24,0.08,0.12,0.32,0.48,"[0,0.36,0.48,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,1,0.077310897728952,0.0773108977289522,1,1,131461,25768.0666666667,10431,15337.0666666667,5.10170210674194,0,0,1,1,1.07077150961446,1,0,0
screening,coarse_016_024_compact__topK10__refine_small_compact,coarse_016_024_compact,refine_small_compact,10,0.16,0.24,0.08,0.12,0.16,0.24,"[0,0.36,0.48,0.72]","[0,0.36,0.48,0.72]",1,1,0.077310897728952,0.0667793005993393,1,1,131461,12904.8,10431,2473.8,10.1869846878681,0.4,0,0.6,0.6,0.70080456533676,0,0,0
screening,coarse_016_024_compact__topK10__refine_stage1_safe,coarse_016_024_compact,refine_stage1_safe,10,0.16,0.24,0.04,0.06,0.32,0.48,"[0,0.36,0.48,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,1,0.077310897728952,0.0182032989911424,1,1,131461,118284.6,10431,107853.6,1.11139573537045,0,0,0.6,0,1.00458687259849,0,0,0
screening,coarse_016_024_compact__topK3__refine_mid_compact,coarse_016_024_compact,refine_mid_compact,3,0.16,0.24,0.08,0.12,0.24,0.36,"[0,0.36,0.48,0.72]","[0,0.36,0.48,0.72]",1,1,0.077310897728952,0.0667793005993393,1,1,131461,14001.4666666667,10431,3570.46666666667,9.38908780984849,0.4,0,0.6,0.6,0.697262340074397,0,0,0
screening,coarse_016_024_compact__topK3__refine_mid_finer,coarse_016_024_compact,refine_mid_finer,3,0.16,0.24,0.04,0.06,0.24,0.36,"[0,0.36,0.48,0.72]","[0,0.36,0.48,0.72]",1,1,0.077310897728952,0.0182032989911424,1,1,131461,33842.2666666667,10431,23411.2666666667,3.8845211313663,0.4,0,0.6,0,0.658933748830463,0,0,0
screening,coarse_016_024_compact__topK3__refine_safe_compact,coarse_016_024_compact,refine_safe_compact,3,0.16,0.24,0.08,0.12,0.32,0.48,"[0,0.36,0.48,0.72]","[0,0.36,0.48,0.72]",1,1,0.077310897728952,0.0667793005993393,1,1,131461,17381.3333333333,10431,6950.33333333333,7.56334381712182,0.4,0,0.6,0.6,0.687871384315492,0,0,0
screening,coarse_016_024_compact__topK3__refine_safe_fullsep,coarse_016_024_compact,refine_safe_fullsep,3,0.16,0.24,0.08,0.12,0.32,0.48,"[0,0.36,0.48,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,1,0.077310897728952,0.0773108977289522,1,1,131461,21316.6666666667,10431,10885.6666666667,6.16705238467553,0,0,1,1,1.07900776374613,1,0,1
screening,coarse_016_024_compact__topK3__refine_small_compact,coarse_016_024_compact,refine_small_compact,3,0.16,0.24,0.08,0.12,0.16,0.24,"[0,0.36,0.48,0.72]","[0,0.36,0.48,0.72]",1,1,0.077310897728952,0.0667793005993393,1,1,131461,11889.3333333333,10431,1458.33333333333,11.0570539419087,0.4,0,0.6,0.6,0.704363942830616,0,0,0
