search_method,scenario_name,config_name,coarse_config_name,refine_config_name,sweep_phase,W_method,search_param_mode,full_el_sep_deg_list_text,coarse_el_sep_deg_list_text,fine_el_sep_deg_list_text,topK,coarse_az_step,coarse_el_step,fine_az_step,fine_el_step,local_az_half_width,local_el_center_half_width,az_center_bias_deg,el_center_bias_deg,rho,phase_deg,beta,az_sep_deg,el_sep_deg,snr_db,B,joint_success_rate,az_rmse_mean,el_rmse_mean,combined_rmse_mean,boundary_hit_rate,mean_num_pairs,mean_full_num_pairs,mean_coarse_num_pairs,mean_refine_num_pairs,mean_reduction_ratio_vs_full,full_grid_match_rate,topK_miss_rate,full_success_test_fail_rate,el_sep_match_rate_vs_full,n_trials,overall_joint_success_rate,overall_combined_rmse_mean,worst_case_success,overall_boundary_hit_rate,overall_mean_num_pairs,overall_az_rmse_mean,overall_el_rmse_mean,overall_mean_reduction_ratio_vs_full,overall_full_grid_match_rate,overall_topK_miss_rate,overall_el_sep_match_rate_vs_full
coarse_to_fine,easy_noncoherent,coarse_016_024_compact__topK3__refine_safe_fullsep,coarse_016_024_compact,refine_safe_fullsep,confirmation,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.48,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",3,0.16,0.24,0.08,0.12,0.32,0.48,0,0,0,0,1,1.27,0.67,30,7,1,0.0206155281280884,0.0559016994374943,0.0595818764390646,0,20232,131461,10431,9801,6.49767694741004,1,0,0,1,10,1,0.0765589261213527,1,0,21177.8,0.0366556110726745,0.06678628377114,6.22429811400948,1,0,1
coarse_to_fine,easy_noncoherent,coarse_016_024_minsep__topK3__refine_safe_fullsep,coarse_016_024_minsep,refine_safe_fullsep,confirmation,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",3,0.16,0.24,0.08,0.12,0.32,0.48,0,0,0,0,1,1.27,0.67,30,7,1,0.0206155281280884,0.0559016994374943,0.0595818764390646,0,17883,131461,7353,10530,7.36340788948177,1,0,0,1,10,1,0.0765589261213527,1,0,19161.9,0.0366556110726745,0.06678628377114,6.89563144212141,1,0,1
coarse_to_fine,easy_noncoherent,coarse_016_024_minsep__topK5__refine_safe_fullsep,coarse_016_024_minsep,refine_safe_fullsep,confirmation,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",5,0.16,0.24,0.08,0.12,0.32,0.48,0,0,0,0,1,1.27,0.67,30,7,1,0.0206155281280884,0.0559016994374943,0.0595818764390646,0,18774,131461,7353,11421,7.00281182302762,1,0,0,1,10,1,0.0765589261213527,1,0,21165.7,0.0366556110726745,0.06678628377114,6.27035759570521,1,0,1
coarse_to_fine,easy_noncoherent,coarse_016_024_minsep__topK7__refine_safe_fullsep,coarse_016_024_minsep,refine_safe_fullsep,confirmation,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",7,0.16,0.24,0.08,0.12,0.32,0.48,0,0,0,0,1,1.27,0.67,30,7,1,0.0206155281280884,0.0559016994374943,0.0595818764390646,0,20718,131461,7353,13365,6.3452553335264,1,0,0,1,10,1,0.0765589261213527,1,0,22127.42,0.0366556110726745,0.06678628377114,5.9755738233296,1,0,1
coarse_to_fine,easy_noncoherent,coarse_020_030_compact__topK3__refine_safe_fullsep,coarse_020_030_compact,refine_safe_fullsep,confirmation,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.48,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",3,0.2,0.3,0.08,0.12,0.32,0.48,0,0,0,0,1,1.27,0.67,30,7,1,0.0150000000000001,0.0288207691178186,0.0325316638858878,0,13659,131461,5640,8019,9.62449666886302,0,0,0,0.8,10,1,0.018545217765351,1,0,20054.4,0.010123105625618,0.0147084257335633,6.78187060368734,0,0,0.56
coarse_to_fine,hard_phase,coarse_016_024_compact__topK3__refine_safe_fullsep,coarse_016_024_compact,refine_safe_fullsep,confirmation,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.48,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",3,0.16,0.24,0.08,0.12,0.32,0.48,0,0,0.99,150,1,0.83,0.37,30,7,1,0.0250000000000002,0.0502493781056035,0.0561248608016083,0,21654,131461,10431,11223,6.09727407779585,1,0,0,1,10,1,0.0765589261213527,1,0,21177.8,0.0366556110726745,0.06678628377114,6.22429811400948,1,0,1
coarse_to_fine,hard_phase,coarse_016_024_minsep__topK3__refine_safe_fullsep,coarse_016_024_minsep,refine_safe_fullsep,confirmation,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",3,0.16,0.24,0.08,0.12,0.32,0.48,0,0,0.99,150,1,0.83,0.37,30,7,1,0.0250000000000002,0.0502493781056035,0.0561248608016083,0,18774,131461,7353,11421,7.00281182302762,1,0,0,1,10,1,0.0765589261213527,1,0,19161.9,0.0366556110726745,0.06678628377114,6.89563144212141,1,0,1
coarse_to_fine,hard_phase,coarse_016_024_minsep__topK5__refine_safe_fullsep,coarse_016_024_minsep,refine_safe_fullsep,confirmation,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",5,0.16,0.24,0.08,0.12,0.32,0.48,0,0,0.99,150,1,0.83,0.37,30,7,1,0.0250000000000002,0.0502493781056035,0.0561248608016083,0,21579.5,131461,7353,14226.5,6.1136003084576,1,0,0,1,10,1,0.0765589261213527,1,0,21165.7,0.0366556110726745,0.06678628377114,6.27035759570521,1,0,1
coarse_to_fine,hard_phase,coarse_016_024_minsep__topK7__refine_safe_fullsep,coarse_016_024_minsep,refine_safe_fullsep,confirmation,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",7,0.16,0.24,0.08,0.12,0.32,0.48,0,0,0.99,150,1,0.83,0.37,30,7,1,0.0250000000000002,0.0502493781056035,0.0561248608016083,0,22082.5,131461,7353,14729.5,5.97943889837261,1,0,0,1,10,1,0.0765589261213527,1,0,22127.42,0.0366556110726745,0.06678628377114,5.9755738233296,1,0,1
coarse_to_fine,hard_phase,coarse_020_030_compact__topK3__refine_safe_fullsep,coarse_020_030_compact,refine_safe_fullsep,confirmation,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.48,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",3,0.2,0.3,0.08,0.12,0.32,0.48,0,0,0.99,150,1,0.83,0.37,30,7,1,0.00500000000000034,0.0111803398874995,0.0122474487139165,0,21579,131461,5640,15939,6.09208026321887,0,0,0,1,10,1,0.018545217765351,1,0,20054.4,0.010123105625618,0.0147084257335633,6.78187060368734,0,0,0.56
coarse_to_fine,low_snr_hard,coarse_016_024_compact__topK3__refine_safe_fullsep,coarse_016_024_compact,refine_safe_fullsep,confirmation,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.48,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",3,0.16,0.24,0.08,0.12,0.32,0.48,0,0,1,150,0.3,0.83,0.37,20,7,1,0.0585234995535977,0.0887654816034995,0.106386995455045,0,20828,131461,10431,10397,6.3187795122386,1,0,0,1,10,1,0.0765589261213527,1,0,21177.8,0.0366556110726745,0.06678628377114,6.22429811400948,1,0,1
coarse_to_fine,low_snr_hard,coarse_016_024_minsep__topK3__refine_safe_fullsep,coarse_016_024_minsep,refine_safe_fullsep,confirmation,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",3,0.16,0.24,0.08,0.12,0.32,0.48,0,0,1,150,0.3,0.83,0.37,20,7,1,0.0585234995535977,0.0887654816034995,0.106386995455045,0,20641.5,131461,7353,13288.5,6.43722002635046,1,0,0,1,10,1,0.0765589261213527,1,0,19161.9,0.0366556110726745,0.06678628377114,6.89563144212141,1,0,1
coarse_to_fine,low_snr_hard,coarse_016_024_minsep__topK5__refine_safe_fullsep,coarse_016_024_minsep,refine_safe_fullsep,confirmation,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",5,0.16,0.24,0.08,0.12,0.32,0.48,0,0,1,150,0.3,0.83,0.37,20,7,1,0.0585234995535977,0.0887654816034995,0.106386995455045,0,22477.5,131461,7353,15124.5,5.91439523909733,1,0,0,1,10,1,0.0765589261213527,1,0,21165.7,0.0366556110726745,0.06678628377114,6.27035759570521,1,0,1
