trial_global_id,trial_id,seed,topK,coarse_az_step,coarse_el_step,fine_az_step,fine_el_step,local_az_half_width,local_el_center_half_width,az_center_bias_deg,el_center_bias_deg,rho,phase_deg,beta,az_sep_deg,el_sep_deg,snr_db,source_corr_empirical,true_orientation,az_hat_1,az_hat_2,el_hat_1,el_hat_2,az_true_1,az_true_2,el_true_1,el_true_2,az_rmse,el_rmse,combined_rmse,boundary_hit,num_pairs,full_num_pairs,coarse_num_pairs,refine_num_pairs,reduction_ratio_vs_full,full_grid_match,topK_miss,max_score,cond_best_GHG,B,L,phase_factor,phase_sign,az_diff_vs_full,el_diff_vs_full,score_gap_vs_full,full_combined_rmse,full_success_test_fail,full_el_sep_hat,test_el_sep_hat,el_sep_diff_vs_full,config_name,coarse_config_name,refine_config_name,sweep_phase,scenario_name,search_method,W_method,whitening_mode,search_param_mode,full_el_sep_deg_list_text,coarse_el_sep_deg_list_text,fine_el_sep_deg_list_text,joint_success
1,1,20311626,3,0.16,0.24,0.08,0.12,0.32,0.48,0,0,0,0,1,1.27,0.67,30,0.00699556974923483,1,7.38,8.66,10,10.72,7.365,8.635,9.975,10.645,0.0206155281280884,0.0559016994374932,0.0595818764390635,0,131461,131461,0,0,1,1,0,205102.530156695,1.31288222681484,7,64,2,1,0,0,0,0.0595818764390635,0,0.72,0.72,0,coarse_016_024_minsep__topK3__refine_safe_fullsep,coarse_016_024_minsep,refine_safe_fullsep,confirmation,easy_noncoherent,full_fine,greedy_combined_B7,white,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1
2,1,20311626,3,0.16,0.24,0.08,0.12,0.32,0.48,0,0,0,0,1,1.27,0.67,30,0.00699556974923483,1,7.38,8.66,10,10.72,7.365,8.635,9.975,10.645,0.0206155281280884,0.0559016994374943,0.0595818764390646,0,18612,131461,7353,11259,7.06323877068558,1,0,205102.530156695,1.31288222681484,7,64,2,1,0,1.77635683940025e-15,0,0.0595818764390635,0,0.72,0.72,0,coarse_016_024_minsep__topK3__refine_safe_fullsep,coarse_016_024_minsep,refine_safe_fullsep,confirmation,easy_noncoherent,coarse_to_fine,greedy_combined_B7,white,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1
3,1,20311626,3,0.2,0.3,0.08,0.12,0.32,0.48,0,0,0,0,1,1.27,0.67,30,0.00699556974923483,1,7.38,8.66,10,10.72,7.365,8.635,9.975,10.645,0.0206155281280884,0.0559016994374932,0.0595818764390635,0,131461,131461,0,0,1,1,0,205102.530156695,1.31288222681484,7,64,2,1,0,0,0,0.0595818764390635,0,0.72,0.72,0,coarse_020_030_compact__topK3__refine_safe_fullsep,coarse_020_030_compact,refine_safe_fullsep,confirmation,easy_noncoherent,full_fine,greedy_combined_B7,white,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1
4,1,20311626,3,0.2,0.3,0.08,0.12,0.32,0.48,0,0,0,0,1,1.27,0.67,30,0.00699556974923483,1,7.38,8.62,9.94,10.66,7.365,8.635,9.975,10.645,0.0150000000000001,0.0269258240356723,0.0308220700148447,0,13659,131461,5640,8019,9.62449666886302,0,0,205254.238774517,1.21681023108024,7,64,2,1,0.0400000000000009,0.0600000000000005,-151.708617822209,0.0595818764390635,0,0.72,0.72,0,coarse_020_030_compact__topK3__refine_safe_fullsep,coarse_020_030_compact,refine_safe_fullsep,confirmation,easy_noncoherent,coarse_to_fine,greedy_combined_B7,white,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.48,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1
5,1,20311626,3,0.16,0.24,0.08,0.12,0.32,0.48,0,0,0,0,1,1.27,0.67,30,0.00699556974923483,1,7.38,8.66,10,10.72,7.365,8.635,9.975,10.645,0.0206155281280884,0.0559016994374932,0.0595818764390635,0,131461,131461,0,0,1,1,0,205102.530156695,1.31288222681484,7,64,2,1,0,0,0,0.0595818764390635,0,0.72,0.72,0,coarse_016_024_compact__topK3__refine_safe_fullsep,coarse_016_024_compact,refine_safe_fullsep,confirmation,easy_noncoherent,full_fine,greedy_combined_B7,white,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1
6,1,20311626,3,0.16,0.24,0.08,0.12,0.32,0.48,0,0,0,0,1,1.27,0.67,30,0.00699556974923483,1,7.38,8.66,10,10.72,7.365,8.635,9.975,10.645,0.0206155281280884,0.0559016994374943,0.0595818764390646,0,20232,131461,10431,9801,6.49767694741004,1,0,205102.530156695,1.31288222681484,7,64,2,1,0,1.77635683940025e-15,0,0.0595818764390635,0,0.72,0.72,0,coarse_016_024_compact__topK3__refine_safe_fullsep,coarse_016_024_compact,refine_safe_fullsep,confirmation,easy_noncoherent,coarse_to_fine,greedy_combined_B7,white,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.48,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1
7,1,20311626,5,0.16,0.24,0.08,0.12,0.32,0.48,0,0,0,0,1,1.27,0.67,30,0.00699556974923483,1,7.38,8.66,10,10.72,7.365,8.635,9.975,10.645,0.0206155281280884,0.0559016994374932,0.0595818764390635,0,131461,131461,0,0,1,1,0,205102.530156695,1.31288222681484,7,64,2,1,0,0,0,0.0595818764390635,0,0.72,0.72,0,coarse_016_024_minsep__topK5__refine_safe_fullsep,coarse_016_024_minsep,refine_safe_fullsep,confirmation,easy_noncoherent,full_fine,greedy_combined_B7,white,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1
8,1,20311626,5,0.16,0.24,0.08,0.12,0.32,0.48,0,0,0,0,1,1.27,0.67,30,0.00699556974923483,1,7.38,8.66,10,10.72,7.365,8.635,9.975,10.645,0.0206155281280884,0.0559016994374943,0.0595818764390646,0,18936,131461,7353,11583,6.94238487536967,1,0,205102.530156695,1.31288222681484,7,64,2,1,0,1.77635683940025e-15,0,0.0595818764390635,0,0.72,0.72,0,coarse_016_024_minsep__topK5__refine_safe_fullsep,coarse_016_024_minsep,refine_safe_fullsep,confirmation,easy_noncoherent,coarse_to_fine,greedy_combined_B7,white,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1
9,1,20311626,7,0.16,0.24,0.08,0.12,0.32,0.48,0,0,0,0,1,1.27,0.67,30,0.00699556974923483,1,7.38,8.66,10,10.72,7.365,8.635,9.975,10.645,0.0206155281280884,0.0559016994374932,0.0595818764390635,0,131461,131461,0,0,1,1,0,205102.530156695,1.31288222681484,7,64,2,1,0,0,0,0.0595818764390635,0,0.72,0.72,0,coarse_016_024_minsep__topK7__refine_safe_fullsep,coarse_016_024_minsep,refine_safe_fullsep,confirmation,easy_noncoherent,full_fine,greedy_combined_B7,white,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1
10,1,20311626,7,0.16,0.24,0.08,0.12,0.32,0.48,0,0,0,0,1,1.27,0.67,30,0.00699556974923483,1,7.38,8.66,10,10.72,7.365,8.635,9.975,10.645,0.0206155281280884,0.0559016994374943,0.0595818764390646,0,20718,131461,7353,13365,6.3452553335264,1,0,205102.530156695,1.31288222681484,7,64,2,1,0,1.77635683940025e-15,0,0.0595818764390635,0,0.72,0.72,0,coarse_016_024_minsep__topK7__refine_safe_fullsep,coarse_016_024_minsep,refine_safe_fullsep,confirmation,easy_noncoherent,coarse_to_fine,greedy_combined_B7,white,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1
