keypoint,value
recommended_config_name,"coarse_016_024_minsep__topK3__refine_safe_fullsep"
recommended_topK,"3"
recommended_coarse_az_step,"0.16"
recommended_coarse_el_step,"0.24"
recommended_fine_az_step,"0.08"
recommended_fine_el_step,"0.12"
recommended_local_az_half_width,"0.32"
recommended_local_el_center_half_width,"0.48"
recommended_coarse_el_sep_list_text,"[0,0.36,0.72]"
recommended_fine_el_sep_list_text,"[0,0.24,0.36,0.48,0.6,0.72]"
full_fine_success,"1"
coarse_to_fine_success,"1"
full_fine_rmse,"0.0765589261214"
coarse_to_fine_rmse,"0.0765589261214"
full_fine_worst_case_success,"1"
coarse_to_fine_worst_case_success,"1"
full_fine_mean_num_pairs,"131461"
coarse_to_fine_mean_num_pairs,"19161.9"
coarse_mean_num_pairs,"7353"
refine_mean_num_pairs,"11808.9"
complexity_reduction_ratio,"6.86054096932"
topK_miss_rate,"0"
boundary_hit_rate,"0"
el_sep_match_rate_vs_full,"1"
full_grid_match_rate,"1"
search_param_mode,"degree_based_el_sep"
search_acceleration_pass_flag,"1"
recommended_next_step,"run_stage3_frontend_prior_bias_with_recommended_config"
