trial_global_id,trial_id,seed,topK,coarse_az_step,coarse_el_step,fine_az_step,fine_el_step,local_az_half_width,local_el_center_half_width,az_center_search,el_center_search,az_center_bias_deg,el_center_bias_deg,rho,phase_deg,beta,az_sep_deg,el_sep_deg,snr_db,source_corr_empirical,true_orientation,az_hat_1,az_hat_2,el_hat_1,el_hat_2,az_true_1,az_true_2,el_true_1,el_true_2,az_rmse,el_rmse,boundary_hit,num_pairs,full_num_pairs,coarse_num_pairs,refine_num_pairs,reduction_ratio_vs_full,full_grid_match,topK_miss,max_score,cond_best_GHG,B,L,phase_factor,phase_sign,az_bound_min,az_bound_max,el_bound_min,el_bound_max,az_diff_vs_full,el_diff_vs_full,score_gap_vs_full,combined_rmse,full_combined_rmse,full_success_test_fail,full_el_sep_hat,test_el_sep_hat,el_sep_diff_vs_full,scenario_name,search_method,config_name,coarse_config_name,refine_config_name,sweep_phase,W_method,whitening_mode,search_param_mode,full_el_sep_deg_list_text,coarse_el_sep_deg_list_text,fine_el_sep_deg_list_text,joint_success
1,1,20271625,3,0.16,0.24,0.08,0.12,0.32,0.48,8,10,0,0,0,0,1,1.27,0.67,30,0.0780619873467016,1,7.38,8.66,10,10.72,7.365,8.635,9.975,10.645,0.0206155281280884,0.0559016994374932,0,131461,131461,0,0,1,1,0,204875.425277923,1.31288222681484,7,64,2,1,6.5,9.5,8.8,11.2,0,0,0,0.0595818764390635,0.0595818764390635,0,0.72,0.72,0,easy_noncoherent,full_fine,default_config,default_coarse,default_refine,single,greedy_combined_B7,white,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1
2,1,20271625,3,0.16,0.24,0.08,0.12,0.32,0.48,8,10,0,0,0,0,1,1.27,0.67,30,0.0780619873467016,1,7.38,8.66,10,10.72,7.365,8.635,9.975,10.645,0.0206155281280884,0.0559016994374943,0,18612,131461,7353,11259,7.06323877068558,1,0,204875.425277923,1.31288222681484,7,64,2,1,6.5,9.5,8.8,11.2,0,1.77635683940025e-15,0,0.0595818764390646,0.0595818764390635,0,0.72,0.72,0,easy_noncoherent,coarse_to_fine,default_config,default_coarse,default_refine,single,greedy_combined_B7,white,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1
3,2,20271626,3,0.16,0.24,0.08,0.12,0.32,0.48,8,10,0,0,0,0,1,1.27,0.67,30,0.0335972159019392,-1,7.38,8.66,10.72,10,7.365,8.635,10.645,9.975,0.0206155281280884,0.0559016994374932,0,131461,131461,0,0,1,1,0,202435.223005151,1.37541412436198,7,64,2,1,6.5,9.5,8.8,11.2,0,0,0,0.0595818764390635,0.0595818764390635,0,0.72,0.72,0,easy_noncoherent,full_fine,default_config,default_coarse,default_refine,single,greedy_combined_B7,white,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1
4,2,20271626,3,0.16,0.24,0.08,0.12,0.32,0.48,8,10,0,0,0,0,1,1.27,0.67,30,0.0335972159019392,-1,7.38,8.66,10.72,10,7.365,8.635,10.645,9.975,0.0206155281280884,0.0559016994374943,0,17154,131461,7353,9801,7.66357700827795,1,0,202435.223005151,1.37541412436198,7,64,2,1,6.5,9.5,8.8,11.2,0,1.77635683940025e-15,0,0.0595818764390646,0.0595818764390635,0,0.72,0.72,0,easy_noncoherent,coarse_to_fine,default_config,default_coarse,default_refine,single,greedy_combined_B7,white,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1
5,3,20271627,3,0.16,0.24,0.08,0.12,0.32,0.48,8,10,0,0,0,0,1,1.27,0.67,30,0.0159450699787031,1,7.38,8.66,10,10.72,7.365,8.635,9.975,10.645,0.0206155281280884,0.0559016994374932,0,131461,131461,0,0,1,1,0,205530.840643863,1.31288222681484,7,64,2,1,6.5,9.5,8.8,11.2,0,0,0,0.0595818764390635,0.0595818764390635,0,0.72,0.72,0,easy_noncoherent,full_fine,default_config,default_coarse,default_refine,single,greedy_combined_B7,white,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1
6,3,20271627,3,0.16,0.24,0.08,0.12,0.32,0.48,8,10,0,0,0,0,1,1.27,0.67,30,0.0159450699787031,1,7.38,8.66,10,10.72,7.365,8.635,9.975,10.645,0.0206155281280884,0.0559016994374943,0,18612,131461,7353,11259,7.06323877068558,1,0,205530.840643863,1.31288222681484,7,64,2,1,6.5,9.5,8.8,11.2,0,1.77635683940025e-15,0,0.0595818764390646,0.0595818764390635,0,0.72,0.72,0,easy_noncoherent,coarse_to_fine,default_config,default_coarse,default_refine,single,greedy_combined_B7,white,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1
7,4,20271628,3,0.16,0.24,0.08,0.12,0.32,0.48,8,10,0,0,0,0,1,1.27,0.67,30,0.057481360431853,-1,7.38,8.66,10.72,10,7.365,8.635,10.645,9.975,0.0206155281280884,0.0559016994374932,0,131461,131461,0,0,1,1,0,202465.347718793,1.37541412436198,7,64,2,1,6.5,9.5,8.8,11.2,0,0,0,0.0595818764390635,0.0595818764390635,0,0.72,0.72,0,easy_noncoherent,full_fine,default_config,default_coarse,default_refine,single,greedy_combined_B7,white,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1
8,4,20271628,3,0.16,0.24,0.08,0.12,0.32,0.48,8,10,0,0,0,0,1,1.27,0.67,30,0.057481360431853,-1,7.38,8.66,10.72,10,7.365,8.635,10.645,9.975,0.0206155281280884,0.0559016994374943,0,17154,131461,7353,9801,7.66357700827795,1,0,202465.347718793,1.37541412436198,7,64,2,1,6.5,9.5,8.8,11.2,0,1.77635683940025e-15,0,0.0595818764390646,0.0595818764390635,0,0.72,0.72,0,easy_noncoherent,coarse_to_fine,default_config,default_coarse,default_refine,single,greedy_combined_B7,white,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1
9,5,20271629,3,0.16,0.24,0.08,0.12,0.32,0.48,8,10,0,0,0,0,1,1.27,0.67,30,0.108326064154068,1,7.38,8.66,10,10.72,7.365,8.635,9.975,10.645,0.0206155281280884,0.0559016994374932,0,131461,131461,0,0,1,1,0,203956.625501472,1.31288222681484,7,64,2,1,6.5,9.5,8.8,11.2,0,0,0,0.0595818764390635,0.0595818764390635,0,0.72,0.72,0,easy_noncoherent,full_fine,default_config,default_coarse,default_refine,single,greedy_combined_B7,white,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1
10,5,20271629,3,0.16,0.24,0.08,0.12,0.32,0.48,8,10,0,0,0,0,1,1.27,0.67,30,0.108326064154068,1,7.38,8.66,10,10.72,7.365,8.635,9.975,10.645,0.0206155281280884,0.0559016994374943,0,18612,131461,7353,11259,7.06323877068558,1,0,203956.625501472,1.31288222681484,7,64,2,1,6.5,9.5,8.8,11.2,0,1.77635683940025e-15,-5.82076609134674e-11,0.0595818764390646,0.0595818764390635,0,0.72,0.72,0,easy_noncoherent,coarse_to_fine,default_config,default_coarse,default_refine,single,greedy_combined_B7,white,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1
