keypoint,value
full_fine_success,"1"
fixed_topK3_success,"1"
adaptive_success,"1"
full_fine_rmse,"0.0765589261214"
fixed_topK3_rmse,"0.0765589261214"
adaptive_rmse,"0.0765589261214"
full_fine_mean_num_pairs,"131461"
fixed_topK3_mean_num_pairs,"19126.26"
adaptive_mean_num_pairs,"38749.86"
fixed_topK3_reduction_ratio,"6.87332494696"
adaptive_reduction_ratio,"3.39255419245"
adaptive_vs_fixed_pair_count_ratio,"2.02600299274"
adaptive_vs_fixed_reduction_gain,"0.493582686492"
adaptive_full_grid_match_rate,"1"
adaptive_topK_miss_rate,"0"
adaptive_boundary_hit_rate,"0"
easy_policy_rate,"0"
normal_policy_rate,"0"
hard_policy_rate,"1"
unsafe_policy_rate,"0"
low_confidence_rate,"0"
max_bias_adaptive_topK_miss_rate,"0"
max_bias_adaptive_boundary_hit_rate,"0"
max_bias_adaptive_success_drop,"0.04"
bias_robustness_pass_flag,"1"
valid_bias_range_text,"az_bias=[-0.20,0.20], el_bias=[-0.20,0.20]"
adaptive_pass_flag,"0"
recommended_next_step,"tune_policy_thresholds_for_more_complexity_reduction"
