config_id,config_name,calibration_fixed_success,calibration_adaptive_success,calibration_fixed_rmse,calibration_adaptive_rmse,calibration_fixed_mean_num_pairs,calibration_adaptive_mean_num_pairs,calibration_pair_count_ratio,calibration_adaptive_full_grid_match_rate,calibration_adaptive_topK_miss_rate,calibration_adaptive_boundary_hit_rate,calibration_policy_degeneracy_flag,calibration_safety_pass,calibration_selectable_pass,validation_fixed_success,validation_adaptive_success,validation_fixed_rmse,validation_adaptive_rmse,validation_fixed_mean_num_pairs,validation_adaptive_mean_num_pairs,validation_pair_count_ratio,validation_adaptive_full_grid_match_rate,validation_adaptive_topK_miss_rate,validation_adaptive_boundary_hit_rate,validation_policy_degeneracy_flag,validation_stage2_pass,overall_fixed_mean_num_pairs,overall_adaptive_mean_num_pairs,overall_pair_count_ratio,max_policy_rate,policy_degeneracy_flag,is_control_config
1,C01_normal_only_control,1,1,0.0788148409441511,0.0788148409441511,19623.24,19623.24,1,1,0,0,1,1,0,1,1,0.0743030112985544,0.0743030112985544,18558,18558,1,1,0,0,1,0,19090.62,19090.62,1,1,1,1
2,C02_easy_conservative,1,1,0.0788148409441511,0.0788148409441511,19623.24,16655.96,0.848787458136373,1,0,0,0,1,1,1,1,0.0743030112985544,0.0743030112985544,18558,17276.4,0.93094083414161,1,0,0,0,1,19090.62,16966.18,0.888718124398265,0.66,0,0
3,C03_easy_moderate,1,1,0.0788148409441511,0.0692573275540087,19623.24,16272,0.829220862609844,0.4,0,0,0,0,0,1,1,0.0743030112985544,0.0683474244553435,18558,16502,0.889212199590473,0.6,0,0,0,0,19090.62,16387,0.858379664987308,0.5,0,0
4,C04_easy_aggressive,1,1,0.0788148409441511,0.0692573275540087,19623.24,14932.2,0.760944675802773,0.4,0,0,0,0,0,1,1,0.0743030112985544,0.0683474244553435,18558,15855.2,0.854359305959694,0.6,0,0,0,0,19090.62,15393.7,0.80634887709252,0.5,0,0
5,C05_easy_very_aggressive,1,1,0.0788148409441511,0.0572647286860925,19623.24,14094,0.718230017061403,1,0,0,0,1,1,1,1,0.0743030112985544,0.0527528990404958,18558,13242.6,0.713579049466537,1,0,0,0,1,19090.62,13668.3,0.715969413251115,0.6,0,0
6,C06_no_window_expand,1,1,0.0788148409441511,0.0692573275540087,19623.24,16272,0.829220862609844,0.4,0,0,0,0,0,1,1,0.0743030112985544,0.0683474244553435,18558,16502,0.889212199590473,0.6,0,0,0,0,19090.62,16387,0.858379664987308,0.5,0,0
7,C07_topK_only,1,1,0.0788148409441511,0.0788148409441511,19623.24,16302.8,0.83079043012265,1,0,0,0,1,1,1,1,0.0743030112985544,0.0743030112985544,18558,16413.84,0.884461687681862,1,0,0,0,1,19090.62,16358.32,0.85687735652378,0.5,0,0
8,C08_safe_default,1,1,0.0788148409441511,0.0788148409441511,19623.24,16841,0.858217093609414,1,0,0,0,1,1,1,1,0.0743030112985544,0.0743030112985544,18558,17276.4,0.93094083414161,1,0,0,0,1,19090.62,17058.7,0.893564483500274,0.68,0,0
9,C09_gap_low,1,1,0.0788148409441511,0.0692573275540087,19623.24,16272,0.829220862609844,0.4,0,0,0,0,0,1,1,0.0743030112985544,0.064745497908412,18558,15235.8,0.820982864532816,0.4,0,0,0,0,19090.62,15753.9,0.825216781854125,0.6,0,0
10,C10_easy_top1_window075,1,1,0.0788148409441511,0.0788148409441511,19623.24,15830.52,0.806723048793166,1,0,0,0,1,1,1,1,0.0743030112985544,0.0743030112985544,18558,17060.8,0.91932320293135,1,0,0,0,1,19090.62,16445.66,0.861452378183632,0.66,0,0
11,C11_default_plus_low_conf,1,1,0.0788148409441511,0.0788148409441511,19623.24,19623.24,1,1,0,0,1,1,0,1,1,0.0743030112985544,0.0743030112985544,18558,18558,1,1,0,0,1,0,19090.62,19090.62,1,1,1,1
12,C12_balanced_candidate,1,1,0.0788148409441511,0.0800638753469778,19623.24,16741.52,0.853147594382987,0.48,0,0,0,0,0,1,1,0.0743030112985544,0.0752486918464288,18558,16502,0.889212199590473,0.6,0,0,0,0,19090.62,16621.76,0.870676803582073,0.54,0,0
