keypoint,value
selected_config_id,"5"
selected_config_name,"C05_easy_very_aggressive"
selection_reason,"calibration_safety_and_non_degenerate_min_candidate_count"
validation_safety_pass,"1"
validation_complexity_pass,"1"
validation_policy_degeneracy_pass,"1"
stage2_adaptive_pass_flag,"1"
recommended_next_step,"use_step11_5_stage2_as_positive_adaptive_enhancement"
calibration_fixed_success,"1"
calibration_adaptive_success,"1"
calibration_fixed_rmse,"0.0788148409442"
calibration_adaptive_rmse,"0.0572647286861"
calibration_fixed_mean_num_pairs,"19623.24"
calibration_adaptive_mean_num_pairs,"14094"
calibration_pair_count_ratio,"0.718230017061"
calibration_adaptive_full_grid_match_rate,"1"
calibration_adaptive_topK_miss_rate,"0"
calibration_adaptive_boundary_hit_rate,"0"
calibration_policy_degeneracy_flag,"0"
validation_fixed_success,"1"
validation_adaptive_success,"1"
validation_fixed_rmse,"0.0743030112986"
validation_adaptive_rmse,"0.0527528990405"
validation_fixed_mean_num_pairs,"18558"
validation_adaptive_mean_num_pairs,"13242.6"
validation_pair_count_ratio,"0.713579049467"
validation_adaptive_full_grid_match_rate,"1"
validation_adaptive_topK_miss_rate,"0"
validation_adaptive_boundary_hit_rate,"0"
validation_policy_degeneracy_flag,"0"
stage1_result_label,"Step11.5 Stage1: original uncertainty policy negative result / safety passed but complexity failed"
stage1_fixed_topK3_mean_num_pairs,"19126.26"
stage1_adaptive_mean_num_pairs,"38749.86"
stage1_adaptive_pass_flag,"0"
stage1_policy_distribution_text,"EASY=0,NORMAL=0,HARD=1,UNSAFE=0"
fixed_topK3_mean_num_pairs,"19090.62"
stage2_selected_adaptive_mean_num_pairs,"13668.3"
stage2_selected_pair_count_ratio,"0.715969413251"
selected_config_overall_policy_degeneracy_flag,"0"
selected_config_max_policy_rate,"0.6"
max_bias_adaptive_topK_miss_rate,"0"
max_bias_adaptive_boundary_hit_rate,"0"
max_bias_adaptive_success_drop,"0.04"
bias_robustness_pass_flag,"1"
valid_bias_range_text,"az_bias=[-0.20,0.20], el_bias=[-0.20,0.20]"
